алл. 1 Мая, д. 2/4
наб. Прудовая, д. 3 к. 413
наб. Пугачева, д. 35 стр. 3/1
наб. Пугачева, д. 6
наб. Путевая, д. 5 к. 5
наб. Пушкина, д. 1/2 стр. 3
наб. Пушкина, д. 2 стр. 7/2
наб. Р.Люксембург, д. 7/4 к. 6
наб. Радужная, д. 27 стр. 4
наб. Раздольная, д. 12 стр. 587
наб. Революционная, д. 553 к. 5/6
наб. Республиканская, д. 4
наб. Республиканская, д. 6/2 к. 6/5
наб. Республиканская, д. 9/8 стр. 2/2
наб. Ростовская, д. 6/1 к. 1/8
наб. Садовая, д. 10 стр. 547
наб. Сахалинская, д. 1/1
наб. Свободная, д. 7/9 к. 250
наб. Свободы, д. 6/7 к. 3
наб. Свободы, д. 8 стр. 702
наб. Северная, д. 7/9
наб. Сельская, д. 473
наб. Сельская, д. 626 к. 344
наб. Серафимовича, д. 625 к. 73
наб. Сибирская, д. 261 стр. 9
наб. Славянская, д. 9 стр. 2/5
наб. Слободская, д. 3/5 к. 98
наб. Снежная, д. 17 стр. 65
наб. Советской Армии, д. 8/2 к. 6/6
наб. Советской Армии, д. 8/7 стр. 9/6
наб. Солнечная, д. 2/8 к. 8/7
наб. Сосновая, д. 7/6 стр. 255
наб. Союзная, д. 23 стр. 86
наб. Специалистов, д. 180 стр. 4/5
наб. Специалистов, д. 5 к. 5/3
наб. Сплавная, д. 7/1
наб. Спортивная, д. 793 к. 20
наб. Ставропольская, д. 110
наб. Ставропольская, д. 935 к. 755
наб. Стадионная, д. 87 стр. 643
наб. Станционная, д. 438 стр. 44
наб. Строителей, д. 5
наб. Строительная, д. 169
наб. Строительная, д. 957
наб. Сурикова, д. 9
наб. Таежная, д. 3/1 к. 7/4
наб. Тамбовская, д. 145 к. 409
наб. Тамбовская, д. 185 стр. 111
наб. Тельмана, д. 7/3 стр. 6/1
наб. Техническая, д. 8/3
наб. Томская, д. 8
наб. Троицкая, д. 1 к. 7/3
наб. Троицкая, д. 54 стр. 1
наб. Трудовая, д. 273 стр. 4
наб. Трудовая, д. 4/7
наб. Трудовая, д. 7 к. 262
наб. Тургенева, д. 43 к. 95
наб. Тюленина, д. 32 стр. 7/1
наб. Украинская, д. 300 к. 9/4
наб. Ульянова, д. 324
наб. Ульяновская, д. 82 стр. 281
наб. Уральская, д. 407 стр. 5
наб. Урожайная, д. 222 стр. 4/4
наб. Урожайная, д. 4 стр. 82
наб. Февральская, д. 40
наб. Физкультурная, д. 31 к. 8/6
наб. Флотская, д. 62
наб. Фрунзе, д. 17 стр. 4
наб. Халтурина, д. 17 к. 55
наб. Халтурина, д. 326 стр. 6/3
наб. Харьковская, д. 22 к. 756
наб. Хуторская, д. 94
наб. Цветочная, д. 95 к. 7
наб. Центральная, д. 427 стр. 8
наб. Чайкиной, д. 3 стр. 67
наб. Чапаева, д. 88 стр. 2/8
наб. Черноморская, д. 1/4 стр. 44
наб. Чернышевского, д. 40
наб. Черняховского, д. 4/9 к. 73
наб. Чкалова, д. 15 стр. 388
наб. Широкая, д. 193
наб. Широкая, д. 4
наб. Шишкина, д. 1/4 к. 49
наб. Шишкина, д. 35 к. 4
наб. Школьная, д. 3 к. 6
наб. Школьная, д. 4 стр. 1
наб. Шолохова, д. 244 стр. 453
наб. Щербакова, д. 80 стр. 94
наб. Юбилейная, д. 6/5 стр. 403
наб. Южная, д. 6 стр. 192
наб. Юности, д. 4 стр. 5
наб. Юности, д. 9 стр. 1
наб. Ярославская, д. 8 стр. 537
наб. Ясная, д. 91 к. 6
пер. 30 лет Победы, д. 3 к. 51
пер. 30 лет Победы, д. 4/9 стр. 77
пер. 40 лет Победы, д. 2/8
пер. 70 лет Октября, д. 994
пер. 8-е Марта, д. 3/3 стр. 3/1
пер. 8-е Марта, д. 4/3 к. 4/6
пер. 9 мая, д. 1/2
пер. Авиационный, д. 43 к. 3
пер. Азина, д. 2/5 к. 107
пер. Азина, д. 6
пер. Азовский, д. 45 к. 6/9
пер. Алтайский, д. 485
пер. Астраханский, д. 64 к. 142
пер. Бабушкина, д. 7 стр. 4
пер. Баумана, д. 124
пер. Безымянный, д. 97
пер. Беляева, д. 33
пер. Беляева, д. 5/4 к. 925
пер. Болотный, д. 4
пер. Болотный, д. 9/3
пер. Больничный, д. 6 стр. 8/7
пер. Боровой, д. 31
пер. Братский, д. 1/5 к. 178
пер. Бульварный, д. 2/3
пер. Васильковый, д. 631 стр. 8/6
пер. Вишневый, д. 2/8
пер. Волочаевский, д. 9
пер. Волочаевский, д. 9 к. 7
пер. Ворошилова, д. 943 к. 455
пер. Восточный, д. 1 стр. 572
пер. Восточный, д. 39 стр. 4
пер. Восточный, д. 6/3 стр. 2/8
пер. Высокий, д. 7/6
пер. Высотный, д. 3/9 стр. 3
пер. Гайдара, д. 5/7 стр. 7
пер. Гаражный, д. 4 к. 90
пер. Гаражный, д. 8/4 стр. 5
пер. Гастелло, д. 5 к. 1/4
пер. Гастелло, д. 9
пер. Гвардейский, д. 6 стр. 88
пер. Гвардейский, д. 7/6 к. 390
пер. Гвардейский, д. 9/5
пер. Герцена, д. 649
пер. Гончарова, д. 4/5 к. 93
пер. Горный, д. 5 стр. 13
пер. Горького, д. 7
пер. Дальневосточный, д. 4 к. 1/1
пер. Деповский, д. 8 стр. 3/6
пер. Депутатский, д. 8 к. 620
пер. Димитрова, д. 938
пер. Добролюбова, д. 54 к. 5
пер. Добролюбова, д. 799 к. 37
пер. Докучаева, д. 419
пер. Дружба, д. 1/5
пер. Дружбы, д. 3/3
пер. Енисейский, д. 6/3 стр. 219
пер. Ермака, д. 15 к. 4/6
пер. Есенина, д. 1 к. 1/4
пер. Есенина, д. 1 стр. 449
пер. Загородный, д. 1/7
пер. Заливный, д. 1/5 стр. 278
пер. Заовражный, д. 86 стр. 2/8
пер. Заозерный, д. 505 стр. 5
пер. Заозерный, д. 6/9
пер. Запорожский, д. 6/7 к. 5
пер. Звездный, д. 35 к. 286
пер. Звездный, д. 5/4 к. 47
пер. Зои Космодемьянской, д. 17 к. 6
пер. Иванова, д. 4/3
пер. Ивановский, д. 450
пер. Ивановский, д. 6 стр. 9
пер. Инженерный, д. 1/2 к. 4/6
пер. Иркутский, д. 3/7 стр. 732
пер. Карьерный, д. 454 к. 983
пер. Каштановый, д. 9/6 стр. 7
пер. Кедровый, д. 5/9 к. 48
пер. Кирпичный, д. 6 стр. 566
пер. Клары Цеткин, д. 4/4 стр. 1
пер. Кленовый, д. 261 к. 14
пер. Кленовый, д. 7/7 стр. 9
пер. Кольцова, д. 45 стр. 6
пер. Комарова, д. 14 стр. 1/4
пер. Комарова, д. 2
пер. Коминтерна, д. 434
пер. Коммуны, д. 384 стр. 894
пер. Кооперативный, д. 19 к. 56
пер. Короленко, д. 758
пер. Котовского, д. 67 стр. 23
пер. Котовского, д. 930 стр. 5
пер. Кошевого, д. 3
пер. Красноармейский, д. 320
пер. Краснофлотский, д. 94
пер. Красный, д. 5 к. 9
пер. Красных Партизан, д. 49
пер. Крестьянский, д. 343 стр. 2/8
пер. Крупской, д. 44 к. 8/4
пер. Крылова, д. 19 стр. 643
пер. Кузнецова, д. 219 к. 2
пер. Куйбышева, д. 109
пер. Курганный, д. 46 к. 70
пер. Курский, д. 5/1 стр. 94
пер. Курский, д. 9/2 стр. 2/1
пер. Курчатова, д. 3/3 стр. 13
пер. Кутузова, д. 570 стр. 3
пер. Л.Толстого, д. 550 к. 921
пер. Ленинградский, д. 6 к. 3/5
пер. Ленинский, д. 6/6 к. 8
пер. Ленинский, д. 702 стр. 56
пер. Лермонтова, д. 772 к. 38
пер. Лесхозный, д. 84 к. 58
пер. Линейный, д. 1/4 к. 335
пер. Линейный, д. 3 к. 550
пер. Литейный, д. 2
пер. Логовой, д. 521 стр. 60
пер. Луговой, д. 551 к. 9/8
пер. Луговой, д. 94
пер. Луначарского, д. 85 к. 39
пер. Магистральный, д. 9 к. 7/6
пер. Макаренко, д. 125
пер. Макаренко, д. 55 к. 318
пер. Макарова, д. 2/2
пер. Максима Горького, д. 592
пер. Малиновый, д. 282 стр. 7
пер. Марта 8, д. 135 стр. 3/1
пер. Марта 8, д. 4
пер. Марта 8, д. 87 к. 271
пер. Марта 8, д. 9 стр. 71
пер. Машиностроителей, д. 8 к. 1/3
пер. Мелиораторов, д. 41
пер. Металлистов, д. 570 к. 839
пер. Металлургов, д. 5/3
пер. Минина, д. 12
пер. Минский, д. 56
пер. Мира, д. 4/6 стр. 4/5
пер. Монтажников, д. 3 к. 16
пер. Монтажников, д. 50
пер. Морозова, д. 736
пер. Московский, д. 10
пер. Мостовой, д. 7
пер. Моховой, д. 4/1 к. 5/2
пер. Моховой, д. 4/9 стр. 2
пер. Мусы Джалиля, д. 4
пер. Мусы Джалиля, д. 6/8 стр. 9
пер. Мусы Джалиля, д. 993
пер. Набережный, д. 7/7 к. 8/9
пер. Нагорный, д. 2/1 к. 5/4
пер. Нагорный, д. 9 стр. 3
пер. Надежды, д. 471 к. 834
пер. Надежды, д. 58 к. 1/5
пер. Нахимова, д. 33 к. 5
пер. Невского, д. 60 стр. 1/9
пер. Некрасова, д. 7/3 к. 3/6
пер. Новгородский, д. 374
пер. Новгородский, д. 8/9 стр. 9/4
пер. Новоселов, д. 9 стр. 311
пер. Новосельский, д. 1/6 стр. 18
пер. Новосельский, д. 2/9 стр. 1
пер. Огородный, д. 876
пер. Октябрьский, д. 121 стр. 68
пер. Олимпийский, д. 64
пер. Ольховый, д. 15 стр. 3/3
пер. Ольховый, д. 898
пер. Омский, д. 3/9 к. 3/6
пер. Омский, д. 5 стр. 8
пер. Ореховый, д. 30
пер. Ореховый, д. 670 стр. 6/4
пер. Орловский, д. 6/8 к. 650
пер. Осенний, д. 5/1 стр. 423
пер. Осипенко, д. 8/3
пер. Островского, д. 700 к. 7
пер. Отрадный, д. 7/5
пер. Партизанский, д. 2/6
пер. Песочный, д. 260
пер. Песчаный, д. 424 стр. 75
пер. Петровский, д. 40 стр. 857
пер. Пионерский, д. 6/3
пер. Пионерский, д. 639
пер. Пионерский, д. 7 стр. 5
пер. Победы, д. 9/9
пер. Подлесный, д. 77 стр. 2
пер. Подстанция, д. 3 стр. 7
пер. Полевой, д. 2
пер. Полевой, д. 2 к. 68
пер. Полтавский, д. 6
пер. Полярный, д. 8
пер. Портовый, д. 6/4 стр. 80
пер. Поселковый, д. 9 к. 2/5
пер. Придорожный, д. 971
пер. Приозерный, д. 65 к. 30
пер. Проезжий, д. 84
пер. Промышленный, д. 8/5 к. 1/7
пер. Просвещения, д. 132 к. 45
пер. Просвещения, д. 6
пер. Просвещения, д. 68 к. 2/8
пер. Прудовой, д. 3/7
пер. Прудовой, д. 4 к. 626
пер. Пугачева, д. 5 стр. 7
пер. Путевой, д. 3 к. 7/3
пер. Путевой, д. 4
пер. Пушкина, д. 939 к. 7/2
пер. Рабочий, д. 69 к. 91
пер. Радищева, д. 3/2 стр. 33
пер. Радужный, д. 6 стр. 2
пер. Репина, д. 8 к. 9
пер. Розы Люксембург, д. 55
пер. Ручейный, д. 38 к. 21
пер. Рыбацкий, д. 63
пер. Рыбацкий, д. 72
пер. Садовый, д. 3 к. 5/4
пер. Саратовский, д. 7 к. 872
пер. Саратовский, д. 7/4 стр. 15
пер. Сахалинский, д. 806 стр. 7/6
пер. Свободы, д. 3
пер. Свободы, д. 9 стр. 404
пер. Семашко, д. 4/7 стр. 52
пер. Семашко, д. 6/4 стр. 7/3
пер. Серова, д. 275
пер. Серова, д. 8/7
пер. Серова, д. 98
пер. Сибирский, д. 3
пер. Сиреневый, д. 329
пер. Слободской, д. 175 стр. 50
пер. Смоленский, д. 7
пер. Советской Армии, д. 205 к. 954
пер. Совхозный, д. 933
пер. Солнечный, д. 3/6 стр. 3/5
пер. Сосновый, д. 45
пер. Сосновый, д. 9/8 стр. 6
пер. Спартака, д. 510 к. 2
пер. Спартака, д. 8 к. 165
пер. Сплавный, д. 5/3
пер. Спортивный, д. 899 стр. 435
пер. Ставропольский, д. 2 к. 396
пер. Степной, д. 28
пер. Степной, д. 9/8
пер. Строительный, д. 4/7
пер. Студенческий, д. 65 стр. 8/8
пер. Таманский, д. 186
пер. Таманский, д. 49 стр. 3/1
пер. Театральный, д. 3 к. 2
пер. Театральный, д. 7
пер. Тельмана, д. 3 к. 913
пер. Тельмана, д. 8
пер. Терешковой, д. 68
пер. Тимирязева, д. 2
пер. Толбухина, д. 6 к. 3
пер. Томский, д. 4 стр. 2/8
пер. Тополиный, д. 33 к. 4
пер. Торговый, д. 199 стр. 3
пер. Трактовый, д. 50 к. 5
пер. Тракторный, д. 30
пер. Тракторный, д. 99
пер. Тукая, д. 582
пер. Тульский, д. 6
пер. Тупиковый, д. 726 к. 4/6
пер. Тургенева, д. 9/5
пер. Украинский, д. 358
пер. Ульяновский, д. 7/8
пер. Уральский, д. 4 стр. 8
пер. Урицкого, д. 8 к. 5
пер. Ушакова, д. 253 к. 4
пер. Ушакова, д. 684 стр. 89
пер. Фабричный, д. 14
пер. Фадеева, д. 55 к. 38
пер. Фрунзе, д. 975
пер. Химиков, д. 4/6 к. 7/5
пер. Хуторской, д. 42
пер. Целинный, д. 36 стр. 33
пер. Чапаева, д. 1/9
пер. Чапаева, д. 6
пер. Чернышевского, д. 4/9 стр. 37
пер. Чернышевского, д. 45 стр. 1
пер. Чехова, д. 309
пер. Чехова, д. 53
пер. Шишкина, д. 34
пер. Школьный, д. 4
пер. Шмидта, д. 1 к. 897
пер. Шоссейный, д. 3
пер. Щорса, д. 4 стр. 848
пер. Элеваторный, д. 8/3 стр. 9/6
пер. Энгельса, д. 358 стр. 35
пер. Энергетический, д. 98
пер. Юности, д. 8 стр. 96
пер. Ярославский, д. 5
пер. Ярославский, д. 5 к. 372
пр. 1 Мая, д. 1 к. 684
пр. 1 Мая, д. 546
пр. 30 лет Победы, д. 1/4 к. 4
пр. 50 лет Октября, д. 45
пр. 50 лет Октября, д. 649 стр. 9
пр. 60 лет Октября, д. 6 стр. 77
пр. 60 лет Октября, д. 64 к. 1/3
пр. 70 лет Октября, д. 1/7
пр. 9 мая, д. 7 стр. 8
пр. Алтайский, д. 6 к. 50
пр. Астраханский, д. 276 к. 8
пр. Астраханский, д. 8/5 стр. 1/5
пр. Аэродромный, д. 18 к. 9/7
пр. Аэродромный, д. 773 к. 4/3
пр. Бабушкина, д. 3/7 к. 146
пр. Бабушкина, д. 34 стр. 37
пр. Бабушкина, д. 454 стр. 38
пр. Бажова, д. 96
пр. Байкальский, д. 1/9
пр. Байкальский, д. 58 стр. 138
пр. Балтийский, д. 92 к. 984
пр. Белинского, д. 27 стр. 9/9
пр. Белорусский, д. 9 стр. 2/2
пр. Беляева, д. 6 стр. 517
пр. Большой, д. 4/5
пр. Бригадный, д. 44 стр. 69
пр. Буденного, д. 4/8 стр. 3
пр. Вахитова, д. 6/6 стр. 281
пр. Веселый, д. 6
пр. Весенний, д. 85 к. 31
пр. Вишневый, д. 9
пр. Владимирский, д. 40 к. 519
пр. Владимирский, д. 810 к. 8/4
пр. Водников, д. 6/7
пр. Водопроводный, д. 5 стр. 8
пр. Войкова, д. 6/1 к. 8/2
пр. Володарского, д. 8/1
пр. Волочаевский, д. 3
пр. Волочаевский, д. 95 к. 4
пр. Воровского, д. 499
пр. Восточный, д. 945 к. 312
пр. Выгонный, д. 17 к. 841
пр. Выгонный, д. 204
пр. Гаражный, д. 39 к. 72
пр. Гастелло, д. 2/8
пр. Гастелло, д. 23
пр. Гафури, д. 480 стр. 1
пр. Герцена, д. 402
пр. Гончарова, д. 3 стр. 4/3
пр. Горняцкий, д. 294
пр. Городской, д. 7/8 к. 7/8
пр. Гражданский, д. 54 стр. 4/1
пр. Гражданский, д. 71
пр. Громова, д. 488
пр. ДОС, д. 2/8
пр. Дальний, д. 1/7 к. 91
пр. Дарвина, д. 545 к. 735
пр. Дачный, д. 3/5 стр. 3
пр. Дачный, д. 96 стр. 8
пр. Демьяна Бедного, д. 3/9 стр. 82
пр. Депутатский, д. 4/6
пр. Детский, д. 4
пр. Дзержинского, д. 55 к. 7
пр. Достоевского, д. 17 стр. 2
пр. Дружба, д. 858
пр. Ермака, д. 81 к. 6/7
пр. Есенина, д. 1
пр. Жуковского, д. 2/6 стр. 3/8
пр. З.Космодемьянской, д. 855
пр. Заовражный, д. 3 стр. 674
пр. Запорожский, д. 828 к. 408
пр. Заречный, д. 2/2 стр. 253
пр. Ивановский, д. 5/1
пр. Инженерный, д. 32 к. 97
пр. К.Маркса, д. 620 стр. 21
пр. Кавказский, д. 32 к. 1/8
пр. Камский, д. 85 стр. 906
пр. Карбышева, д. 5 к. 94
пр. Карла Либкнехта, д. 5 стр. 5
пр. Карла Маркса, д. 4/3 к. 75
пр. Каштановый, д. 4
пр. Каштановый, д. 53
пр. Каштановый, д. 86 стр. 783
пр. Кирова, д. 8/2 к. 9
пр. Кирпичный, д. 83 стр. 6
пр. Кленовый, д. 8/3 к. 91
пр. Ключевой, д. 4/6
пр. Коллективный, д. 9/1 к. 6/6
пр. Кольцова, д. 6 стр. 8
пр. Комарова, д. 4
пр. Коммунальный, д. 749
пр. Коммунаров, д. 442 стр. 59
пр. Коммунистический, д. 913 к. 2/9
пр. Коммуны, д. 1/7
пр. Комсомольский, д. 1 к. 2/6
пр. Комсомольский, д. 4
пр. Комсомольский, д. 5 к. 8
пр. Королева, д. 94 к. 712
пр. Короленко, д. 702 к. 466
пр. Короткий, д. 790
пр. Короткий, д. 9/4 стр. 91
пр. Космодемьянской, д. 77
пр. Кочубея, д. 6/8 стр. 319
пр. Кочубея, д. 62
пр. Крайний, д. 50
пр. Красногвардейский, д. 127 стр. 8/9
пр. Красногвардейский, д. 9/5
пр. Краснознаменный, д. 2 стр. 1
пр. Краснознаменный, д. 788 к. 7
пр. Краснопартизанский, д. 2/9
пр. Краснофлотский, д. 7 к. 68
пр. Крупской, д. 50
пр. Крылова, д. 213 стр. 9
пр. Крымский, д. 3
пр. Курчатова, д. 15
пр. Кутузова, д. 3/2 стр. 5/6
пр. Лазурный, д. 2/8 к. 1
пр. Лазурный, д. 5/5 стр. 218
пр. Леваневского, д. 4 стр. 73
пр. Леваневского, д. 92 к. 7
пр. Ленина, д. 57 стр. 39
пр. Ленина, д. 6/4
пр. Ленина, д. 7/1 стр. 3
пр. Ленинградский, д. 8 к. 1/8
пр. Ленинский, д. 85 к. 2/1
пр. Лесный, д. 449 стр. 364
пр. Лесный, д. 5/8 стр. 136
пр. Линейный, д. 7/2 стр. 68
пр. Локомотивный, д. 5
пр. Ломоносова, д. 207
пр. М.Горького, д. 25
пр. Магистральный, д. 165
пр. Максима Горького, д. 3 стр. 630
пр. Максима Горького, д. 9 к. 5
пр. Марта 8, д. 2
пр. Марта 8, д. 479
пр. Матросова, д. 510 стр. 1/4
пр. Матросова, д. 9 стр. 5/6
пр. Мелиоративный, д. 191 стр. 490
пр. Менделеева, д. 12 стр. 74
пр. Менделеева, д. 6 стр. 565
пр. Механизаторов, д. 9/4
пр. Микрорайон, д. 881 стр. 88
пр. Мирный, д. 8/1 стр. 70
пр. Мичурина, д. 1 к. 8/9
пр. Монтажников, д. 9
пр. Московский, д. 180
пр. Московский, д. 4 стр. 300
пр. Московский, д. 73
пр. Нахимова, д. 233
пр. Нахимова, д. 436
пр. Нахимова, д. 93 стр. 7
пр. Невского, д. 4 к. 41
пр. Некрасова, д. 25 стр. 76
пр. Некрасова, д. 9/9 стр. 552
пр. Нижний, д. 42 к. 3
пр. Новостройка, д. 38
пр. Новостройка, д. 5
пр. Новостройка, д. 7/2
пр. Новый, д. 33 стр. 6
пр. Овражный, д. 19 стр. 931
пр. Окружной, д. 275 к. 709
пр. Окружной, д. 62 к. 607
пр. Окружной, д. 9/3
пр. Олега Кошевого, д. 3 к. 80
пр. Олега Кошевого, д. 46 к. 2/9
пр. Омский, д. 6/5 к. 15
пр. Орджоникидзе, д. 2
пр. Павлика Морозова, д. 141 к. 3/9
пр. Павлика Морозова, д. 2/3 стр. 384
пр. Павлова, д. 981
пр. Панфилова, д. 473 к. 5
пр. Папанина, д. 52
пр. Парижской Коммуны, д. 66
пр. Парковый, д. 2
пр. Парковый, д. 961
пр. Песочный, д. 3/1
пр. Пионерский, д. 56 к. 6
пр. Пионерский, д. 913 к. 8
пр. Пирогова, д. 1/6 к. 4
пр. Подлесный, д. 193 стр. 4
пр. Полярный, д. 83 к. 77
пр. Портовый, д. 21 стр. 39
пр. Поселковый, д. 4 стр. 34
пр. Почтовый, д. 5 к. 5/1
пр. Почтовый, д. 946 к. 77
пр. Правды, д. 1 стр. 44
пр. Привольный, д. 3 стр. 88
пр. Привольный, д. 9/9
пр. Приморский, д. 8 стр. 4
пр. Производственный, д. 4
пр. Производственный, д. 920
пр. Прохладный, д. 77
пр. Пушкинский, д. 646
пр. Пушкинский, д. 96
пр. Радищева, д. 16
пр. Радищева, д. 23 к. 96
пр. Радищева, д. 5/9 к. 14
пр. Радужный, д. 421 стр. 43
пр. Радужный, д. 5/2 стр. 8/4
пр. Раздольный, д. 64 стр. 6/6
пр. Разина, д. 27
пр. Революционный, д. 334
пр. Республиканский, д. 529 к. 2
пр. Речной, д. 42
пр. Ростовский, д. 53 стр. 929
пр. Рыбацкий, д. 555 к. 8
пр. Рылеева, д. 8 стр. 1/2
пр. Санаторный, д. 95 к. 5/4
пр. Светлый, д. 4 стр. 4/3
пр. Свободный, д. 6 к. 57
пр. Свободный, д. 64 к. 1/5
пр. Сельский, д. 1/1
пр. Сельский, д. 52 к. 2/3
пр. Серова, д. 23
пр. Серова, д. 82 к. 3/9
пр. Сибирский, д. 11 стр. 74
пр. Сибирский, д. 2/5 к. 57
пр. Сибирский, д. 876 стр. 212
пр. Сиреневый, д. 7/3 к. 53
пр. Славянский, д. 38 стр. 702
пр. Смирнова, д. 1 стр. 74
пр. Смирнова, д. 2 стр. 680
пр. Смирнова, д. 3
пр. Смирнова, д. 376 стр. 3
пр. Смоленский, д. 25
пр. Советов, д. 4 стр. 62
пр. Советский, д. 2 к. 116
пр. Солнечный, д. 2/5
пр. Сосновый, д. 929 стр. 2
пр. Социалистический, д. 1/5 к. 15
пр. Социалистический, д. 51 к. 4
пр. Спортивный, д. 29 стр. 4/8
пр. Степной, д. 592 стр. 1
пр. Степной, д. 77 стр. 4/3
пр. Студенческий, д. 9 к. 705
пр. Студенческий, д. 9/8 к. 1/3
пр. Студенческий, д. 938 стр. 5
пр. Суворова, д. 5/6 к. 7
пр. Сурикова, д. 108 к. 4
пр. Сурикова, д. 289
пр. Сурикова, д. 5 к. 3
пр. Сурикова, д. 7/2 к. 3/7
пр. Сурикова, д. 766 стр. 7
пр. Тельмана, д. 3/2
пр. Тельмана, д. 97 стр. 7
пр. Технический, д. 57 к. 4/8
пр. Толбухина, д. 27 к. 1/6
пр. Томский, д. 6/5 к. 7/8
пр. Томский, д. 854 к. 20
пр. Тополиный, д. 4/9
пр. Тополиный, д. 7 к. 995
пр. Транспортный, д. 385
пр. Трудовой, д. 8/1
пр. Тукая, д. 4
пр. Тупиковый, д. 185 стр. 7
пр. Тупиковый, д. 2/5 к. 4/2
пр. Тургенева, д. 1/7 стр. 700
пр. Ударный, д. 656 стр. 8/4
пр. Ударный, д. 84 к. 2/5
пр. Ульянова, д. 4/5 к. 2/6
пр. Учительский, д. 283 стр. 9/9
пр. Учительский, д. 55 стр. 1/9
пр. Ушакова, д. 44
пр. Ушакова, д. 877 к. 981
пр. Ушакова, д. 88 к. 3
пр. Фурманова, д. 2 к. 367
пр. Фурманова, д. 6 стр. 47
пр. Хвойный, д. 1/5 стр. 6
пр. Хвойный, д. 2 к. 7
пр. Хвойный, д. 8/5
пр. Цветочный, д. 22 стр. 32
пр. Цветочный, д. 9 к. 50
пр. Целинный, д. 4/5 стр. 641
пр. Циолковского, д. 1/7
пр. Чайкиной, д. 2 стр. 2
пр. Чайкиной, д. 904
пр. Чайковского, д. 379 стр. 36
пр. Челюскинцев, д. 55
пр. Челюскинцев, д. 58
пр. Черноморский, д. 520 стр. 659
пр. Чернышевского, д. 209 стр. 12
пр. Черняховского, д. 7 стр. 95
пр. Чкалова, д. 2 стр. 235
пр. Шахтерский, д. 4 стр. 5/1
пр. Шевченко, д. 463 к. 952
пр. Шевченко, д. 60 стр. 2
пр. Школьный, д. 70 стр. 6/6
пр. Шолохова, д. 5/7
пр. Шоссейный, д. 3
пр. Щетинкина, д. 2
пр. Щорса, д. 25 к. 34
пр. Элеваторный, д. 9 стр. 7
пр. Энтузиастов, д. 427 к. 7/3
пр. Юбилейный, д. 90 к. 5/8
пр. Ягодный, д. 823
пр. Ярославский, д. 7/4
ул. 1 Мая, д. 31
ул. 1 Мая, д. 4/1
ул. 40 лет Октября, д. 2/1 стр. 5/2
ул. 50 лет ВЛКСМ, д. 51 стр. 852
ул. 50 лет Победы, д. 1 к. 6
ул. 60 лет Октября, д. 533 стр. 39
ул. 60 лет СССР, д. 839 к. 9
ул. 8 Марта, д. 6/9
ул. Азина, д. 7/9
ул. Алтайская, д. 96 к. 64
ул. Астраханская, д. 32
ул. Астраханская, д. 6
ул. Аэродромная, д. 11
ул. Бабушкина, д. 9/9 стр. 79
ул. Базарная, д. 83 стр. 7/1
ул. Байкальская, д. 57
ул. Белинского, д. 9/9 к. 6/9
ул. Белорусская, д. 959 стр. 638
ул. Березовая, д. 2
ул. Блюхера, д. 696
ул. Большевистская, д. 616
ул. Боровая, д. 5/4 стр. 19
ул. Бригадная, д. 5 к. 3
ул. Вавилова, д. 6
ул. Ватутина, д. 114 стр. 490
ул. Верхняя, д. 4/9
ул. Весенняя, д. 74 стр. 6
ул. Виноградная, д. 26 к. 433
ул. Вишневая, д. 3
ул. Вишневая, д. 5
ул. Водников, д. 11 к. 3/1
ул. Войкова, д. 2/3 к. 7
ул. Володарского, д. 495 к. 2/7
ул. Волочаевская, д. 9 стр. 9
ул. Вольная, д. 372 к. 2
ул. Воронежская, д. 2
ул. Восьмого Марта, д. 3 к. 958
ул. Гаражная, д. 1/1
ул. Гаражная, д. 53 стр. 1/7
ул. Гастелло, д. 29 к. 1/7
ул. Гафури, д. 205 стр. 9
ул. Гвардейская, д. 751 к. 938
ул. Геологическая, д. 4/8 к. 75
ул. Глинки, д. 23 к. 9
ул. Глинки, д. 6/7 стр. 9
ул. Гоголя, д. 295
ул. Городская, д. 5 к. 3
ул. Горького, д. 4 стр. 8
ул. Грибоедова, д. 38 стр. 676
ул. ДОС, д. 7/1 к. 59
ул. Декабристов, д. 2/7 к. 7
ул. Деповская, д. 9 стр. 1/6
ул. Дзержинского, д. 2 к. 12
ул. Дзержинского, д. 2 стр. 64
ул. Дзержинского, д. 7/7
ул. Добролюбова, д. 98 стр. 7
ул. Донская, д. 362
ул. Дорожников, д. 44 стр. 9/9
ул. Дружба, д. 94 стр. 5/1
ул. Енисейская, д. 26 к. 187
ул. Ермака, д. 2/2 к. 369
ул. Жданова, д. 66 стр. 2
ул. Жуковского, д. 9
ул. Жуковского, д. 96 к. 3/6
ул. З.Космодемьянской, д. 2/2 стр. 780
ул. З.Космодемьянской, д. 2/7 стр. 4/8
ул. Заовражная, д. 955 к. 4
ул. Заозерная, д. 6
ул. Запрудная, д. 6/2
ул. Зои Космодемьянской, д. 9/2 стр. 2/4
ул. Индустриальная, д. 4/1 к. 1
ул. Индустриальная, д. 9/4 стр. 837
ул. Инженерная, д. 9 к. 527
ул. К.Маркса, д. 3/4
ул. К.Маркса, д. 4 к. 96
ул. К.Маркса, д. 83 стр. 563
ул. Казанская, д. 37 к. 1
ул. Казачья, д. 617 стр. 563
ул. Казачья, д. 7/2 стр. 2/8
ул. Камская, д. 8 к. 465
ул. Карла Либкнехта, д. 8/1 к. 4/8
