Borgo Adelasia, 6 Piano 0
Piazza Roberto, 0
Piazza Roman, 482 Piano 2
Piazza Romana, 975 Piano 0
Piazza Romiti, 653 Piano 2
Piazza Ronaldo, 7 Appartamento 50
Piazza Sandi, 464 Piano 8
Piazza Santi, 430 Piano 0
Piazza Satriani, 85
Piazza Sebastiano, 66
Piazza Seddio, 451
Piazza Silvia, 58
Piazza Silvio, 140
Piazza Sole, 39
Piazza Sordi, 15 Appartamento 13
Piazza Spinola, 728
Piazza Stefania, 9
Piazza Stradivari, 883
Piazza Taccola, 475
Piazza Tonino, 67
Piazza Tozzi, 358
Piazza Tremonti, 0
Piazza Trincavelli, 7 Piano 0
Piazza Ugolino, 75 Piano 8
Piazza Vigorelli, 2
Piazza Virginia, 914
Piazza Zabarella, 248
Rotonda Adelasia, 8
Rotonda Agazzi, 836
Rotonda Aldo, 7 Piano 7
Rotonda Alfio, 86
Rotonda Allegra, 5 Appartamento 9
Rotonda Altera, 40 Appartamento 25
Rotonda Amadeo, 1
Rotonda Amalia, 74
Rotonda Amedeo, 4
Rotonda Amedeo, 4 Appartamento 56
Rotonda Amico, 42
Rotonda Arnaldo, 8 Piano 4
Rotonda Augusto, 69
Rotonda Baccio, 53 Piano 0
Rotonda Bajamonti, 99 Piano 9
Rotonda Battaglia, 61
Rotonda Beccheria, 8
Rotonda Beppe, 57
Rotonda Berenice, 43 Appartamento 82
Rotonda Bettin, 60
Rotonda Bettoni, 614
Rotonda Biagiotti, 7 Appartamento 0
Rotonda Bianca, 258 Appartamento 40
Rotonda Borrani, 6
Rotonda Borromini, 92 Piano 3
Rotonda Borzomì, 75
Rotonda Bramante, 6
Rotonda Brambilla, 4
Rotonda Bruno, 245
Rotonda Calogero, 7 Piano 2
Rotonda Caracciolo, 28 Appartamento 69
Rotonda Cavanna, 82
Rotonda Cecilia, 79
Rotonda Ceri, 151 Piano 3
Rotonda Cherubini, 7 Appartamento 5
Rotonda Chittolini, 792
Rotonda Cicilia, 24 Appartamento 56
Rotonda Cicilia, 450
Rotonda Ciro, 5
Rotonda Condoleo, 84
Rotonda Conte, 2
Rotonda Conte, 79 Appartamento 36
Rotonda Corcos, 32 Appartamento 67
Rotonda Corrado, 0
Rotonda Crispi, 9 Piano 1
Rotonda Cugia, 72
Rotonda Cutuli, 33 Appartamento 8
Rotonda Cutuli, 876
Rotonda Dandolo, 4 Piano 3
Rotonda Delfino, 58
Rotonda Desio, 83
Rotonda Diana, 34
Rotonda Donna, 54 Appartamento 4
Rotonda Elena, 31
Rotonda Eliana, 658
Rotonda Elladio, 29 Piano 9
Rotonda Emma, 386 Piano 6
Rotonda Emma, 6 Piano 2
Rotonda Emma, 940
Rotonda Evangelista, 490
Rotonda Fabio, 33
Rotonda Fabio, 881
Rotonda Fedele, 9 Piano 9
Rotonda Federica, 1
Rotonda Filippini, 830
Rotonda Flaiano, 0 Piano 1
Rotonda Fortunata, 12
Rotonda Fortunata, 26 Appartamento 37
Rotonda Galilei, 42 Appartamento 8
Rotonda Gargallo, 37
Rotonda Garibaldi, 18
Rotonda Garozzo, 7 Appartamento 31
Rotonda Gelli, 992 Piano 3
Rotonda Gentileschi, 814 Appartamento 72
Rotonda Giacconi, 8
Rotonda Giacometti, 851
Rotonda Ginese, 96
Rotonda Gioele, 40 Piano 5
Rotonda Giuliano, 871
Rotonda Giustino, 743 Appartamento 1
Rotonda Gori, 9 Appartamento 36
Rotonda Greco, 10 Piano 0
Rotonda Grisoni, 22
Rotonda Guglielmi, 72
Rotonda Guido, 7
Rotonda Gussoni, 60 Appartamento 30
Rotonda Iolanda, 80 Appartamento 61
Rotonda Irma, 70
Rotonda Lazzaro, 36
Rotonda Leoncavallo, 2
Rotonda Ligorio, 56 Piano 7
Rotonda Luciana, 51 Appartamento 34
Rotonda Luciano, 27
Rotonda Ludovisi, 8 Piano 3
Rotonda Luigi, 98 Appartamento 21
Rotonda Luigina, 5
Rotonda Lussu, 866
Rotonda Marcello, 611 Piano 5
Rotonda Marco, 15
Rotonda Marco, 6 Appartamento 46
Rotonda Marina, 438
Rotonda Marisa, 465
Rotonda Martinelli, 1
Rotonda Martinelli, 4
Rotonda Martino, 82
Rotonda Massimo, 51 Piano 8
Rotonda Melina, 26 Appartamento 0
Rotonda Mengolo, 45 Appartamento 13
Rotonda Milena, 133 Piano 8
Rotonda Napoleone, 13
Rotonda Niccolò, 63
Rotonda Niggli, 87 Piano 3
Rotonda Nonis, 77
Rotonda Nosiglia, 44
Rotonda Novaro, 32
Rotonda Orsini, 26
Rotonda Osvaldo, 25 Appartamento 82
Rotonda Ottavio, 69
Rotonda Pagnotto, 68
Rotonda Palladio, 59
Rotonda Panicucci, 18
Rotonda Pascarella, 272 Piano 1
Rotonda Pavone, 95
Rotonda Peranda, 92 Appartamento 1
Rotonda Perozzo, 4 Appartamento 99
Rotonda Pierpaolo, 23
Rotonda Pierpaolo, 27 Piano 3
Rotonda Pignatti, 31 Piano 1
Rotonda Pina, 1
Rotonda Pina, 153
Rotonda Pirandello, 796
Rotonda Platini, 80
Rotonda Quasimodo, 969
Rotonda Raimondo, 75
Rotonda Regge, 972 Piano 3
Rotonda Renata, 3
Rotonda Rensi, 9
Rotonda Riccati, 574 Appartamento 0
Rotonda Roberta, 4 Appartamento 20
Rotonda Ronaldo, 1 Appartamento 9
Rotonda Rosario, 93 Appartamento 8
Rotonda Rosselli, 6
Rotonda Ruggiero, 97 Piano 8
Rotonda Saffi, 4
Rotonda Salvi, 3 Appartamento 0
Rotonda Salvi, 983
Rotonda Sansoni, 483 Appartamento 37
Rotonda Satriani, 55 Piano 3
Rotonda Sebastiano, 93
Rotonda Segni, 7
Rotonda Serraglio, 822 Appartamento 64
Rotonda Siffredi, 75 Piano 4
Rotonda Silvio, 32
Rotonda Sommaruga, 8 Piano 7
Rotonda Sonia, 71 Appartamento 8
Rotonda Sonnino, 14
Rotonda Soprano, 18
Rotonda Spadafora, 2
Rotonda Spinelli, 88
Rotonda Stefani, 16
Rotonda Tarantino, 68 Appartamento 80
Rotonda Tartaglia, 347
Rotonda Tartini, 264
Rotonda Tina, 85 Piano 5
Rotonda Tiziano, 11
Rotonda Tiziano, 54
Rotonda Tiziano, 57
Rotonda Tomasini, 341 Appartamento 3
Rotonda Tornatore, 8
Rotonda Toscani, 17 Piano 4
Rotonda Traversa, 54
Rotonda Travia, 6 Appartamento 89
Rotonda Travia, 877
Rotonda Trobbiani, 4
Rotonda Tullio, 37
Rotonda Tutino, 21 Piano 6
Rotonda Tuzzolino, 831 Appartamento 19
Rotonda Ubaldo, 37
Rotonda Udinese, 13 Piano 4
Rotonda Umberto, 63
Rotonda Vendetti, 752
Rotonda Vercelloni, 76
Rotonda Vidoni, 1 Appartamento 87
Rotonda Vito, 90
Strada Achille, 59 Piano 1
Strada Adelmo, 77 Appartamento 3
Strada Agnolo, 0 Piano 2
Strada Agnolo, 60
Strada Alberico, 2
Strada Alessandro, 94
Strada Alessia, 91
Strada Alina, 80
Strada Allegra, 56
Strada Anita, 1 Piano 9
Strada Anita, 656 Piano 8
Strada Anita, 68 Piano 9
Strada Anita, 97
Strada Antonina, 7
Strada Antonio, 87 Appartamento 6
Strada Antonioni, 68 Piano 9
Strada Ariosto, 60 Piano 3
Strada Arnaldo, 15
Strada Avogadro, 97
Strada Azeglio, 765
Strada Badoglio, 0
Strada Baldassare, 38
Strada Baroffio, 56 Piano 4
Strada Barracco, 8 Appartamento 59
Strada Barsanti, 5 Piano 6
Strada Bataglia, 42 Appartamento 50
Strada Bellini, 19
Strada Bellini, 70 Appartamento 18
Strada Benvenuto, 6
Strada Biagi, 259 Piano 9
Strada Bianca, 341 Piano 0
Strada Bonino, 1
Strada Bonolis, 22 Piano 2
Strada Bulzoni, 53 Piano 9
Strada Cafarchia, 30 Piano 6
Strada Cagnin, 9 Piano 8
Strada Camicione, 492
Strada Capecchi, 20
Strada Carla, 55 Appartamento 5
Strada Carlo, 26
Strada Carmelo, 8 Appartamento 83
Strada Carpaccio, 194 Piano 4
Strada Caterina, 74 Appartamento 0
Strada Chiappetta, 34
Strada Chiesa, 8 Piano 0
Strada Comboni, 412 Appartamento 4
Strada Concetta, 40
Strada Condoleo, 683
Strada Corcos, 8
Strada Damiano, 14 Piano 9
Strada Danilo, 2
Strada Dante, 727
Strada Durante, 0
Strada Emanuelli, 10
Strada Ermenegildo, 34 Piano 9
Strada Ezio, 9
Strada Ferrucci, 4 Appartamento 9
Strada Fieramosca, 56
Strada Fiorenzo, 1 Piano 0
Strada Fortunata, 810
Strada Forza, 25
Strada Francesca, 60 Piano 8
Strada Franco, 12 Piano 5
Strada Gabba, 1
Strada Gabbana, 60
Strada Gelsomina, 26
Strada Giacometti, 59 Appartamento 8
Strada Gianluca, 22 Appartamento 7
Strada Gianluigi, 9 Piano 3
Strada Gianni, 30
Strada Gioacchino, 478 Appartamento 80
Strada Gioffre, 846 Appartamento 0
Strada Gionata, 99
Strada Giulio, 2
Strada Giuseppe, 3 Piano 3
Strada Gloria, 47 Piano 0
Strada Grasso, 6 Appartamento 79
Strada Grimani, 432
Strada Gritti, 7
Strada Guarato, 74
Strada Guarino, 54 Appartamento 1
Strada Guglielmo, 2 Piano 2
Strada Guglielmo, 525
Strada Iacobucci, 53 Piano 2
Strada Iannelli, 39 Appartamento 1
Strada Imelda, 55 Appartamento 6
Strada Ippazio, 22
Strada Irma, 44 Piano 3
Strada Isa, 184 Appartamento 35
Strada Isa, 75 Appartamento 50
Strada Lauretta, 747
Strada Leonardo, 49 Appartamento 9
Strada Leopoldo, 632
Strada Leopoldo, 77 Piano 0
Strada Leopoldo, 97
Strada Lerner, 325 Appartamento 65
Strada Letizia, 4 Appartamento 28
Strada Lidia, 46
Strada Longhena, 38
Strada Loredana, 78 Appartamento 63
Strada Loretta, 4
Strada Ludovico, 81
Strada Luigi, 1
Strada Luigina, 37
Strada Luzi, 9
Strada Maggioli, 85 Piano 4
Strada Magrassi, 84
Strada Malatesta, 24 Piano 1
Strada Marazzi, 54
Strada Marina, 8
Strada Marta, 56 Piano 3
Strada Marta, 60 Piano 9
Strada Martinelli, 11 Appartamento 50
Strada Martino, 322 Appartamento 20
Strada Massimiliano, 3 Piano 2
Strada Matilda, 4 Appartamento 1
Strada Maurilio, 746
Strada Mocenigo, 9 Piano 3
Strada Montanelli, 658 Appartamento 21
Strada Morabito, 3 Piano 7
Strada Morandi, 49
Strada Nedda, 0 Piano 8
Strada Nicola, 8
Strada Ninetta, 631
Strada Olga, 8
Strada Onisto, 5
Strada Osvaldo, 284
Strada Osvaldo, 7 Piano 5
Strada Ottavio, 1
Strada Ovadia, 29
Strada Paloma, 954 Appartamento 55
Strada Palumbo, 23
Strada Paride, 149
Strada Paruta, 25 Appartamento 82
Strada Pasolini, 5
Strada Pasolini, 81
Strada Paulina, 85 Appartamento 7
Strada Peano, 24 Appartamento 32
Strada Peranda, 4 Piano 7
Strada Perini, 460 Appartamento 2
Strada Pier, 3
Strada Pierina, 4 Piano 6
Strada Piersanti, 30
Strada Pietrangeli, 38 Appartamento 3
Strada Pisani, 52 Appartamento 2
Strada Pratesi, 672 Appartamento 29
Strada Proietti, 759
Strada Puccini, 6 Piano 0
Strada Ramona, 36
Strada Rita, 468
Strada Rocco, 58 Piano 2
Strada Roero, 29
Strada Romiti, 97
Strada Roncalli, 33
Strada Rosalia, 4
Strada Rosalia, 99 Piano 6
Strada Rosaria, 626
Strada Rosaria, 63
Strada Rosina, 0 Appartamento 91
Strada Rosina, 77
Strada Rosmini, 2
Strada Rossellini, 59 Piano 3
Strada Rusticucci, 64 Piano 3
Strada Salata, 49 Piano 9
Strada Salvatore, 23 Appartamento 0
Strada Sandro, 0
Strada Santoro, 739 Appartamento 22
Strada Scarlatti, 943 Appartamento 4
Strada Segni, 77 Piano 3
Strada Silvestri, 56 Appartamento 12
Strada Sonia, 13
Strada Sonia, 50
Strada Sophia, 344 Piano 6
Strada Spanevello, 447
Strada Stella, 15 Piano 8
Strada Tarchetti, 6
Strada Tatiana, 63
Strada Telemaco, 62 Appartamento 5
Strada Terragni, 6 Piano 9
Strada Ungaretti, 539
Strada Varano, 89 Piano 5
Strada Veltroni, 26 Appartamento 98
Strada Vincentio, 28 Piano 2
Strada Vincenzo, 510 Appartamento 56
Strada Viola, 1 Appartamento 2
Strada Vivaldi, 51 Appartamento 3
Strada Zecchini, 8 Appartamento 6
Strada Zola, 60
Stretto Abba, 46 Piano 6
Stretto Adamo, 1 Appartamento 19
Stretto Adelmo, 98 Appartamento 4
Stretto Adinolfi, 242
Stretto Alberico, 470
Stretto Alberico, 984 Appartamento 55
Stretto Alderano, 19 Appartamento 7
Stretto Amanda, 47
Stretto Annibale, 0 Piano 3
Stretto Aporti, 5 Piano 8
Stretto Armellini, 2
Stretto Arnaldo, 50 Appartamento 18
Stretto Balla, 99
Stretto Barbara, 841
Stretto Baresi, 820
Stretto Benedetto, 973 Piano 0
Stretto Beppe, 142
Stretto Bianca, 1 Appartamento 37
Stretto Bianca, 10
Stretto Bianca, 4 Appartamento 6
Stretto Bianca, 7 Piano 0
Stretto Binaghi, 980 Appartamento 89
Stretto Boccaccio, 587
Stretto Bompiani, 894 Piano 6
Stretto Bonino, 829
Stretto Borsellino, 921
Stretto Brancaccio, 89
Stretto Brunello, 0
Stretto Bruno, 46 Piano 3
Stretto Caccioppoli, 2
Stretto Cainero, 28
Stretto Calbo, 90
Stretto Calgari, 60
Stretto Canali, 536 Appartamento 83
Stretto Carlo, 33
Stretto Carlo, 499 Piano 5
Stretto Casini, 4 Piano 4
Stretto Castellitto, 240
Stretto Catenazzi, 37 Appartamento 47
Stretto Catenazzi, 39 Piano 8
Stretto Caterina, 62 Appartamento 95
Stretto Caterina, 872 Appartamento 11
Stretto Cendron, 2
Stretto Cerutti, 33 Piano 8
Stretto Cesare, 46
Stretto Cimini, 635 Appartamento 72
Stretto Claudio, 6 Piano 4
Stretto Cocci, 898 Appartamento 9
Stretto Coriolano, 97
Stretto Cristina, 12 Appartamento 91
Stretto Cugia, 95 Appartamento 27
Stretto Damiano, 1
Stretto Damiano, 75 Piano 9
Stretto Daniele, 486 Piano 6
Stretto Danilo, 482 Appartamento 2
Stretto Desio, 15 Appartamento 24
Stretto Diana, 8
Stretto Dino, 88
Stretto Durante, 494
Stretto Elisa, 714 Piano 8
Stretto Elisa, 75 Piano 3
Stretto Elvira, 90
Stretto Errani, 99 Piano 7
Stretto Ettore, 316 Appartamento 6
Stretto Eugenia, 0
Stretto Eva, 14 Appartamento 3
Stretto Fabio, 86
Stretto Fedele, 94
Stretto Ferrabosco, 2 Piano 1
Stretto Ferrara, 689 Appartamento 32
Stretto Fittipaldi, 10 Piano 1
Stretto Flaiano, 197 Appartamento 9
Stretto Flavio, 9
Stretto Florio, 62 Piano 3
Stretto Fogazzaro, 47
Stretto Foà, 99
Stretto Francesco, 664 Piano 6
Stretto Gabrieli, 54 Appartamento 3
Stretto Gabriella, 990 Piano 0
Stretto Galasso, 78 Appartamento 73
Stretto Gargallo, 24 Piano 0
Stretto Garrone, 21 Piano 4
Stretto Gentilini, 24 Piano 6
Stretto Giacobbe, 29 Appartamento 18
Stretto Gianluigi, 854 Appartamento 1
Stretto Gino, 21
Stretto Gioacchino, 90 Appartamento 5
Stretto Gioele, 2 Appartamento 30
Stretto Gioffre, 274
Stretto Gioffre, 656 Piano 4
Stretto Giulietta, 0 Piano 5
Stretto Golino, 12
Stretto Gozzano, 556 Appartamento 4
Stretto Greca, 38
Stretto Griselda, 67 Appartamento 63
Stretto Gualtieri, 38
Stretto Guarana, 32 Piano 2
Stretto Gucci, 95 Piano 8
Stretto Guicciardini, 31
Stretto Gustavo, 2
Stretto Irma, 6 Appartamento 60
Stretto Isa, 77 Piano 9
Stretto Ivan, 38 Piano 4
Stretto Lando, 58 Appartamento 6
Stretto Lando, 99 Piano 1
Stretto Laura, 6
Stretto Laureano, 33 Appartamento 8
Stretto Loretta, 78
Stretto Lovato, 87
Stretto Lucciano, 3
Stretto Lucia, 37
Stretto Lucio, 0 Piano 7
Stretto Lucio, 43 Piano 8
Stretto Lucrezia, 550
Stretto Luigina, 3
Stretto Maggioli, 22
Stretto Malaparte, 548
Stretto Marcella, 96
Stretto Mariana, 79 Appartamento 60
Stretto Mariano, 5
Stretto Mariano, 737 Appartamento 17
Stretto Marina, 62
Stretto Marina, 65
Stretto Marini, 3 Appartamento 67
Stretto Marini, 91 Appartamento 95
Stretto Marsili, 94 Piano 4
Stretto Marzorati, 20 Appartamento 28
Stretto Matteo, 7
Stretto Melissa, 40 Appartamento 5
Stretto Montanari, 58 Piano 7
Stretto Moresi, 54
Stretto Natalia, 69 Piano 5
Stretto Natta, 398 Appartamento 28
Stretto Navarria, 91
Stretto Orengo, 935
Stretto Ottino, 27
Stretto Paola, 30 Appartamento 94
Stretto Pareto, 1 Piano 5
Stretto Paulina, 0
Stretto Pavone, 177
Stretto Petrocelli, 3 Appartamento 3
Stretto Piccinni, 16
Stretto Piccio, 90
Stretto Pierina, 5
Stretto Pierina, 62
Stretto Piermaria, 0
Stretto Piermaria, 92
Stretto Pincherle, 12
Stretto Pisano, 74
Stretto Pompeo, 77
Stretto Ramona, 29
Stretto Renata, 48
Stretto Rensi, 3
Stretto Respighi, 995 Piano 5
Stretto Ricolfi, 8
Stretto Roberta, 3 Appartamento 1
Stretto Roberta, 583 Piano 9
Stretto Rodolfo, 1 Appartamento 11
Stretto Rossana, 34
Stretto Rubbia, 2 Appartamento 23
Stretto Rubbia, 21 Piano 1
Stretto Ruggiero, 2
Stretto Sabatino, 229 Piano 0
Stretto Salvatore, 358 Appartamento 8
Stretto Scalfaro, 66 Piano 8
Stretto Scarpa, 639
Stretto Scarpetta, 96
Stretto Scarponi, 28
Stretto Schiaparelli, 0 Appartamento 43
Stretto Schiavo, 94
Stretto Segni, 979
Stretto Silvia, 3
Stretto Silvio, 30
Stretto Simonetta, 55 Piano 6
Stretto Simonetta, 64
Stretto Soderini, 27 Appartamento 9
Stretto Soderini, 65
Stretto Tacchini, 3
Stretto Taccola, 6
Stretto Tatiana, 426
Stretto Tatiana, 58 Appartamento 63
Stretto Teresa, 33
Stretto Tomasetti, 67 Appartamento 2
Stretto Tonino, 38 Appartamento 6
Stretto Trevisan, 92
Stretto Tropea, 53 Appartamento 43
Stretto Turchi, 18
Stretto Ungaretti, 85 Appartamento 7
Stretto Vanessa, 248 Piano 0
Stretto Vasari, 2
Stretto Veneziano, 519 Piano 6
Stretto Verga, 40 Appartamento 5
Stretto Vespucci, 171
Stretto Vianello, 148 Appartamento 51
Stretto Vincenzo, 57
Stretto Zaccagnini, 9 Piano 6
Stretto Zaguri, 113
Stretto Zeffirelli, 90 Appartamento 8
Stretto Zola, 69 Appartamento 92
Via Adriano, 4
Via Ajello, 25
Via Alfio, 53 Appartamento 88
Via Ammaniti, 93 Piano 0
Via Anguillara, 8
Via Annunziata, 283
Via Ariasso, 2 Piano 6
Via Arsenio, 30
Via Aurora, 31 Appartamento 9
Via Aurora, 4
Via Aurora, 734
Via Balbi, 366 Appartamento 54
Via Balbi, 73
Via Barbara, 7 Piano 1
Via Barcella, 43
Via Barsanti, 81 Appartamento 74
Via Beccaria, 2 Piano 3
Via Bellocchio, 26
Via Bellò, 97
Via Bembo, 83 Appartamento 52
Via Benedetti, 13 Appartamento 8
Via Benito, 942
Via Bettina, 54 Appartamento 77
Via Bettina, 8 Appartamento 0
Via Bonolis, 8
Via Brunelleschi, 86
Via Busoni, 40
Via Camilla, 6
Via Campanella, 60 Appartamento 39
Via Canali, 99 Piano 8
Via Carla, 65 Appartamento 4
Via Carolina, 586
Via Cesare, 227 Piano 4
Via Cesare, 89 Appartamento 4
Via Chiara, 61
Via Claudia, 73
Via Claudio, 8 Appartamento 9
Via Claudio, 868 Piano 8
Via Coardi, 21 Piano 7
Via Combi, 89
Via Condoleo, 34 Piano 8
Via Correr, 243 Appartamento 5
Via Cristoforetti, 372
Via Cristoforetti, 81
Via Cusano, 0
Via Damiano, 88
Via Dante, 273
Via Dina, 123 Piano 7
Via Doglioni, 27 Appartamento 11
Via Donatella, 134
Via Dossetti, 58 Appartamento 85
Via Druso, 617 Appartamento 14
Via Eliana, 4
Via Elmo, 534 Piano 3
Via Erika, 81
Via Ermes, 41
Via Ernesto, 63 Piano 8
Via Eugenia, 99
Via Farnese, 49 Piano 2
Via Fedele, 4
Via Federica, 54 Piano 5
Via Filippini, 10 Appartamento 9
Via Gabriele, 615 Appartamento 79
Via Gaetano, 37 Piano 6
Via Gagliano, 82 Piano 6
Via Galeati, 34 Appartamento 23
Via Galeati, 59 Piano 1
Via Gemma, 4
Via Geraci, 3
Via Gioffre, 46 Piano 7
Via Gioffre, 642
Via Golgi, 24 Appartamento 0
Via Granatelli, 5 Piano 0
Via Graziano, 51
Via Greco, 82
Via Grossi, 20 Appartamento 9
Via Guidone, 842
Via Gulotta, 7 Piano 8
Via Ignazio, 646
Via Irma, 0 Piano 3
Via Isa, 73 Appartamento 31
Via Lattuada, 46 Piano 8
Via Leonetti, 622 Piano 2
Via Letizia, 555 Appartamento 3
Via Liberto, 5
Via Lucciano, 4
Via Luigina, 840 Piano 2
Via Luigina, 9
Via Luisa, 10
Via Maderna, 192 Appartamento 1
Via Maffei, 0
Via Manuel, 18
Via Marco, 66
Via Margherita, 43 Piano 6
Via Mariano, 279
Via Massimiliano, 8 Appartamento 30
Via Massimo, 20 Piano 8
Via Mastandrea, 48
Via Matilda, 0 Appartamento 26
Via Mattia, 687 Appartamento 4
Via Mazzocchi, 27 Appartamento 0
Via Mercantini, 182
Via Micheletto, 86 Appartamento 49
Via Montalti, 5 Appartamento 5
Via Montesano, 312
Via Morandini, 72 Piano 9
Via Morrocco, 75 Piano 1
Via Mozart, 2
Via Navarria, 53 Appartamento 17
Via Nico, 76
Via Nina, 8
Via Nino, 32
Via Olivetti, 20 Appartamento 1
Via Orengo, 90
Via Ostinelli, 54 Appartamento 2
Via Pacomio, 63 Appartamento 75
Via Palmisano, 0 Appartamento 82
Via Palumbo, 1
Via Panatta, 146 Appartamento 8
Via Paola, 81
Via Paoletti, 12 Piano 3
Via Paride, 26 Piano 5
Via Paride, 7
Via Pertini, 4 Appartamento 6
Via Peruzzi, 62
Via Pierangelo, 66
Via Pigafetta, 830 Appartamento 36
Via Pinamonte, 270 Piano 9
Via Pistoletto, 7 Piano 6
Via Pratesi, 80
Via Pugliese, 44
Via Rastelli, 35
Via Roccabonella, 4
Via Rocco, 413 Piano 9
Via Ruberto, 37
Via Ruggiero, 75 Appartamento 31
Via Sabbatini, 3 Appartamento 1
Via Sante, 9 Piano 1
Via Santorio, 874 Appartamento 4
Via Santoro, 197
Via Sanudo, 681
Via Saverio, 32 Appartamento 4
Via Savorgnan, 146
Via Scaduto, 6 Appartamento 5
Via Silvia, 875
Via Simone, 54 Piano 3
Via Stefani, 67 Piano 8
Via Stefano, 19 Piano 9
Via Tasso, 0 Appartamento 87
Via Tedesco, 32
Via Telemaco, 81
Via Tina, 98 Piano 4
Via Tirabassi, 13
Via Tiziano, 387
Via Tommaseo, 50 Appartamento 0
Via Tosi, 46
Via Travia, 5 Appartamento 3
Via Trebbi, 48 Appartamento 28
Via Treccani, 6
Via Ugo, 8 Piano 4
Via Valguarnera, 99
Via Vanessa, 53
Via Vasari, 16 Appartamento 34
Via Venancio, 2
Via Venancio, 8 Piano 8
Via Venier, 346 Piano 5
Via Victoria, 9 Piano 0
Via Vigorelli, 2
Via Vincenzo, 45 Appartamento 1
Via Virginia, 974
Via Viridiana, 61 Appartamento 45
Via Vito, 41 Piano 0
Via Vivaldi, 96
Via Zacco, 68 Appartamento 58
Via Zaira, 654
Via Zecchini, 3
Via Zoppetti, 30 Piano 5
Viale Accardo, 34
Viale Accardo, 489 Piano 7
Viale Adelasia, 12
Viale Agnolo, 267 Appartamento 8
Viale Alessandro, 690
Viale Alessandro, 712 Piano 7
Viale Alessia, 26
Viale Alphons, 17
Viale Angelica, 91
Viale Angelina, 34 Appartamento 2
Viale Angelo, 40
Viale Antonina, 4 Piano 5
Viale Argento, 11 Piano 8
Viale Barozzi, 12 Appartamento 85
Viale Bartolomeo, 139 Appartamento 0
Viale Bazzi, 0
Viale Bazzi, 26
Viale Benussi, 7
Viale Benvenuto, 83
Viale Bertolucci, 20 Piano 7
Viale Bettoni, 17 Piano 0
Viale Bevilacqua, 552
Viale Biagio, 67 Appartamento 10
Viale Borromeo, 48 Piano 3
Viale Bresciani, 18
Viale Broschi, 39 Appartamento 19
Viale Brunello, 80 Piano 8
Viale Bulzoni, 3 Appartamento 20
Viale Calarco, 5
Viale Camicione, 1 Appartamento 4
Viale Camilla, 54
Viale Camillo, 59
Viale Carullo, 55
Viale Cassarà, 38 Piano 8
Viale Catenazzi, 55
Viale Cesare, 2
Viale Cesare, 33 Appartamento 2
Viale Chiesa, 76 Appartamento 96
Viale Chittolini, 45 Appartamento 43
Viale Cipolla, 0 Piano 8
Viale Collina, 47
Viale Condoleo, 223 Appartamento 5
Viale Costantino, 5
Viale Costantino, 79
Viale Costanzo, 79
Viale Dandolo, 47 Piano 7
Viale Daniele, 2
Viale Daria, 725 Appartamento 61
Viale Dionigi, 176 Piano 5
Viale Doglioni, 22
Viale Domenico, 39 Appartamento 26
Viale Donatello, 46
Viale Draghi, 987 Piano 6
Viale Duse, 476
Viale Elena, 5
Viale Elisa, 82
Viale Elvira, 29
Viale Elvira, 51
Viale Emilio, 0 Appartamento 84
Viale Ettore, 3 Piano 8
Viale Eugenia, 9
Viale Eva, 577
Viale Eva, 8 Appartamento 51
Viale Fallaci, 95
Viale Farnese, 618
Viale Ferrata, 15
Viale Flavia, 42 Piano 0
Viale Foscari, 11
Viale Fracci, 3
Viale Galiazzo, 31 Piano 4
Viale Giacomo, 111 Piano 9
Viale Gianfranco, 1
Viale Gianpaolo, 23 Appartamento 99
Viale Gianpietro, 560 Piano 2
Viale Giolitti, 92
Viale Giuseppe, 768
Viale Giusti, 65 Appartamento 0
Viale Giustino, 2
Viale Gori, 11
Viale Gori, 613
Viale Greco, 380 Piano 8
Viale Gualtieri, 21
Viale Guariento, 1
Viale Guinizzelli, 7
Viale Iadanza, 370 Piano 1
Viale Iannucci, 50 Piano 2
Viale Ilaria, 17 Piano 8
Viale Isa, 0
Viale Ivan, 4
Viale Jacopo, 345 Piano 3
Viale Laureano, 16
Viale Leopoldo, 59
Viale Liberto, 5 Appartamento 40
Viale Liberto, 590
Viale Livia, 190 Appartamento 18
Viale Marcello, 50
Viale Maria, 733
Viale Martino, 3
Viale Mastandrea, 261
Viale Mattia, 0 Piano 1
Viale Melissa, 52
Viale Mercedes, 36
Viale Michela, 234
Viale Michelangelo, 1 Piano 7
Viale Milo, 1
Viale Moccia, 40 Piano 2
Viale Molesini, 1
Viale Montalti, 5
Viale Montanelli, 40
Viale Morabito, 32
Viale Mortati, 552 Piano 7
Viale Napoleone, 722
Viale Navone, 848 Piano 6
Viale Orlando, 20
Viale Orsini, 112 Piano 5
Viale Paolo, 62
Viale Paolo, 84
Viale Pavarotti, 544
Viale Peano, 85 Appartamento 3
Viale Pederiva, 961
Viale Pedersoli, 42 Appartamento 10
Viale Pellegrini, 262 Appartamento 0
Viale Piane, 55 Piano 7
Viale Piergiuseppe, 7 Piano 0
Viale Pierpaolo, 11
Viale Pizzamano, 23 Piano 8
Viale Pometta, 91
Viale Procacci, 82 Piano 5
Viale Puccini, 44
Viale Raffaele, 850 Appartamento 2
Viale Raimondo, 38
Viale Rolando, 57 Appartamento 48
Viale Saffi, 881 Appartamento 3
Viale Salvatore, 25
Viale Salvo, 859
Viale Sandro, 639 Piano 6
Viale Sandro, 8
Viale Santino, 97
Viale Saragat, 96
