Aasalléen 934, 8709 Knutbø
Halvorsengata 9, 4997 Bakken
Halvorsengrenda 2, 5107 Hegesand
Halvorsenhaugen 4, 5949 Martineeid
Halvorsenjordet 17, 7584 Mariannehelle
Halvorsenkroken 5C, 9900 Ninaby
Halvorsenlyngen 475, 5796 Pedersen
Halvorsenløkka 1E, 6385 Ellingsen
Halvorsenmoen 884, 8183 Sandvik
Halvorsenringen 34, 0295 Sveinøy
Halvorsenspranget 6C, 2920 Eliseeid
Halvorsensvingen 099, 7395 Helland
Halvorsentoppen 2, 4645 Camillastrand
Halvorsentunet 24B, 4306 Solberg
Halvorsenvollen 37, 7513 Evensen
Hansenalléen 3, 8359 Thomassen
Hansenbakken 977, 3154 Stineberg
Hansenberget 472, 8717 Ceciliegrunn
Hansenberget 86G, 7661 Berge
Hansenbråten 24C, 8566 Grostad
Hansenbråten 91, 2712 Birkeland
Hanseneggen 2, 3118 Saranes
Hansenengen 6, 9137 Lisesjøen
Hansenflata 8H, 6841 Lien
Hansengata 6, 1399 Turidvåg
Hansenhaugen 1B, 2144 Kristineø
Hansenhaugen 52, 8187 Johnsen
Hansenhavna 61, 2191 Kristoffervåg
Hansenringen 23, 9936 Tobiasfjord
Hansenskrenten 9, 1502 Kennethnes
Hansenstykket 84, 1736 Karlsen
Hansentoppen 37, 2224 Olsen
Hansenvika 3, 8873 Livfoss
Hanssenalléen 1, 2733 Thorsen
Hanssenekra 2F, 6163 Evensen
Hanssenekra 48, 1792 Eriksen
Hanssenfaret 50, 2381 Fredriksen
Hanssenfaret 8, 2287 Hagen
Hanssenflata 40E, 3577 Eirikodden
Hanssenflata 9, 4225 Kristoffersen
Hanssengata 3, 6102 Tommystad
Hanssengrenda 7, 3986 Knudsen
Hanssenhagen 19E, 5007 Erikås
Hanssenholtet 58, 5409 Evensen
Hanssenplassen 8A, 7876 Marenfoss
Hanssenskogen 016, 4427 Aas
Hanssentoppen 3, 6780 Egilfjell
Hanssenåsen 54A, 1111 Espensund
Haugbråten 1, 0009 Eivinddal
Haugeeggen 4, 1181 Lund
Haugefaret 66, 9993 Heleneø
Haugeflata 14, 1137 Marieborg
Haugeflata 6, 3907 Jørgensen
Haugegata 1, 7569 Mariamark
Haugegata 6, 3633 Henriksen
Haugegjerdet 950, 5712 Lund
Haugegrenda 1, 7658 Iversen
Haugehøgda 54, 4873 Linnøy
Haugekollen 409, 7720 Moen
Haugekra 7, 9481 Nygård
Haugekroken 43, 6068 Helgevik
Haugekroken 94, 0921 Linnhamn
Haugelia 7G, 0900 Juliegrunn
Haugelunden 063, 7419 Finnø
Haugelyngen 061, 0569 Sverrestad
Haugemoen 5, 3358 Sæther
Haugemyra 8, 3438 Paulsen
Haugenbakken 15, 7823 Mariø
Haugenbakken 2, 5105 Sivertsen
Haugenbakken 5, 1125 Jakobsen
Haugenengen 963, 0102 Berntsen
Haugenfaret 4B, 2478 Johansen
Haugengjerdet 74, 6522 Sæther
Haugengrenda 9, 9961 Andersen
Haugengropa 8B, 5044 Aune
Haugenhavna 4, 4854 Nilsby
Haugenhøgda 85, 7367 Pettersen
Haugenlyngen 47, 1926 Roargrunn
Haugenløkka 8G, 8789 Danielsen
Haugenroa 6A, 3626 Ritaås
Haugenspranget 3, 9072 Gerdmark
Haugenstien 1, 2943 Sofiemark
Haugenstranda 673, 5905 Nygård
Haugensvingen 96, 5911 Kristinhamn
Haugentunet 8, 8862 Haugen
Haugenvika 08, 2578 Saranes
Haugetoppen 28, 1379 Kristensen
Haugetunet 54E, 9150 Sandvik
Haugevollen 843, 3024 Norahelle
Haugflata 34, 2378 Torbjørnfoss
Haugflata 5C, 6848 Kariøy
Hauggjerdet 56B, 4369 Fredrikstad
Hauggjerdet 971, 1279 Paulsen
Hauggrenda 3F, 0473 Myhre
Haughavna 20, 9899 Joakimeid
Haughavna 85, 9725 Knudsen
Haughavna 86H, 7704 Antonsen
Haugholtet 01A, 6878 Olefjord
Haugkroken 45, 7524 Strøm
Hauglandekra 1, 3482 Evasjøen
Hauglandfaret 54, 3952 Britthamn
Hauglandflata 6D, 5551 Ritavåg
Hauglandgjerdet 2, 2763 Myklebust
Hauglandgjerdet 82, 5119 Tovehavn
Hauglandhagen 6, 6674 Mortenvær
Hauglandhøgda 504, 0459 Jørgensen
Hauglandhøgda 52, 4066 Emiliedal
Hauglandlunden 2, 0308 Jenssen
Hauglandmoen 4, 8810 Tommyøy
Hauglandmyra 628, 7346 Ali
Hauglandplassen 060, 1853 Eliassen
Hauglandplassen 54B, 6882 Robertfjell
Hauglandrøa 1, 3134 Mariteid
Hauglandrøa 44, 9508 Paulsen
Hauglandspranget 3, 4669 Arnesen
Hauglandstien 5, 3214 Ruud
Hauglandstubben 41, 0299 Vik
Hauglandsvingen 1, 1794 Arildgrunn
Hauglandtoppen 7F, 6466 Arnesen
Hauglandtoppen 84, 9143 Kristensen
Hauglandtunet 48F, 0615 Iversen
Hauglunden 9, 5666 Madsen
Haugmyra 09C, 1230 Bakken
Haugplassen 49A, 8665 Sebastiandal
Haugspranget 62, 0289 Larsen
Haugspranget 9D, 1121 Haugland
Haugstien 45, 1546 Helgesund
Haugstranda 2, 8982 Hannevik
Haugstubben 28, 0431 Simenfjord
Haugtjernet 33, 0119 Kjetilfjord
Haugtunet 889, 9389 Ireneø
Haugåsen 4, 3102 Karlby
Haugåsen 7, 5140 Saraø
Hellandalléen 477, 5421 Dahl
Hellandalléen 8, 5159 Myklebust
Hellandbakken 5, 1201 Halvorsen
Hellandekra 95A, 1538 Saraeid
Hellandfaret 2, 6132 Hauge
Hellandgropa 94, 1770 Mikkelsen
Hellandhagen 206, 1337 Markussund
Hellandhagen 8, 6062 Tveit
Hellandhaugen 07, 3255 Stineby
Hellandhøgda 54, 9097 Johnsen
Hellandlia 7, 8896 Geirstad
Hellandlunden 18, 9796 Birkeland
Hellandroa 4, 5085 Tangen
Hellandskogen 7, 5494 Lie
Hellandstranda 03A, 7003 Geirvær
Hellandstranda 8, 9301 Bakken
Hellandvika 4, 2156 Theafjell
Henriksenekra 40, 3808 Edvardsen
Henriksenflata 3, 3933 Nguyen
Henriksengjerdet 9A, 7836 Jørgennes
Henriksengrenda 7, 5406 Mariefjell
Henriksengropa 8, 9201 Birkeland
Henriksengropa 85, 6927 Gretemark
Henriksenhavna 6H, 9809 Olsen
Henriksenhøgda 90, 8582 Hagen
Henriksenjordet 05, 3604 Annefoss
Henriksenkollen 6, 4111 Karolinehavn
Henriksenlunden 9E, 4622 Johannessen
Henriksenløkka 51, 8531 Paulsen
Henriksenringen 7F, 5975 Rasmussen
Henriksenrøa 8, 8191 Idagrunn
Henriksenspranget 7, 7518 Haugen
Henriksensvingen 335, 9742 Lie
Henriksentoppen 4, 8205 Ruthvåg
Henriksentoppen 8, 6391 Malinsjøen
Henriksentunet 8, 8714 Elinsund
Henriksenvollen 8, 7442 Eivindø
Holmekra 594, 7134 Kjetildal
Holmflata 053, 3257 Thomassen
Holmgata 8, 5164 Kjerstivåg
Holmgjerdet 530, 3487 Madsen
Holmgjerdet 55, 0538 Larsen
Holmgropa 2, 3464 Olavær
Holmgropa 5, 3967 Nygård
Holmhavna 40, 6677 Haug
Holmjordet 7, 6308 Finnbø
Holmlunden 138, 0309 Robertfoss
Holmlyngen 2, 2020 Sørensen
Holmløkka 7E, 5818 Antonsen
Holmroa 20, 3475 Einarøy
Holmroa 47, 6684 Kristoffersen
Holmroa 94C, 2778 Thorsen
Holmstubben 379, 5390 Knudsen
Holmsvingen 6, 0736 Vegardstad
Holmvika 05B, 4481 Daghavn
Holmvollen 5, 6112 Bentefjell
Holmåsen 3, 4284 Idaberg
Isaksenalléen 6, 8867 Abrahamsen
Isaksenbråten 9, 7080 Andreassen
Isaksenekra 9, 9699 Mathiasodden
Isaksenflata 3, 3643 Kjellsund
Isaksengata 5G, 0073 Brittvik
Isaksengjerdet 31B, 9345 Heidiberg
Isaksenholtet 2A, 6949 Halvorsen
Isaksenjordet 63, 6832 Reidundal
Isaksenlyngen 2, 3736 Karenberg
Isaksenlyngen 9, 2610 Olsen
Isaksenmyra 283, 5217 Tveit
Isaksenroa 80, 7179 Svendsen
Isaksenskogen 73, 6882 Pedersen
Isaksenskrenten 5A, 3948 Kennethborg
Isaksenstranda 6, 9377 Trinehavn
Isaksenstubben 05C, 1203 Gromark
Isaksenstubben 2, 4866 Turidhamn
Isaksentunet 9, 7498 Håvardhelle
Iversenbakken 78B, 8323 Simonsen
Iverseneggen 32C, 3016 Pettersen
Iversenekra 52F, 1783 Haugen
Iversenfaret 91, 3139 Geirgrunn
Iversenflata 1, 2243 Arnesen
Iversengjerdet 37E, 9326 Tveit
Iversenhaugen 348, 8646 Magnegrunn
Iversenhaugen 40C, 5851 Haug
Iversenholtet 26, 1169 Mikkelsen
Iversenholtet 85B, 7902 Andreassen
Iversenjordet 416, 8312 Erikdal
Iversenlunden 3, 3982 Mareneid
Iversenlunden 89, 9297 Pålfjell
Iversenmarka 7, 6071 Danieløy
Iversenplassen 7, 9876 Olavåg
Iversenplassen 85, 7915 Synnøvefjord
Iversenroa 01, 8374 Christensen
Iversenstien 22, 4859 Perodden
Iversenstranda 5, 4860 Kjerstimark
Iversenstubben 6, 4531 Berntsen
Iversenvollen 5, 8109 Eriksen
Jacobsenberget 7, 0185 Thomassen
Jacobsenfaret 8, 3254 Julievær
Jacobsengata 6B, 4421 Engen
Jacobsenhaugen 1, 2799 Kjerstifjord
Jacobsenhavna 2, 6872 Steinarstrand
Jacobsenkollen 5, 0834 Lisedal
Jacobsenlia 29, 9656 Mikkelsen
Jacobsenmarka 20E, 8022 Lenestrøm
Jacobsenmarka 898, 7800 Nilsen
Jacobsenmoen 2, 7473 Turidfoss
Jacobsenringen 582, 7937 Petterås
Jacobsenringen 78C, 4575 Svendsen
Jacobsenskrenten 40, 9368 Madsen
Jacobsenstykket 81, 0745 Beritø
Jacobsentjernet 66A, 1680 Finnstrøm
Jacobsentunet 07F, 3698 Christensen
Jacobsentunet 8B, 8950 Jonhamn
Jacobsenvika 39, 9124 Synnøvesand
Jacobsenåsen 5, 4646 Sæther
Jakobsenbråten 51, 2025 Evensen
Jakobsenengen 3A, 2637 Iversen
Jakobsengropa 899, 1528 Iversen
Jakobsenhagen 472, 2902 Nygård
Jakobsenhøgda 84, 5917 Karlsund
Jakobsenkollen 13, 9394 Andersås
Jakobsenlia 1B, 6324 Lineborg
Jakobsenmarka 22, 7657 Bakke
Jakobsenmarka 3, 5470 Nygård
Jakobsenplassen 2, 9982 Holm
Jakobsenringen 9, 2001 Maritsjøen
Jakobsenroa 65C, 6241 Steinarsjøen
Jakobsenrøa 4, 9677 Dahl
Jakobsenstykket 7C, 2391 Annasand
Jakobsensvingen 390, 2570 Simonsen
Jakobsentoppen 7, 2811 Mariaborg
Jakobsentoppen 729, 6979 Sanderby
Jakobsenvika 24, 7458 Iversen
Jakobsenvollen 457, 1961 Eide
Jensenbakken 05, 0371 Livmark
Jensenbakken 74, 7892 Trondberg
Jensenberget 3, 9444 Moen
Jensenekra 845, 8607 Moen
Jensengjerdet 104, 7815 Engen
Jensenhøgda 52, 8516 Solheim
Jensenlyngen 59A, 8435 Larsen
Jensenløkka 61C, 9415 Berge
Jensenmarka 63, 7712 Simonsen
Jensenmoen 1, 5619 Nygård
Jensenringen 1, 7133 Karlsen
Jensenroa 8, 2918 Bakke
Jensenskogen 7, 3106 Unnistad
Jensenskrenten 3, 9618 Jansand
Jensentjernet 6C, 9170 Knudsen
Jensentunet 1, 0639 Ellingsen
Jensenvollen 1H, 8672 Beritgrunn
Jensenvollen 3H, 0472 Reidunstrand
Jensenåsen 2, 4983 Berntsen
Jenssenalléen 29, 0506 Vegardhelle
Jenssenbakken 3, 5227 Nguyen
Jenssenbråten 4, 6759 Madsen
Jensseneggen 15, 2493 Bøe
Jenssenekra 927, 1477 Simonsen
Jenssenengen 63C, 8452 Rolfdal
Jenssenflata 74E, 5762 Sverrevik
Jenssengropa 8C, 3921 Jonasberg
Jenssenhagen 5, 8100 Nygård
Jenssenhagen 77B, 2069 Olsen
Jenssenhaugen 42G, 4328 Wencheås
Jenssenkollen 5, 1199 Ivarbø
Jenssenkroken 09, 9754 Karolinemark
Jenssenmarka 923, 7105 Turidvær
Jenssenplassen 2, 8688 Brekke
Jenssenskogen 74, 6095 Engen
Jenssenstien 377, 1880 Hegefjell
Jenssensvingen 5, 6786 Karlsand
Jenssensvingen 7, 1343 Evensen
Jenssentjernet 832, 0853 Christensen
Jenssentoppen 7, 3175 Thomassen
Jenssenvika 6D, 7994 Thorvær
Jenssenåsen 8A, 1541 Bakken
Johannessenalléen 40, 5894 Haraldgrunn
Johannessenalléen 60B, 6875 Johannessen
Johannessenfaret 68F, 8003 Rønning
Johannessengjerdet 166, 3362 Evensen
Johannessenholtet 27A, 2736 Irenehelle
Johannessenlyngen 44, 8514 Håvardsund
Johannessenmarka 61E, 1824 Einarø
Johannessenmarka 7F, 2555 Lien
Johannessenplassen 29A, 3652 Stinegrunn
Johannessenstubben 1, 8078 Bjørnvåg
Johannessenstubben 5, 2767 Ritahelle
Johannessensvingen 8, 8672 Karenhavn
Johannessentjernet 1, 6192 Anettestrøm
Johannessentoppen 9E, 4442 Linnvåg
Johansenalléen 3, 6226 Håvardberg
Johansenberget 7E, 9609 Arnesen
Johansenbråten 920, 2497 Vegardsund
Johanseneggen 77, 9639 Eliassen
Johansenengen 41, 5590 Sindrestrøm
Johansengjerdet 480, 4579 Bøe
Johansenhagen 7, 3384 Johnsjøen
Johansenhaugen 8E, 2652 Aas
Johansenkroken 79, 4325 Hagen
Johansenmoen 162, 8202 Abrahamsen
Johansenmyra 003, 0716 Næss
Johansenmyra 7, 0300 Grofoss
Johansenringen 5, 3837 Edvardsen
Johansenroa 62, 8063 Idasund
Johansenskogen 46, 6885 Robertstad
Johansenstien 9, 2104 Trondodden
Johansenstranda 18, 3040 Hansvåg
Johansenstykket 3, 2678 Jannestad
Johansenstykket 9, 6226 Karlnes
Johansensvingen 6F, 1439 Bakken
Johansentjernet 20, 6163 Sivertsen
Johansentoppen 25D, 8901 Randibø
Johansentunet 536, 1290 Monicastrøm
Johnsenalléen 6, 7275 Andresen
Johnseneggen 45, 0565 Pettersen
Johnseneggen 79, 8259 Kristinfjord
Johnsenekra 9, 9147 Antonsen
Johnsenengen 57, 8051 Andreassen
Johnsenfaret 2, 1003 Adrianvik
Johnsenflata 67, 4881 Ødegård
Johnsengrenda 4, 8970 Theanes
Johnsengropa 9A, 5296 Tornes
Johnsenlia 1, 9473 Andreasberg
Johnsenlyngen 7B, 3680 Monafjell
Johnsenmarka 875, 8154 Vildenes
Johnsenringen 00B, 4364 Dahl
Johnsenringen 2, 0463 Lien
Johnsenringen 5A, 3284 Kjerstines
Johnsenringen 68B, 5083 Sivby
Johnsenroa 69, 9834 Pettersen
Johnsenrøa 4, 2315 Rolfhamn
Johnsenskogen 706, 0140 Aune
Johnsentjernet 8, 4690 Eiriksund
Johnsentoppen 1, 6204 Nygård
Jørgensenberget 5D, 5959 Monastad
Jørgensenberget 7, 1364 Myhre
Jørgensenberget 8, 3023 Ruthnes
Jørgensenbråten 40F, 6154 Nguyen
Jørgensenbråten 7, 5365 Jannestad
Jørgenseneggen 1, 5448 Antonsen
Jørgensenfaret 90, 2829 Annaborg
Jørgensengropa 5B, 1703 Elifoss
Jørgensenhavna 69, 3183 Håkonhamn
Jørgensenholtet 4, 9324 Holm
Jørgensenholtet 4E, 8663 Lisemark
Jørgensenhøgda 340, 6810 Aune
Jørgensenjordet 6F, 3434 Henrikhavn
Jørgensenmarka 30, 8758 Ellingsen
Jørgensenspranget 8C, 8844 Kjerstihavn
Jørgensenstien 2E, 4751 Nygård
Jørgensenstubben 28A, 4582 Olavberg
Jørgensenstykket 9, 9849 Antonsen
Jørgensenvika 9, 1538 Tangen
Jørgensenvollen 08B, 1433 Brekke
Jørgensenvollen 6F, 9119 Ahmed
Karlsenbakken 4, 8549 Sandvik
Karlseneggen 6A, 2204 Brittøy
Karlsenflata 5A, 8784 Martinebø
Karlsengropa 8, 4998 Brittfoss
Karlsenhøgda 6, 3794 Karinnes
Karlsenmarka 34, 6522 Ivarstrøm
Karlsenmarka 4, 3341 Simonsen
Karlsenringen 4, 2491 Kåreeid
Karlsenringen 7, 1945 Einarhavn
Karlsenringen 98, 5369 Sverrefoss
Karlsenspranget 8E, 2949 Øysteinbø
Karlsenstranda 7, 8604 Bentedal
Karlsenstranda 73, 5511 Amundsen
Karlsenstykket 62, 2138 Jakobsen
Karlsenvollen 2C, 1710 Nilsen
Knudsenbakken 84H, 7550 Eriksen
Knudsenberget 79C, 6027 Christensen
Knudsenfaret 5, 7026 Kristensen
Knudsenflata 713, 4793 Erlingby
Knudsengjerdet 90, 6708 Simonsen
Knudsengropa 471, 1780 Fredriksen
Knudsenhagen 617, 4934 Grohavn
Knudsenhaugen 71, 2441 Mikkelsen
Knudsenhavna 5, 4197 Arildfoss
Knudsenjordet 9, 4711 Sæther
Knudsenlia 8, 1374 Mariusås
Knudsenmarka 3, 9406 Strøm
Knudsenmarka 97, 5695 Iversen
Knudsenmoen 61, 8848 Helland
Knudsenmyra 5F, 3024 Berntsen
Knudsenroa 374, 1523 Ruthfjell
Knudsenrøa 4, 4537 Tonjevåg
Knudsenskrenten 14A, 2929 Sisselhelle
Knutsenbråten 17, 3566 Ritaø
Knutseneggen 2C, 5697 Elinø
Knutseneggen 985, 4977 Aas
Knutsenengen 8, 2818 Martinstrøm
Knutsengropa 24, 5674 Kristinehelle
Knutsengropa 427, 8313 Jørgenodden
Knutsenholtet 5, 0276 Anitaø
Knutsenjordet 4, 2422 Tveit
Knutsenlunden 46H, 6885 Aas
Knutsenløkka 6, 2371 Egilstad
Knutsenmoen 1, 2300 Nygård
Knutsenmoen 370, 6112 Cecilieås
Knutsenplassen 8, 2295 Linnstad
Knutsenplassen 9A, 8008 Birkeland
Knutsenringen 145, 6158 Asbjørnberg
Knutsenrøa 9A, 8408 Ruud
Kristensenalléen 5, 8830 Arnesen
Kristensenalléen 568, 3606 Eliassen
Kristensenekra 5, 5263 Christensen
Kristensengrenda 238, 1487 Nguyen
Kristensengrenda 4, 7565 Vidarsund
Kristensengropa 717, 0890 Turidnes
Kristensenlunden 75, 6626 Tommydal
Kristensenlyngen 134, 0140 Adriansund
Kristensenlyngen 4, 7394 Marihamn
Kristensenmyra 4, 3179 Åseberg
Kristensenplassen 6E, 3444 Ellingsen
Kristensenroa 57A, 6927 Linebø
Kristensenstien 3, 8794 Pettersen
Kristensenstien 5, 0446 Eriksen
Kristensenstubben 54A, 5087 Christensen
Kristensensvingen 8A, 0889 Larsen
Kristensentoppen 260, 0744 Arildøy
Kristensentunet 43D, 9955 Elisabethgrunn
Kristensentunet 7, 6156 Mariafjell
Kristensentunet 9, 4151 Rønning
Kristensenåsen 6, 0944 Martinsen
Kristiansenalléen 10C, 1457 Jensfjell
Kristiansenalléen 2, 5338 Pedersen
Kristiansenfaret 59, 7878 Bakke
Kristiansenfaret 8, 0676 Myklebust
Kristiansengata 120, 0323 Arildvik
Kristiansengata 3, 5511 Martinø
Kristiansengjerdet 43, 9561 Steinarhamn
Kristiansengrenda 05A, 7014 Annvær
Kristiansengrenda 2, 3766 Sandvik
Kristiansengrenda 3, 0894 Johannessen
Kristiansenhagen 3, 9966 Pedersen
Kristiansenlyngen 5, 8203 Elivær
Kristiansenløkka 33, 9432 Monicadal
Kristiansenmoen 034, 1490 Jorunnodden
Kristiansenplassen 3, 2776 Karolineeid
Kristiansenplassen 391, 4266 Hauge
Kristiansenplassen 96D, 8438 Unnines
Kristiansenskrenten 85, 1294 Christensen
Kristiansenstubben 4, 9504 Solberg
Kristiansenstykket 61, 6569 Hagen
Kristiansenstykket 6C, 9769 Stigvær
Kristiansenstykket 96B, 3457 Ødegård
Kristiansentjernet 432, 2498 Nilsen
Kristiansentunet 111, 4335 Elisabethstrøm
Kristiansentunet 1C, 6545 Joakimmark
Kristiansenvollen 093, 2186 Jensen
Kristiansenvollen 8, 4514 Ruud
Kristiansenåsen 9, 1752 Andresen
Kristoffersenbakken 9, 2920 Ivarhavn
Kristoffersenbakken 94, 9966 Danielfjord
Kristoffersenbråten 43, 3548 Nielsen
Kristoffersenbråten 50, 5690 Aune
Kristoffersenfaret 1, 6784 Andresen
Kristoffersengata 169, 2839 Antonsen
Kristoffersengjerdet 8, 7135 Tomeid
Kristoffersenhøgda 6, 5029 Simonsen
Kristoffersenjordet 62, 9326 Ahmed
Kristoffersenløkka 7, 2468 Stigbø
Kristoffersenplassen 8, 4880 Nielsen
Kristoffersenringen 7E, 6723 Sisselsjøen
Kristoffersenroa 9D, 4082 Christianhelle
Kristoffersenskogen 22, 8287 Iversen
Kristoffersenstien 69, 7113 Nielsen
Kristoffersenstykket 2, 4505 Nilsen
Kristoffersentjernet 9, 8525 Olsen
Kristoffersentoppen 45, 3774 Edvardsen
Kristoffersentunet 6, 2234 Håkonodden
Kristoffersenvika 1E, 2102 Irenesjøen
Kristoffersenåsen 4, 2364 Håvardøy
Larsenalléen 79D, 9951 Karinås
Larsenbråten 4, 1951 Annedal
Larsenengen 5, 6014 Olafoss
Larsengata 78C, 0036 Tobiasodden
Larsengjerdet 5, 9485 Hildestrøm
Larsengrenda 1, 7956 Roysand
Larsenhøgda 6, 2807 Edvardsen
Larsenjordet 2, 8188 Elimark
Larsenmarka 163, 3920 Myhre
Larsenmyra 24, 2309 Martinfoss
Larsenmyra 5B, 6645 Dahl
Larsenplassen 253, 6974 Jonashelle
Larsenringen 69, 7024 Brittås
Larsenringen 9, 7157 Hauge
Larsenroa 56, 7809 Brittfoss
Larsenrøa 9, 9569 Thomassen
Larsenrøa 95, 5609 Næss
Larsenskogen 6, 9608 Sirihavn
Larsenstubben 26, 2543 Beritbø
Larsenstubben 5, 9540 Monicaø
Larsensvingen 2, 2084 Tveit
Larsentoppen 3, 0024 Evensen
Larsenåsen 9, 5603 Idaborg
Liealléen 6, 3986 Solheim
Lieberget 34, 4790 Hagen
Lieekra 2A, 2685 Sisselvåg
Liegjerdet 04, 5845 Gundersen
Liegjerdet 12C, 0602 Olsen
Liegjerdet 15, 9993 Annhavn
Liehagen 20, 3554 Ali
Liehagen 84C, 0196 Ellenmark
Liehaugen 25B, 7803 Toremark
Lieholtet 2E, 9684 Larsø
Liehøgda 28D, 4969 Myklebust
Lielia 39, 0877 Marenvåg
Lielunden 87C, 6793 Anitafjord
Liemarka 31, 5957 Bjørghamn
Liemoen 067, 9791 Sebastianvik
Lienalléen 9, 2382 Brekke
Lienbråten 3, 5598 Hauge
Lienbråten 465, 1949 Emiliestrøm
Lieneggen 6, 1671 Håkonvær
Lienengen 81, 4440 Paulsen
Lienflata 763, 3058 Tonjestrand
Lienhagen 7, 8061 Christensen
Lienhøgda 59A, 1239 Madsen
Lienlia 30, 6314 Ali
Lienlunden 237, 7925 Eide
Lienlunden 83B, 2291 Lunde
Lienlyngen 2, 4273 Sigurdstad
Lienløkka 39B, 8425 Hauge
Lienløkka 62A, 5164 Sindreøy
Lienmoen 7, 6186 Rasmussen
Lienrøa 5A, 5657 Paulsen
Lienskrenten 234, 0304 Sigurdby
Lienskrenten 4, 1979 Ruud
Lienskrenten 5, 5402 Berntsen
Lientjernet 4C, 0707 Sanderhelle
Lientoppen 9G, 7012 Kimbø
Lientunet 08D, 2987 Nielsen
Lieplassen 59, 5181 Pettervåg
Lierøa 6, 5031 Juliesjøen
Lieskogen 87, 5703 Johansen
Lieskrenten 1C, 5564 Stighelle
Lieskrenten 8, 6266 Strand
Liestien 25, 7139 Olsen
Liestubben 3D, 8130 Magneeid
Lietjernet 71D, 5424 Robertfoss
Lietunet 50, 7706 Gretheås
Lievika 69, 6507 Linnborg
Lundbakken 34, 3585 Næss
Lundealléen 31, 5060 Adrianodden
Lundefaret 03C, 4499 Fredriksen
Lundegjerdet 5, 7460 Jenssen
Lundegrenda 770, 4569 Eriksen
Lundeholtet 1, 9321 Sørensen
Lundekollen 47, 1745 Mikkelsen
Lundekollen 78B, 3209 Trondhelle
Lundekroken 02, 3036 Andreasstrand
Lundelyngen 14, 3584 Knudsen
Lundemarka 4, 5747 Solveigstrand
Lundemarka 5, 1534 Vik
Lundemoen 2, 1800 Andreassen
Lunderingen 1B, 7846 Gundersen
Lunderoa 8, 1904 Thorsen
Lundeskrenten 58, 3325 Svendsen
Lundespranget 53G, 7186 Brekke
Lundestranda 47, 7520 Gulbrandsen
Lundestubben 73A, 6602 Johnmark
Lundestubben 934, 6203 Sivertsen
Lundestykket 325, 1798 Erlingodden
Lundfaret 849, 9727 Liseeid
Lundgata 08, 7389 Sigurdsund
Lundgjerdet 9F, 2062 Holm
Lundgrenda 6, 3151 Hannefjord
Lundlyngen 5D, 1434 Lien
Lundlyngen 76, 5323 Knutsen
Lundmarka 16, 9375 Amundsen
Lundmarka 6, 1682 Eide
Lundmyra 467, 9753 Johnvåg
Lundstien 9, 7473 Hansen
Lundtjernet 9, 7616 Helenesand
Lundtunet 51A, 8782 Vik
Lundvika 8, 4585 Eliassen
Lundvollen 5, 4862 Mettevik
Madsenbakken 73, 2717 Hannaøy
Madseneggen 6E, 8749 Andreasgrunn
Madsenfaret 1, 6222 Berg
Madsenflata 77, 1342 Thomasby
Madsengrenda 5, 4513 Berge
Madsenhaugen 6, 9153 Jonasøy
Madsenhavna 31, 2032 Nilsen
Madsenhavna 90A, 7885 Haraldsund
Madsenhøgda 5, 9475 Dagvær
Madsenjordet 09, 9498 Næss
Madsenkollen 5, 9514 Janfjord
Madsenkroken 82C, 1116 Ritavær
Madsenkroken 928, 4766 Madsen
Madsenlyngen 9B, 1709 Dagberg
Madsenmoen 6, 3712 Haug
Madsenmyra 97, 8983 Pettersen
Madsenroa 58E, 9023 Strand
Madsenskogen 18, 6236 Vidarås
Madsenskogen 7, 6303 Roygrunn
Madsenstranda 92, 7365 Monaberg
Madsentjernet 8D, 8293 Emmaø
Martinsenbakken 2, 0779 Hauge
Martinsenberget 3C, 0393 Bjørndal
Martinsenflata 3, 7305 Jacobsen
Martinsengropa 1C, 7098 Gerdø
Martinsenhaugen 30A, 4374 Annaås
Martinsenhaugen 36, 1662 Magnusvik
Martinsenhavna 6, 2653 Torvåg
Martinsenhøgda 25, 4921 Pettersen
Martinsenjordet 7, 4295 Jonassjøen
Martinsenjordet 981, 9433 Vik
Martinsenkollen 27A, 1195 Mathisen
Martinsenlia 07, 6748 Vik
Martinsenlia 6, 5834 Johanneseid
Martinsenlunden 452, 3658 Madsen
Martinsenlyngen 34, 5049 Eriksen
Martinsenlyngen 7, 5652 Stiannes
Martinsenløkka 51, 5572 Moe
Martinsenmoen 75B, 8660 Simonsen
Martinsenstien 06A, 3418 Synnøveø
Martinsenstien 7, 6084 Sebastianfjell
Martinsenstranda 609, 6333 Vildeø
Martinsenstranda 92F, 1521 Øysteinfoss
Martinsentoppen 717, 0878 Haug
Martinsentunet 86, 0954 Tveit
Mathisenalléen 3, 0805 Hansen
Mathisenengen 7, 0271 Theasjøen
Mathisengrenda 2B, 3942 Ellingsen
Mathisengropa 7, 2141 Steinardal
Mathisenhagen 142, 7633 Antonsen
Mathisenhagen 4, 2833 Isaksen
Mathisenholtet 8, 8215 Evavåg
Mathisenholtet 81, 8905 Lund
Mathisenhøgda 8, 4501 Kåreøy
Mathisenkroken 204, 6492 Rasmussen
Mathisenlunden 2, 1581 Haugland
Mathisenmarka 1, 0498 Madsen
Mathisenringen 4, 4440 Haugland
Mathisenskogen 974, 9298 Sofieodden
Mathisenstranda 242, 2699 Martinsen
Mathisenstranda 6G, 3436 Eivindmark
Mathisenstykket 2, 2938 Leifnes
Mathisenstykket 4, 9124 Espenberg
