Abdul-Kreusel-Ring 5335
Geißlergasse 78/71
13716 Hünfeld
Geißlerstr. 4
60452 Deggendorf
Geißlerweg 8
15526 Rochlitz
Genoveva-Freudenberger-Platz 33-85
67511 Crailsheim
Georg-Wirth-Platz 86
37659 Ebern
Gerald-Niemeier-Ring 67-43
93846 Northeim
Gerald-Sorgatz-Allee 7
35621 Eisleben
Geraldine-Koch II-Weg 0
75682 Starnberg
Gerd-Oderwald-Ring 1926
13620 Torgau
Gerda-Mohaupt-Allee 1
91866 Eisenhüttenstadt
Gerlachgasse 2-7
71591 Eggenfelden
Gerlachring 8716
24263 Schwäbisch Hall
Gerlachring 9/2
29785 Gardelegen
Gerlachweg 37
86950 Dinslaken
Gerlachweg 55
29182 Uelzen
Gerlind-Jähn-Straße 9/6
17377 Geldern
Gerold-Henschel-Straße 7/9
77935 Demmin
Gerold-Koch II-Straße 2560
91543 Niesky
Gerta-Oestrovsky-Ring 6183
56936 Regensburg
Gertraud-Steinberg-Weg 76-75
55060 Beilngries
Gertraude-Möchlichen-Allee 9-2
64113 Ribnitz-Damgarten
Gertrud-Drubin-Weg 60-31
73462 Fallingbostel
Gertrude-Langern-Allee 22/53
46519 Tuttlingen
Gertzring 8/4
44763 Königs Wusterhausen
Gerwin-Schäfer-Ring 1
11256 Amberg
Gesa-Patberg-Ring 6775
14210 Darmstadt
Gierschnergasse 559
99989 Schwerin
Gierschnerring 30-67
72054 Demmin
Gierschnerring 4
23170 Erding
Gierschnerstr. 1860
98009 Seelow
Gierschnerstraße 4577
79296 Neunburg vorm Wald
Giesela-Lindau-Straße 6
88730 Eisenberg
Gießplatz 61/41
45793 Jülich
Gießring 40/48
88846 Aurich
Gießring 4691
53195 Burglengenfeld
Gina-Wesack-Straße 5-7
84954 Kehl
Gino-Pohl-Platz 7086
63513 Teterow
Giovanni-Bolzmann-Platz 21/30
35768 Erfurt
Girschnerring 6/7
75216 Zeulenroda
Gisela-Bloch-Straße 9-8
88046 Lübben
Gitte-Johann-Platz 8/2
83689 Pirmasens
Gitte-Karge-Ring 50-99
31354 Gera
Gitte-Ullrich-Straße 8-3
36559 Badoberan
Giuseppe-Gehringer-Weg 12
58885 Reutlingen
Giuseppina-Schwital-Ring 3
01454 Prenzlau
Gloria-Lübs-Allee 370
79041 Eisenberg
Gnatzgasse 64/22
15364 Oranienburg
Gnatzring 5196
66758 Bremen
Gnatzweg 3-4
54868 Celle
Gnatzweg 5
93591 Gadebusch
Gnatzweg 6/1
83120 Schwarzenberg
Gordana-Matthäi-Weg 8
19053 Kassel
Gordon-Heuser-Ring 7-1
50637 Parchim
Gorlitzstraße 62/20
04497 Wittmund
Gotthardplatz 48/66
13658 Bamberg
Gotthardstr. 4
31972 Schweinfurt
Gotthardstraße 90
34690 Dresden
Grafgasse 40/84
89475 Wolfratshausen
Grafstraße 6
63953 Garmisch-Partenkirchen
Grazyna-Zahn-Platz 4857
15830 Fulda
Grein Grothstraße 53
61067 Meppen
Greta-Berger-Gasse 4
57599 Rathenow
Grete-Drub-Allee 2192
56205 Prenzlau
Grete-Heß-Allee 3
56936 Angermünde
Grete-Thies-Ring 41/71
91478 Kassel
Gretl-Trubin-Gasse 4-5
69222 Marktheidenfeld
Gretl-Wähner-Platz 39/84
72749 Starnberg
Grit-Aumann-Allee 29
22881 Moers
Gröttnerplatz 72-49
08189 Zschopau
Gröttnerring 42-65
44436 Pößneck
Gröttnerstr. 66/17
87158 Fulda
Gudestraße 1617
93840 Nürtingen
Gudestraße 43-51
71212 Lichtenfels
Gudula-Barth-Weg 8/8
12205 Euskirchen
Gumprichstr. 7
12740 Göppingen
Gumprichweg 939
11969 Einbeck
Gundel-Trapp-Allee 80
32700 Kelheim
Gundula-Schleich-Gasse 7
13108 Eisleben
Gunhild-Karz-Gasse 36
53052 Mayen
Gunpfgasse 14-19
35982 Eckernförde
Gunpfstraße 121
60420 Dinslaken
Gunpfweg 7195
86363 Bruchsal
Gunter-Hesse-Straße 751
57007 Sangerhausen
Gustav-Hettner-Weg 3698
26765 Berlin
Gusti-Köhler-Allee 67
40131 Altentreptow
Gutegasse 3-9
63042 Hofgeismar
Guteweg 34/26
71943 Wunsiedel
Guteweg 52/23
44275 Lüdinghausen
Gutknechtallee 80
35975 Altötting
Gutknechtplatz 90/44
28915 Klötze
Gülsen-Radisch-Ring 5-8
41909 Bad Freienwalde
H.-Dieter-Sölzer-Ring 8628
74544 Großenhain
Haasering 46-62
92054 Potsdam
Haaseweg 77-31
88581 Suhl
Haeringgasse 82-91
18480 Tübingen
Haeringplatz 4765
91160 Stadtroda
Haeringring 7812
48080 Garmisch-Partenkirchen
Hagen-Schäfer-Allee 5-8
03947 Flöha
Hahnallee 995
44726 Grimmen
Hahngasse 2/3
21069 Ebersberg
Hahnstr. 6129
86246 Berlin
Hahnstr. 6177
29136 Teterow
Hahnstraße 2862
19878 Worbis
Hajo-Baum-Ring 8103
75048 Garmisch-Partenkirchen
Hajo-Rosenow-Straße 0
92627 Weimar
Hajo-Sontag-Straße 4-4
34833 Erkelenz
Hakan-Niemeier-Allee 71
10923 Saarlouis
Halina-Eimer-Gasse 11
90771 Eisleben
Hamannallee 5550
53941 Lüdinghausen
Hamannallee 702
62288 Schwarzenberg
Hamanngasse 5
43358 Groß-Gerau
Hamannring 11
97621 Lüneburg
Hamannstr. 19
53665 Erbisdorf
Hamannstr. 51
64522 Gütersloh
Hamannstraße 64
38194 Marktheidenfeld
Handestr. 316
69710 Nabburg
Handestraße 3/3
06220 Neustadt am Rübenberge
Handeweg 36-68
55311 Nabburg
Hanne-Schulz-Ring 29
02825 Senftenberg
Hannes-Linke-Platz 9
54803 Bad Kreuznach
Hanni-Ditschlerin-Gasse 434
21864 Gelnhausen
Hanni-Lindau-Allee 789
28843 Leipziger Land
Hans Dieter-Harloff-Ring 2-9
68544 Soest
Hans Georg-Rudolph-Platz 64
31243 Pinneberg
Hans Josef-Etzler-Ring 8075
26690 Eilenburg
Hans Josef-Finke-Platz 1-4
91902 Mühlhausen
Hans Josef-Jäkel-Straße 55
69638 Bersenbrück
Hans Peter-Freudenberger-Gasse 560
33228 Stadtroda
Hans Peter-Hesse-Platz 93/78
63590 Borken
Hans-Dietrich-Holsten-Straße 65-83
14844 Havelberg
Hans-Eberhard-Löwer-Weg 5/8
84852 Havelberg
Hans-Gerhard-Paffrath-Ring 927
14641 Hammelburg
Hans-Günther-Herrmann-Allee 4693
26207 Regensburg
Hans-Heinrich-Etzler-Ring 0
90469 Olpe
Hans-Herbert-Bolnbach-Ring 552
96895 Eutin
Hans-Herbert-Lachmann-Allee 8-2
05738 Gera
Hans-J.-Mielcarek-Allee 5-2
79517 Sömmerda
Hans-Jörg-Davids-Straße 1477
75627 Celle
Hans-Otto-Hering-Allee 50/84
22342 Geithain
Hans-Otto-Ullmann-Allee 7-7
76509 Rothenburg ob der Tauber
Hans-Ulrich-Ebert-Ring 83-64
80907 Naila
Hans-Werner-Börner-Platz 9/7
69109 Groß-Gerau
Hans-Werner-Platz 8176
68446 Fürstenwalde
Hans-Werner-Trubin-Straße 3
89960 Berchtesgaden
Hansgeorg-Hövel-Allee 297
03853 Grimmen
Hansjoachim-Pruschke-Allee 6
33893 Gera
Harald-Krein-Allee 3/7
65242 Querfurt
Hardy-Bloch-Allee 2-7
26957 Strasburg
Harloffallee 8379
78547 Brand
Harloffstr. 6571
52775 Lichtenfels
Harloffstr. 90-24
25294 Coburg
Harloffweg 66
30579 Gelnhausen
Harri-Krebs-Allee 3241
15066 Gotha
Harri-Schäfer-Straße 0
63688 Spremberg
Hartmanngasse 68/67
57992 Nördlingen
Hartmanngasse 78/91
17762 Viersen
Hartmannstraße 23
34294 Jülich
Hartmuth-Stolze-Gasse 98
72974 Havelberg
Hartungallee 3
30862 Grevesmühlen
Hartunggasse 7-5
68840 Beilngries
Hartungring 2/2
42520 Schwäbisch Gmünd
Hartungring 5825
98299 Riesa
Hartwig-Hertrampf-Allee 5/9
68829 Pirmasens
Hatice-Beer-Gasse 72
04701 Grimma
Hatice-Kallert-Ring 624
63242 Soest
Hatice-Sager-Straße 763
50286 Erkelenz
Haufferallee 24/39
53578 Aachen
Hauffergasse 67
42236 Stadtroda
Haufferstr. 99-86
69122 Vohenstrauß
Heckerstr. 563
03764 Biedenkopf
Hedi-Caspar-Ring 597
30073 Nauen
Hedwig-Stiebitz-Platz 3802
30057 Eggenfelden
Hedwig-Trubin-Straße 5511
83089 Schleiz
Heidelinde-Gutknecht-Weg 28-55
62458 Ochsenfurt
Heidelore-Bolzmann-Straße 33-87
08939 Schwäbisch Gmünd
Heidemarie-Rogner-Gasse 3-8
60958 Perleberg
Heidi-Steinberg-Allee 15-14
57279 Sankt Goarshausen
Heidi-Thies-Weg 2154
33984 Plauen
Heidrichallee 54-60
58593 Geldern
Heidrichring 5
22637 Steinfurt
Heidrichweg 9601
38074 Eisleben
Heidrun-Säuberlich-Platz 7-3
55324 Koblenz
Heimo-Budig-Gasse 9
25721 Parsberg
Heino-Wende-Gasse 7-3
81079 Gransee
Heinrich-Seifert-Straße 9001
12119 Weißwasser
Heinrichstr. 56/39
56871 Heinsberg
Heinrichweg 93/33
42565 Perleberg
Heinring 7/9
55630 Anklam
Heintzeweg 63
36752 Miesbach
Heintzeweg 83
29919 Potsdam
Heinz Dieter-Martin-Weg 4-1
93695 Schwandorf
Heinz-Beier-Ring 819
42303 Eisenhüttenstadt
Heinz-Gerd-Aumann-Gasse 140
06666 Neuruppin
Heinz-Gerd-Bloch-Weg 71-26
98419 Belzig
Heinz-Gerd-Hofmann-Gasse 12-14
13882 Siegen
Heinz-Günter-Schäfer-Gasse 5/8
29812 Gera
Heinz-Otto-Dobes-Allee 5
87334 Ingolstadt
Heinz-Otto-Dowerg-Platz 59/45
71653 Sangerhausen
Heinz-Otto-Martin-Allee 7
33366 Ahaus
Heinz-Peter-Krause-Weg 4-4
78705 Soltau
Heinz-Peter-Scholtz-Weg 8
76700 Schlüchtern
Heinz-Werner-Förster-Weg 5-7
53930 Bad Langensalza
Heinz-Werner-Niemeier-Straße 5/2
84724 Rehau
Heinz-Willi-Weinhage-Straße 7
95718 Grafenau
Heinzallee 50-37
55986 Wolfratshausen
Heinzplatz 5
57312 Griesbach Rottal
Heinzstr. 713
24393 Bayreuth
Helena-Lange-Weg 29
78422 Grimma
Helena-Stey-Ring 198
79426 Brand
Helene-Warmer-Allee 63-33
96222 Guben
Helfried-Wohlgemut-Straße 5-9
39159 Guben
Helga-Fiebig-Ring 3912
35737 Sigmaringen
Hellmut-Sorgatz-Allee 15
89585 Erfurt
Hellmuth-Fiebig-Straße 518
55058 Hannoversch Münden
Hellwigallee 60
05776 Ebersberg
Henckallee 2927
15441 Hohenmölsen
Henckplatz 4/5
54222 Aue
Henckstraße 801
30873 Schlüchtern
Hendriksallee 6-7
38808 Bogen
Hendriksstr. 5778
47726 Grevenbroich
Henkring 4
10406 Rastatt
Henkstraße 6238
21103 Fürstenwalde
Henner-Baum-Straße 121
28340 Gräfenhainichen
Henner-Koch II-Weg 65/16
37947 Sonneberg
Henni-Gotthard-Gasse 53
85428 Grimma
Henni-Hermann-Ring 5
49380 Kamenz
Henri-Hölzenbecher-Gasse 45
91796 Stadtsteinach
Henriette-Dussen van-Allee 61/22
40018 Bad Langensalza
Henrike-Heinz-Gasse 17-45
80079 Lübz
Henry-Schacht-Ring 1/9
06495 Bitterfeld
Henry-auch Schlauchin-Ring 2/3
00118 Crailsheim
Henschelstraße 9-8
46760 Pritzwalk
Henschelweg 225
56451 Deggendorf
Hentschelallee 91-35
06348 Sangerhausen
Hentschelplatz 65
83528 Melle
Hentschelring 9/3
30535 Augsburg
Heringallee 1-1
72637 Nürtingen
Heringplatz 86-87
16075 Hünfeld
Heringring 6005
02942 Hainichen
Heringstr. 96-31
49916 Dresden
Heringstraße 720
81850 Coburg
Heringstraße 9525
32172 Cottbus
Herma-Jüttner-Platz 25/67
56935 Freital
Herma-Koch II-Gasse 0
16318 Duderstadt
Hermann-Josef-Rosenow-Allee 3/8
21043 Witzenhausen
Hermanngasse 12-98
98811 Eisenhüttenstadt
Hermanngasse 96-98
46889 Gerolzhofen
Hermannweg 51
36945 Zossen
Hermighausengasse 637
77983 Saulgau
Hermighausengasse 91-28
59086 Hoyerswerda
Hermighausenstr. 29/29
04520 Pinneberg
Hermighausenstr. 3
49510 Kusel
Hermine-Scheuermann-Weg 6/5
09684 Parchim
Herta-Täsche-Gasse 6
89609 Regen
Hertha-Jäntsch-Platz 4246
93202 Eutin
Hertrampfstraße 4
41751 Plauen
Herwig-Schottin-Straße 2/5
01983 Helmstedt
Heserallee 568
81236 Ludwigslust
Heserplatz 7/1
06204 Mühldorf am Inn
Heserring 19
30049 Cottbus
Hessestr. 32/54
70173 Hohenstein-Ernstthal
Hethurgasse 251
75469 Bremervörde
Hethurweg 4-7
11111 Burgdorf
Hettnerstraße 90
24615 Nauen
Heusergasse 4813
39883 Tirschenreuth
Heusergasse 7/9
04890 Quedlinburg
Heuserring 6687
68332 Cottbus
Heuserstraße 75/74
91422 Rosenheim
Heydrichallee 1/8
69481 Bernburg
Heydrichallee 7-1
75533 Burg
Heydrichgasse 12
23408 Wurzen
Heydrichgasse 3332
30690 Altötting
Heßallee 2195
02245 Sangerhausen
Heßring 5260
29520 Kyritz
Hildegart-Hertrampf-Weg 1-3
00636 Eichstätt
Hildegund-Johann-Ring 733
12731 Rostock
Hilma-Gumprich-Straße 4
53401 Rochlitz
Hiltraud-Pruschke-Allee 1
28025 Rockenhausen
Hofmannring 7
10239 Meißen
Holstengasse 9
98925 Stollberg
Holtgasse 31/55
44380 Feuchtwangen
Holtplatz 6-5
09442 Strausberg
Holtring 779
07244 Eberswalde
Holtstr. 389
16151 Nauen
Hornichgasse 86
70933 Nauen
Hornichstraße 74/96
83071 Vohenstrauß
Hornichweg 38-13
45222 Grevesmühlen
Hornigstraße 1527
38462 Ravensburg
Hornigstraße 82-46
89545 Kyritz
Hornigweg 4-9
53891 Genthin
Horst-Dieter-Jockel-Gasse 99
25659 Hünfeld
Horst-Günter-Hertrampf-Platz 6-8
76742 Ebersberg
Hubertine-Barkholz-Allee 996
12268 Parchim
Hubertus-Kabus-Gasse 4948
89615 Lüdinghausen
Huhnstr. 15
04449 Halberstadt
Huhnweg 2
24230 Apolda
Hänelweg 74-68
39859 Angermünde
Häringallee 96/78
64165 Tirschenreuth
Häringgasse 233
41163 Sondershausen
Häringstraße 5/1
13535 Bützow
Häringstraße 97
61805 Calau
Höfigallee 13
75270 Döbeln
Höfigallee 444
98686 Ahaus
Höfigplatz 619
71425 Hansestadttralsund
Höfigring 48-43
20452 Ebermannstadt
Höfigring 89
00125 Torgau
Höfigstr. 37
28220 Nabburg
Hölzenbechergasse 27
77372 Schmölln
Hölzenbecherstr. 91-93
74095 Badalzungen
Hölzenbecherweg 11-92
14057 Passau
Hörleweg 7/6
21739 Ebermannstadt
Hövelallee 2/3
04051 Weißenfels
Hövelgasse 37
63287 Bremen
Hövelplatz 5-8
57001 Herzberg
Hövelring 8/9
68817 Jessen
Hövelweg 17-78
46826 Hersbruck
Hübelgasse 664
22085 Miltenberg
Hübelstraße 5155
04369 Parchim
Ida-Briemer-Ring 91
28197 Plauen
Ida-Gutknecht-Weg 2-3
84006 Schleiz
Igor-Schuster-Ring 28-25
07355 Kitzingen
Ilija-Wilms-Straße 8-2
97635 Kusel
Ingbert-Preiß-Ring 926
54755 Rehau
Ingeburg-Kambs-Allee 54/79
58990 Backnang
Ingeburg-Spieß-Straße 215
98020 Lüdinghausen
Ingelore-Adolph-Allee 60-68
37408 Hünfeld
Ingried-Hentschel-Ring 95
02934 Starnberg
Ingried-Kade-Ring 1717
31548 Berchtesgaden
Ingried-Linke-Straße 7/1
37142 Belzig
Inka-Gute-Weg 7249
89327 Wertingen
Inken-Schuchhardt-Weg 8894
70565 Monschau
Ioannis-Lehmann-Straße 50
16712 Dresden
Irena-Cichorius-Straße 310
45840 Coburg
Irmgard-Rogge-Gasse 888
65404 Schleiz
Irmhild-Käster-Gasse 6/7
60639 Rudolstadt
Irmi-Fischer-Allee 477
16084 Marktheidenfeld
Isabell-Mielcarek-Allee 59-20
83653 Warendorf
Isabella-Fischer-Gasse 38-59
47116 Pritzwalk
Ismail-Schuster-Gasse 538
39505 Karlsruhe
Ismet-Berger-Allee 35/14
28283 Uelzen
Isolde-Cichorius-Ring 9268
02218 Weißwasser
Istvan-Reising-Weg 20
17532 Ochsenfurt
Iwan-Schottin-Platz 8/5
56584 Gransee
Jacob-Schuster-Allee 4314
63146 Coburg
Jacob-Segebahn-Allee 38-46
14179 Calau
Jacobi Jäckelgasse 4-1
21022 Weißenfels
Jacobi Jäckelstraße 1783
89708 Eutin
Jacobi Jäckelstraße 965
50116 Hohenstein-Ernstthal
Jane-Vogt-Weg 92-84
87081 Meißen
Janet-Naser-Ring 5-8
19487 Senftenberg
Janet-Schulz-Gasse 3/3
27431 Rastatt
Janin-Tschentscher-Platz 6/5
14161 Havelberg
Janine-Steinberg-Straße 5
61538 Gunzenhausen
Janko-Striebitz-Allee 87/66
68994 Wolfenbüttel
Jann-Blümel-Ring 4-3
91599 Rastatt
Janna-Trupp-Gasse 15-34
28494 Potsdam
Janus-Ruppert-Weg 7-4
75223 Feuchtwangen
Jaroslav-Schleich-Allee 49-88
64013 Garmisch-Partenkirchen
Jasmina-Schweitzer-Ring 9
21946 Bitterfeld
Jeanette-Hartmann-Weg 1
42916 Ravensburg
Jeannine-Thies-Platz 9-7
59094 Suhl
Jelena-Trapp-Straße 92
37864 Grevesmühlen
Jennifer-Rust-Straße 76
33492 Hofgeismar
Jenny-Kranz-Allee 35-34
35203 Pasewalk
Jenny-Scheuermann-Straße 8-9
37592 Roding
Jens-Baum-Weg 85-74
53461 Göttingen
Jens-Peter-Etzler-Straße 22/28
76487 Pritzwalk
Jesselallee 5838
14455 Gifhorn
Jesselgasse 2-8
33993 Ilmenau
Jesselgasse 41-38
81133 Sulzbach-Rosenberg
Jessika-Schleich-Platz 5916
84684 Hansestadttralsund
Jiri-Schottin-Straße 8-3
97927 Leipziger Land
Joanna-Jäkel-Platz 8/1
32371 Mühlhausen
Jochem-Eberth-Ring 30
53955 Grimma
Jockelgasse 1/1
69513 Eutin
Jockelstraße 2-8
40432 Kleve
Joerg-Krause-Straße 4-2
76478 Büsingen am Hochrhein
Johan-Heinz-Ring 2/6
40447 Pößneck
Johanne-Hövel-Weg 17-63
57869 Saulgau
Johanne-Schönland-Gasse 1
67770 Neuruppin
Johannes-Jacobi Jäckel-Weg 375
54891 Wesel
Johannes-Kramer-Allee 54/59
79696 Mayen
Johannplatz 90-26
79507 Nabburg
Johannring 56/94
79921 Crailsheim
Johannstr. 4
36058 Witzenhausen
Johannweg 52
88784 Weimar
Jolanda-Segebahn-Allee 5-4
31199 Cottbus
Jolanda-Weimer-Straße 2-1
16128 Hünfeld
Jonas-Etzler-Weg 95-37
81813 Weißenfels
Jopichgasse 23-92
85171 Eggenfelden
Jopichplatz 608
86900 Regen
Jopichstr. 886
47284 Paderborn
Jopichstr. 9-2
12605 Weimar
Jopichstraße 0
23997 Euskirchen
Jorge-Boucsein-Allee 2901
28125 Calw
Jose-Junck-Allee 5
36792 Büsingen am Hochrhein
Jose-Meyer-Ring 6/4
18383 Wismar
Jose-Schinke-Allee 40/57
69171 Jülich
Josefa-Adler-Platz 3-7
00845 Rostock
Josefa-Schulz-Platz 67-91
01325 Grafenau
Josefine-Rudolph-Allee 963
45982 Haldensleben
Josefine-Sager-Ring 6
39644 Darmstadt
Josip-Ruppersberger-Ring 2
09358 Greiz
Jost-Patberg-Weg 68
36860 Gießen
Juan-Ladeck-Ring 29-42
76272 Bad Mergentheim
Juergen-Lachmann-Ring 5-5
51255 Brandenburg
Julian-Dobes-Allee 6352
39790 Mittweida
Julian-Junck-Platz 43
93120 Mühldorf am Inn
Julie-Jäkel-Platz 6/6
45664 Brandenburg
Julius-Henschel-Straße 74
77440 Recklinghausen
Junckallee 5/6
20674 Waren
Junckenweg 2/1
31559 Soest
Junckring 47/58
19118 Soest
Junckring 997
26736 Borken
Junckstr. 79-80
44230 Meppen
Junckstraße 2-8
32426 Demmin
Junckstraße 3796
44897 Neunburg vorm Wald
Junckstraße 59-37
14463 Witzenhausen
Junckweg 60/20
47633 Kitzingen
Junckweg 61-72
03480 Steinfurt
Jungferstr. 478
48016 Kehl
Jungferstraße 57
65293 Starnberg
Junitzallee 2-7
89350 Hofgeismar
Junitzstr. 4314
78393 Monschau
Junkenweg 17-45
82340 Melsungen
Junkplatz 483
41725 Neunburg vorm Wald
Juri-Losekann-Gasse 46/84
89053 Saulgau
Juri-Segebahn-Gasse 1/7
85149 Kemnath
Justina-Mitschke-Ring 19/44
94956 Celle
Justine-Lindner-Weg 6-6
10945 Delitzsch
Justus-Zirme-Ring 32/30
24227 Pirmasens
Jutta-Nerger-Weg 67/54
87944 Altötting
Jäkelstraße 97-67
08256 Sigmaringen
Jäntschgasse 6
25501 Pinneberg
Jäntschplatz 43/72
83039 Hoyerswerda
Jäntschring 8-5
89690 Großenhain
Jäntschstraße 51
42455 Deggendorf
Jörg-Peter-Kitzmann-Platz 5-9
22334 München
Jüttnerallee 92/87
71620 Viechtach
Kabusallee 32
71470 Schwäbisch Gmünd
Kabusgasse 48/94
32673 Großenhain
Kabusstraße 5/5
14624 Diepholz
Kadeallee 0
10895 Miesbach
Kadegasse 719
10098 Plauen
Kadestr. 4/3
95253 Schweinfurt
Kai-Uwe-Rohleder-Straße 6835
77010 Hagenow
Kallertplatz 51
15694 Wurzen
Kallertplatz 9/8
61801 Dachau
Kambsweg 6/5
71873 Pegnitz
Kamil-Thies-Gasse 7/2
83731 Roth
Kargeallee 15-81
26386 Nordhausen
Kargeallee 4851
88202 Sondershausen
Kargestr. 4475
89329 Hersbruck
Kargeweg 654
42673 Peine
Kargeweg 94
17950 Soest
Karl Heinz-Kruschwitz-Straße 82/83
93060 Ludwigslust
Karl Heinz-Nohlmans-Gasse 538
86142 Strasburg
Karl-Dieter-Heinz-Gasse 3
32954 Holzminden
Karl-Friedrich-Mies-Gasse 9638
54042 Wanzleben
Karl-Georg-Trapp-Ring 432
55971 Mühldorf am Inn
Karl-Hans-Spieß-Ring 6810
11043 Passau
Karl-Hermann-Schäfer-Platz 94
49102 Rathenow
Karl-Jürgen-Weiß-Weg 47-14
05327 Rothenburg ob der Tauber
Karl-Ludwig-Hentschel-Allee 543
37486 Fallingbostel
Karl-Ludwig-Reuter-Allee 88/78
62896 Pegnitz
Karl-Peter-Ebert-Straße 910
01508 Büsingen am Hochrhein
Karl-Werner-Knappe-Straße 8/3
64151 Marktheidenfeld
Karl-Wilhelm-Heinz-Allee 2756
47263 Auerbach
Karla-Kranz-Ring 7-3
41378 Saulgau
Karlheinz-Dussen van-Ring 5536
05311 Rottweil
Karola-Ernst-Allee 6-7
27637 Wertingen
Karolin-Mielcarek-Straße 9/4
24319 Teterow
Karolina-Misicher-Ring 4830
02232 Mühldorf am Inn
Karsten-Kranz-Weg 820
26184 Bad Kissingen
Karzallee 29/35
06534 Bautzen
Karzweg 9/1
79297 Görlitz
Katharina-Kuhl-Ring 17
94334 Kyritz
Katharina-Süßebier-Straße 73
98699 Eisenberg
Katharine-Schuster-Weg 853
99909 Schlüchtern
Katherina-Hering-Allee 23-50
86412 Delitzsch
Katy-Gertz-Allee 8059
51349 Döbeln
Kaulallee 7724
84284 Sondershausen
Kaulallee 85/13
19955 Husum
Kaulgasse 24
73544 Norden
Kaulplatz 8
12349 Eckernförde
Kaulring 49-14
69612 Roth
Kaulstraße 29-14
53825 Rottweil
Kay-Uwe-Beyer-Gasse 18/98
76838 Bremervörde
Kazim-Kraus-Platz 799
45064 Wolgast
Kenneth-Gerlach-Allee 3/7
86622 Leipziger Land
Kenneth-Steinberg-Allee 16-17
20813 Bogen
Kensyallee 1
48796 Ludwigslust
Kensygasse 16/93
80998 Mühldorf am Inn
Kensygasse 6/8
70988 Roth
Kensyplatz 8/4
55985 Schwabmünchen
Keudelplatz 3520
48949 Vilsbiburg
Keudelstr. 42
24839 Neuruppin
Killergasse 46-34
27044 Jessen
Kirsten-Anders-Straße 7703
18262 Göppingen
Kirsten-Gieß-Weg 7-9
27007 Monschau
Kirsten-Trubin-Gasse 6-4
70853 Oberviechtach
Kirstin-Weller-Ring 89/84
13848 Bergzabern
Kitzmanngasse 4
59843 Paderborn
Kitzmannplatz 340
32743 Düren
Kitzmannplatz 54/47
14318 Höxter
Kitzmannstr. 2-6
41993 Freising
Kitzmannstr. 82/76
10529 Herford
Klaudia-Stiebitz-Ring 89
06622 Bützow
Klaus-D.-Ritter-Platz 2
26273 Weißenfels
Klemmallee 93
37517 Scheinfeld
Klemmstraße 9/8
48788 Anklam
Klemtplatz 4318
31241 Wittmund
Klemtring 664
65966 Steinfurt
Klemtring 8
92132 Oschatz
Klingelhöferallee 35/27
44691 Hechingen
Klingelhöferstr. 1/1
05189 Dieburg
Klingelhöferstr. 66
84905 Pegnitz
Klingelhöferstraße 81-32
26281 Ansbach
Klingelhöferweg 8
93373 Mittweida
Klothilde-Stey-Platz 10/79
63813 Holzminden
Klotzgasse 783
65303 Riesa
Klotzstraße 4
27944 Osterburg
Klotzweg 84
67055 Eberswalde
Kläre-Bien-Weg 4
46340 Sondershausen
Knappestraße 59/73
69025 Plauen
Knappeweg 34-35
48048 Gießen
Knappeweg 60
74993 Melsungen
Kobeltallee 26/55
00653 Rockenhausen
Kobeltplatz 88-86
23550 Nabburg
Kobeltring 1
48421 Wolfenbüttel
Kobeltstr. 88-65
80263 Finsterwalde
Kobeltweg 9-7
82052 Dresden
Koch IIallee 22-17
72163 Neubrandenburg
Koch IIstraße 571
18990 Lübeck
Kochallee 78-61
64044 Lübeck
Kochstr. 97/86
09965 Weißenfels
Kochweg 2/1
25916 Pinneberg
Kochweg 9-8
43368 Miesbach
Kohlallee 6-3
96083 Backnang
Kordula-Conradi-Weg 8/9
19249 Bad Langensalza
Kornelia-Wagenknecht-Gasse 77-53
05117 Deggendorf
Kostolzinplatz 54/71
03171 Bogen
Kostolzinstraße 6
35743 Kamenz
Kramerplatz 13
54226 Burg
Kramerplatz 6758
95310 Füssen
Kramerstr. 433
02376 Arnstadt
Kranzallee 16
26782 Geithain
Kranzstraße 40/27
72256 Neustadtner Waldnaab
Kranzweg 56
16780 Kyritz
Krauseplatz 85
16990 Klötze
Krauseweg 9
03582 Marienberg
Kraushaargasse 2
51060 Schwerin
Kraushaarring 8193
82611 Diepholz
Kraushaarweg 10/65
88023 Hildesheim
Kraushaarweg 18/31
87263 Havelberg
Kraushaarweg 2
11206 Kötzting
Krausplatz 3/7
15532 Illertissen
Krausplatz 94
36916 Bogen
Krausring 4-5
07494 Griesbach Rottal
Krebsallee 27
49845 Wunsiedel
Krebsplatz 28
77564 Ludwigslust
Krebsstr. 1/6
48565 Marktheidenfeld
Kreszenz-Niemeier-Gasse 32
17868 Moers
Kreszenz-Schinke-Weg 26-21
61562 Borken
Kreuselweg 85-49
00044 Kronach
Kriemhild-Wagenknecht-Gasse 3/8
21750 Konstanz
Kristine-Rosemann-Weg 24
71839 Herford
Krokerweg 66-60
68215 Borna
Kruschwitzallee 815
09205 Bautzen
Kunibert-Henk-Platz 502
92336 Parsberg
Kuno-Hermighausen-Weg 11
68199 Kelheim
Kuschgasse 75
43330 Saarlouis
Kuschstr. 7
98670 Kassel
Kästerweg 79
04696 Uffenheim
Käthi-Striebitz-Platz 0
52445 Strasburg
Köhlerplatz 65/69
36042 Cottbus
Kösterstraße 8/4
78880 Mayen
Kühnertring 709
66490 Wunsiedel
Kühnertstr. 29/78
14343 Haldensleben
