Abdul-Cichorius-Allee 87/26
Jüttnerallee 507
Jüttnergasse 25
Jüttnerplatz 1
Jüttnerplatz 4-6
Kabusallee 61/64
Kabusplatz 6
Kabusring 4
Kabusring 63-93
Kabusstr. 8-8
Kabusstraße 2-5
Kabusweg 760
Kadeallee 18-89
Kadeallee 9/5
Kadegasse 60/35
Kadeplatz 670
Kadestr. 46
Kadestraße 97-89
Kai-Uwe-Rörricht-Gasse 6/7
Kallertplatz 4843
Kallertring 9-9
Kallertstr. 10
Kallertweg 48
Kallertweg 8273
Kamil-Ackermann-Straße 31
Kargegasse 220
Karina-Kühnert-Platz 72/84
Karl Heinz-Schmidtke-Ring 53
Karl-Dieter-Pergande-Platz 92/27
Karl-Ernst-Röhricht-Straße 49/77
Karl-Friedrich-Ebert-Straße 73/27
Karl-Heinrich-Bachmann-Weg 8-3
Karl-Heinrich-Gertz-Platz 80
Karl-Heinz-Plath-Straße 726
Karl-Peter-Gunpf-Platz 758
Karolin-Dehmel-Platz 298
Karolin-Söding-Platz 2764
Karzgasse 84/19
Karzstr. 5-5
Kasimir-Mans-Gasse 6-5
Katalin-Tintzmann-Straße 29/99
Katarzyna-Dussen van-Platz 5/6
Katerina-Jacob-Allee 5/3
Katharina-Bender-Straße 61
Katherina-Hövel-Weg 9635
Katherina-Scholl-Allee 24
Kathi-Scholl-Gasse 8-5
Kathleen-Dörr-Weg 6/5
Kathrin-Hahn-Gasse 85
Katja-Oestrovsky-Allee 69
Kaulallee 5576
Kaulgasse 4/5
Kaulgasse 5/1
Kaulplatz 2
Kaulring 49-68
Kaulstr. 570
Kaulstraße 24-18
Kensyweg 2/1
Keudelgasse 200
Keudelgasse 266
Keudelplatz 3-5
Keudelweg 9596
Kevin-Mitschke-Gasse 89
Killerstr. 47-16
Kirstin-Loos-Straße 3/4
Kirstin-Lübs-Platz 36/12
Kitzmanngasse 7
Kitzmannring 8
Kitzmannstr. 99
Kitzmannstraße 71/16
Klappstraße 93/16
Klappweg 1/7
Klaus-Peter-Dobes-Platz 7-9
Klaus-Ulrich-Conradi-Platz 90/83
Klaus-Werner-Heuser-Ring 5294
Klemens-Niemeier-Straße 568
Klemmgasse 4404
Klemmring 6/7
Klemtplatz 81-85
Klemtweg 9-7
Klingelhöfergasse 9/6
Klingelhöferplatz 1/2
Klingelhöferstraße 55/39
Klingelhöferweg 560
Kläre-Conradi-Platz 6
Knappegasse 4-6
Knappestr. 3-8
Knappestraße 1-5
Knud-Hornig-Ring 5388
Knut-Thies-Weg 518
Kobeltallee 7/3
Kobeltstr. 4/8
Koch IIring 6-2
Koch IIstr. 7-7
Koch IIstr. 999
Koch IIweg 9/7
Kochweg 8/7
Kochweg 820
Kohlallee 55/25
Kohlplatz 6892
Kohlstr. 57
Konrad-Ruppert-Ring 93/58
Konstantin-Schaaf-Straße 4
Konstanze-Trüb-Platz 74
Kornelia-Heinz-Straße 42
Kornelius-Junitz-Weg 33-76
Kostolzinallee 8/7
Kostolzinallee 81
Kostolzinallee 988
Kostolzinstr. 172
Kramerallee 31-67
Kramerplatz 3
Kramerring 626
Kranzallee 24
Kranzallee 526
Krauseplatz 36
Krausgasse 10/58
Krausring 73-51
Krebsplatz 6/9
Krebsstraße 4/6
Kreinplatz 1-8
Kreinstraße 73/84
Kreuselgasse 89
Kriemhild-Riehl-Allee 7
Kriemhild-Sorgatz-Gasse 53-71
Krista-Klingelhöfer-Platz 6
Kristin-Schacht-Platz 1
Kristina-Röhrdanz-Gasse 20/57
Kristina-Schwital-Straße 76
Krokerallee 84
Krokerplatz 9
Krokerring 7/9
Krokerring 81-16
Krokerstr. 6-8
Krokerstr. 86-32
Krokerweg 1-1
Kruschwitzgasse 5/8
Kuhlallee 6/6
Kuhlring 642
Kuhlring 8-2
Kuhlstr. 6/8
Kunigunda-Haering-Gasse 9061
Kunigunde-Gumprich-Gasse 59
Kurt-Ebert-Platz 38-39
Kuschgasse 719
Kuschweg 15-52
Kästergasse 8228
Kästerplatz 6/6
Kästerweg 98/22
Käthe-Hentschel-Straße 80
Käthi-Heinz-Ring 7-9
Köhlergasse 6
Köhlergasse 64
Köhlerstr. 9/6
Köhlerstraße 22-78
Köhlerweg 768
Kösterallee 882
Köstergasse 9096
Köstergasse 98/10
Kühnertstraße 5918
Lachmannring 8/5
Lachmannstraße 5/1
Lachmannweg 72/97
Ladeckplatz 8
Ladeckring 3-5
Ladeckring 71-76
Ladeckring 80
Ladeckstraße 4-2
Laila-Trupp-Weg 69-73
Langeallee 8-5
Langering 37/75
Langernallee 1
Langerngasse 6-8
Langernring 2/4
Langernring 5651
Langernstr. 4031
Langestr. 272
Lara-Oderwald-Weg 79
Laurenz-Kreusel-Straße 8-5
Lea-Tlustek-Gasse 5824
Lehmannring 57-79
Lehmannring 7949
Lehmannstr. 65
Lehmannweg 957
Leila-Schenk-Ring 13/96
Lena-Adler-Gasse 55
Leni-Scholl-Platz 58
Leon-Sager-Straße 80/18
Leon-van der Dussen-Allee 44/60
Leonardo-Heintze-Platz 809
Leonid-Holzapfel-Gasse 27
Leonie-Hettner-Ring 134
Leonie-Stumpf-Allee 43
Leonie-Thanel-Straße 7-6
Leopold-Butte-Weg 2
Lia-Fechner-Weg 3
Lia-Gunpf-Allee 1
Lia-Ortmann-Gasse 6-8
Lidija-Scheuermann-Ring 88/18
Liebeltallee 41/86
Liebeltgasse 97/38
Lieschen-Schlosser-Ring 15
Lilian-Lachmann-Straße 1216
Lilian-Lange-Gasse 6359
Liliane-Rosenow-Ring 7-5
Lilli-Fiebig-Platz 6972
Lilo-Söding-Gasse 602
Lina-Kranz-Gasse 740
Linda-Drubin-Allee 567
Lindauallee 3121
Lindaugasse 470
Lindaustr. 1264
Lindnerallee 3-6
Lindnergasse 46/48
Lindnerstr. 3100
Lindnerstraße 3-4
Lindnerstraße 36/30
Linkeallee 6599
Linkegasse 8233
Linkeplatz 9-8
Linkeweg 3/2
Lisbeth-Hendriks-Ring 85-77
Lisette-Bauer-Weg 30-83
Lissi-Kitzmann-Platz 3535
Lissy-Dörschner-Straße 41
Lissy-Pergande-Platz 5563
Ljiljana-Lehmann-Allee 6
Ljudmila-Dehmel-Weg 63
Loni-Köster-Ring 91-92
Loosallee 51-77
Lorchstraße 4
Lorenz-Conradi-Platz 83-94
Loretta-Bolander-Straße 31/11
Losekannweg 1/3
Lotte-Wulff-Ring 89-70
Lotti-Löffler-Ring 34/41
Louis-Boucsein-Ring 900
Lucia-Gröttner-Ring 132
Lucia-Lindner-Platz 7347
Lucia-Rädel-Straße 953
Ludwig-Naser-Weg 43/77
Ludwina-Bolzmann-Weg 9
Ludwina-Gotthard-Gasse 51
Luis-Gierschner-Straße 244
Luisa-Oestrovsky-Weg 6-8
Luise-Hendriks-Allee 1/5
Luitgard-Rust-Ring 4625
Luka-Ruppersberger-Gasse 92/58
Lutz-Heinrich-Gasse 40
Luzie-Losekann-Gasse 8-7
Lydia-Mans-Ring 3-4
Löchelring 3738
Löfflerplatz 723
Löwerallee 99-16
Löwerplatz 5-9
Lübsgasse 2591
Lübsplatz 28
Lübsplatz 35-21
Magarete-Kensy-Platz 98-72
Magda-Hermann-Weg 4-8
Magda-Reuter-Weg 7945
Magdalena-Jähn-Platz 56
Magnus-Faust-Allee 105
Mahmoud-Ebert-Ring 54-60
Mahmoud-Jungfer-Gasse 6793
Mahmut-Scheibe-Gasse 20
Maik-Schönland-Platz 0
Maike-Scheel-Straße 46
Maike-Wulf-Platz 5539
Mangoldplatz 6/6
Mangoldring 2
Manja-Ebert-Ring 400
Mansallee 90/92
Mansring 6
Manuela-Wende-Straße 8-5
Marc-Roht-Allee 9
Marc-Schlosser-Straße 5
Marcus-Ebert-Platz 0
Mareen-Wieloch-Platz 17-86
Mareile-Drewes-Weg 4-9
Marga-Drubin-Straße 7891
Margaret-Johann-Weg 8
Margarete-Dörschner-Allee 97-18
Margarete-Meyer-Weg 68
Margitta-Eberth-Straße 348
Margot-Kranz-Platz 23/85
Margret-Holsten-Straße 2
Margret-Stadelmann-Ring 382
Margrit-Girschner-Weg 28/40
Marica-Hertrampf-Platz 85
Marie-Ruppersberger-Allee 11
Marie-Theres-Henck-Weg 5
Mariechen-Weinhold-Weg 464
Mariele-Hahn-Ring 624
Marina-Rosemann-Allee 3/8
Marina-Trapp-Platz 94-40
Marita-Schmiedecke-Platz 51/81
Mark-Holsten-Ring 5661
Marko-Rust-Platz 472
Marko-Schuster-Allee 42/60
Markus-Fechner-Gasse 92/40
Markus-Scholz-Straße 60-89
Marlies-Trupp-Platz 9/9
Marliese-Koch-Allee 8429
Marlis-Krebs-Ring 93/94
Marten-Wende-Weg 18/95
Martha-Hübel-Weg 14
Martha-Thies-Gasse 634
Martin-Hornig-Allee 67/21
Martina-Stahr-Platz 3/2
Martinstraße 1
Martinstraße 60
Mary-Bauer-Ring 72-88
Mary-Nette-Allee 4/7
Massimo-Köhler-Gasse 1-1
Mato-Christoph-Ring 1
Matteo-Reinhardt-Straße 7037
Matthäiallee 7/2
Matthäistr. 2-5
Matthäus-Berger-Platz 230
Maurice-Mangold-Platz 323
Maurizio-Hauffer-Ring 5-5
Max-Häring-Ring 7
Maxim-Kramer-Platz 2964
Maya-Ernst-Allee 14/42
Mechthilde-Barkholz-Straße 993
Mechthilde-Schottin-Weg 82/75
Mechtild-Beier-Platz 80/56
Mehmet-Schmidtke-Gasse 3
Meik-Fliegner-Straße 43
Meinrad-Mitschke-Allee 6084
Meisterstraße 9-5
Melissa-Oderwald-Ring 58-98
Mendering 2/8
Mendestr. 7656
Mentzelgasse 795
Mentzelstr. 658
Mercedes-Eberth-Platz 10/40
Metin-Fröhlich-Platz 31
Metin-Kramer-Gasse 9/7
Metzplatz 7557
Meyerweg 7/7
Micha-Geisler-Weg 339
Michail-Geisel-Straße 4/3
Michelle-Höfig-Ring 26/96
Mielcarekring 18-35
Mielcarekring 50
Mielcarekring 8
Mielcarekweg 5-4
Miesallee 38/58
Miesgasse 84-30
Miguel-Ernst-Ring 11/48
Mina-Wulf-Gasse 611
Mira-Hellwig-Platz 78
Mirella-Karge-Ring 98/32
Miriam-Klingelhöfer-Allee 9/7
Miriam-Scheuermann-Allee 99/77
Mirja-Dehmel-Allee 9102
Mirja-Ehlert-Straße 45-72
Mirjam-Weiß-Platz 28/86
Misicherring 5748
Misicherstr. 4-8
Mitschkeallee 27/21
Mitschkestraße 8-7
Mitschkeweg 86-32
Mohammad-Anders-Gasse 34
Mohammad-Steinberg-Weg 99
Mohauptring 59/90
Moritz-Scheel-Weg 1
Mosemanngasse 34-85
Mosemanngasse 65/61
Mosemannweg 0
Mudering 3/6
Mudestraße 0
Mudestraße 57
Mudestraße 6-7
Mustafa-Ditschlerin-Ring 4-7
Myriam-Hentschel-Platz 50
Myriam-Warmer-Straße 1/9
Mälzerplatz 7-1
Möchlichengasse 2-3
Möchlichenstr. 2/7
Möchlichenstraße 787
Mühleplatz 32
Mülichenring 69/53
Mülichenstr. 69/41
Mülichenweg 17/39
Mülichenweg 555
Müllergasse 14/31
Müllergasse 8/3
Nadia-Bohlander-Gasse 907
Nadin-Sölzer-Platz 3-7
Nadine-Henck-Straße 56
Nancy-Conradi-Platz 96-50
Nancy-Römer-Gasse 9
Naserplatz 4007
Naserstraße 901
Natalja-Scheuermann-Weg 35
Natascha-Thies-Straße 2
Nelly-Döring-Ring 146
Nergerring 94
Neureutherallee 9
Neureutherring 4-7
Neureutherring 7
Neuschäferallee 0
Neuschäfergasse 83
Neuschäferplatz 600
Neuschäferring 3-1
Neuschäferring 9-5
Neuschäferstr. 20/51
Neuschäferstraße 24/90
Nicolaus-Haering-Ring 29-48
Niemeiergasse 5351
Niko-Ruppert-Allee 245
Nikolai-Kambs-Gasse 63
Nikolaos-Hertrampf-Platz 4-6
Nikolas-Hentschel-Straße 5879
Nikolaus-Killer-Ring 682
Nils-Hertrampf-Weg 71-82
Nils-Wende-Ring 6/5
Nina-Fechner-Weg 27/69
Nina-Heydrich-Gasse 2
Nina-Zorbach-Weg 7/6
Noackplatz 325
Noackplatz 53
Noackstr. 4
Noackstraße 65-13
Nohlmansring 1/6
Nohlmansstr. 42
Nohlmansstraße 6-1
Nohlmansweg 4-9
Nora-Lehmann-Gasse 82/68
Norman-Bloch-Weg 7-9
Norman-Seidel-Weg 25/42
Nuran-Thanel-Straße 4-1
Oda-Haase-Gasse 60/51
Oderwaldgasse 4/9
Oderwaldgasse 451
Oderwaldring 380
Oderwaldweg 2249
Oestrovskyallee 4743
Ole-Weinhold-Ring 58/35
Olivia-Hornich-Ring 79/73
Olivia-Schäfer-Platz 4-7
Olivia-Ullmann-Straße 21/29
Ortmannallee 88/84
Ortmannweg 55/96
Ortrud-Siering-Weg 7879
Ortwin-Sauer-Straße 7-5
Otfried-Karge-Ring 57-17
Othmar-Hörle-Gasse 6-7
Ottoplatz 4-1
Ottoring 84-71
Paffrathallee 18
Paffrathgasse 7663
Paffrathplatz 4698
Paffrathplatz 68/76
Paffrathstr. 18
Paolo-Dobes-Platz 31/21
Pascal-Dörschner-Ring 54-21
Pascale-Wiek-Ring 376
Patbergstraße 53-51
Patbergstraße 94/53
Patric-Köhler-Gasse 2341
Patricia-Dowerg-Gasse 6/4
Patricia-Heuser-Platz 5
Paul-Gerhard-Briemer-Weg 5-1
Paula-Kallert-Weg 9
Pauline-Dobes-Straße 8
Pechelallee 384
Pechelgasse 3
Pechelplatz 32/85
Pechelring 97
Pechelstr. 16-74
Pechelstr. 33-38
Pechelweg 48-61
Pedro-Austermühle-Ring 3/6
Pedro-Eberth-Gasse 3-8
Peggy-Seip-Gasse 7
Pergandeallee 5/8
Pero-Klotz-Weg 56/93
Petra-Kensy-Allee 428
Petros-Adler-Straße 8
Peukertgasse 2/5
Peukertgasse 3-6
Peukertgasse 9678
Peukertring 1813
Peukertstr. 384
Peukertweg 3
Philippe-Sager-Gasse 9-5
Pia-Weinhold-Ring 7
Pieperweg 3-4
Pieperweg 36
Pieperweg 80/30
Pierre-Hahn-Allee 1355
Pierre-Hentschel-Ring 80-13
Pietro-Klotz-Weg 6-8
Pius-Pieper-Allee 7
Plathallee 5/5
Plathgasse 57
Plathring 454
Plathstr. 6/5
Plathstraße 65-27
Plathweg 267
Plathweg 83
Pohlgasse 9186
Pohlplatz 7
Pohlring 870
Pohlweg 6-5
Pohlweg 88
Preißgasse 17
Preißgasse 80/21
Preißplatz 4/1
Priska-Müller-Ring 19
Pruschkering 1
Putzplatz 7-7
Putzstraße 4-8
Pärtzeltgasse 4938
Pärtzeltring 5673
Pärtzeltstraße 1-9
Pärtzeltweg 22/19
Radischallee 9-4
Radischgasse 1/4
Raisa-Anders-Allee 48/42
Raisa-Christoph-Gasse 11
Raisa-Schulz-Ring 7-2
Ralf-Dieter-Sorgatz-Allee 8
Ralf-Peter-Ehlert-Allee 61
Ramona-Ullrich-Straße 99
Raymond-Herrmann-Weg 6776
Reichmannallee 8-4
Reichmannstr. 106
Reichmannstr. 637
Reimer-Rosenow-Platz 9-5
Reimer-Schulz-Weg 7/6
Reimund-Hölzenbecher-Allee 85
Reimund-Langern-Weg 98/99
Reingard-Killer-Platz 30/99
Reinhardt-Sauer-Straße 8-7
Reinhardt-Wernecke-Platz 367
Reinhardtallee 10
Reinhardtstraße 299
Reinhardtweg 7
Reinhart-Knappe-Weg 89
Reinhart-Ritter-Ring 1/3
Reinhart-Schönland-Straße 9
Reinhilde-Binner-Allee 793
Reisingallee 1
Reisinggasse 45/56
Reisingring 87-70
Reisingstr. 3-2
Renate-Fritsch-Platz 42-24
Rene-Koch II-Weg 9/4
Rennerallee 1933
Rennerweg 1-5
René-Kranz-Platz 69
Reutergasse 992
Richard-Budig-Allee 4/4
Richard-Rudolph-Weg 8-4
Riehlgasse 4210
Ringallee 1-8
Ringstr. 2/9
Ringstr. 4/2
Ringstraße 828
Ritterplatz 1-6
Ritterring 5383
Ritterstraße 46
Ritterstraße 93/79
Ritterweg 2-5
Ritterweg 2/3
Riza-Ernst-Platz 9
Robert-Preiß-Gasse 8615
Roberto-Hofmann-Gasse 4759
Robin-Ehlert-Straße 7-9
Roderich-Loos-Ring 59
Roggegasse 0
Roggegasse 8/5
Rognerplatz 10
Rognerstr. 50-79
Rognerstraße 6-6
Rognerweg 59-17
Rohlederplatz 9
Rohlederring 42/83
Rohtallee 54
Rohtplatz 9
Roland-Gutknecht-Platz 4704
Rolf-Peter-Vogt-Ring 4
Roman-Meister-Straße 296
Romana-Nette-Platz 769
Romana-Thanel-Weg 13
Romy-Schäfer-Weg 2-3
Ronald-Bien-Allee 560
Rosalia-Renner-Gasse 3/2
Rosalie-Mies-Weg 87
Rosalinde-Schuchhardt-Gasse 97-74
Rosel-Sorgatz-Gasse 5246
Rosel-Vollbrecht-Straße 17/87
Rosemannplatz 39-49
Rosemarie-Löffler-Ring 68/50
Rosemarie-Riehl-Ring 3-5
Rosenowplatz 71/38
Rosenowring 2/2
Rosenowstr. 61/74
Roseweg 5/1
Rosita-Klemt-Platz 188
Roskothgasse 1/8
Roskothplatz 31-60
Roskothstr. 1-3
Roskothstr. 80-90
Rosl-Weihmann-Straße 5-3
Rosmarie-Nerger-Allee 4379
Rotraud-Beier-Platz 1-5
Rotraut-Schuster-Allee 43
Ruben-Lindau-Allee 121
Ruben-Schmiedt-Ring 77
Rudolf-Heidrich-Platz 7
Rudolf-Schottin-Straße 6374
Rudolphallee 1-2
Rudolphring 7464
Ruppersbergerstr. 79
Ruppertallee 5-1
Ruppertstr. 3
Rustgasse 76
Rustplatz 40/70
Ruststr. 7-5
Ruststraße 9-2
Ruth-Stoll-Gasse 7-6
Ruthild-Schuchhardt-Gasse 465
Ruthild-Zahn-Gasse 4177
Rädelstraße 3638
Röhrdanzstr. 24-58
Röhrdanzstraße 6/3
Röhrdanzweg 0
Röhrichtstr. 6-8
Römerplatz 3-6
Römerring 4984
Rörrichtplatz 3
Rüdiger-Ullmann-Straße 4294
Sabrina-Mans-Straße 26-97
Sabrina-Tschentscher-Gasse 625
Sagerstr. 196
Salih-Haase-Platz 28
Salvatore-Hamann-Platz 2-2
Samir-Roht-Straße 1137
Samuel-Kühnert-Straße 9-3
Sandor-Winkler-Gasse 8/2
Sandra-Vogt-Ring 7867
Sarina-Schacht-Platz 4-4
Saskia-Weiß-Ring 8
Sauerweg 2742
Sauerweg 4-4
Schaafallee 6/1
Schaafstraße 8-6
Schachtgasse 57-24
Scheelgasse 6
Scheelplatz 3/6
Scheelring 68/71
Scheelstraße 17-82
Scheelstraße 594
Scheibeplatz 509
Scheibestr. 5635
Scheuermannring 19-11
Schinkestr. 1-8
Schleichgasse 20/43
Schleichgasse 5
Schleichgasse 66
Schleichweg 1-1
Schlossergasse 5490
Schlosserstraße 5125
Schmidtallee 36-54
Schmidtkegasse 4
Schmidtkegasse 96/44
Schmidtkegasse 9990
Schmidtkestraße 4
Schmidtkeweg 35/19
Schmidtkeweg 57
Schmidtplatz 88-58
Schmidtstraße 1/5
Schmidtweg 0
Schmiedeckegasse 8/7
Schmiedeckeplatz 2-1
Schollplatz 5-3
Scholtzallee 99/59
Scholtzplatz 9
Scholtzstraße 1-3
Scholzplatz 56
Scholzring 19
Schomberplatz 1365
Schomberplatz 26
Schomberring 41-70
Schomberstr. 4
Schottinplatz 16-88
Schottinplatz 93-27
Schottinstr. 940
Schuchhardtallee 53/47
Schuchhardtweg 6
Schulzgasse 17-31
Schulzstraße 47-98
Schusterstraße 4796
Schweitzergasse 174
Schweitzerweg 8080
Schönlandstr. 5922
Schönlandweg 8535
Schülerstraße 137
Sebastiano-Fechner-Gasse 3/2
Segebahnallee 498
Segebahngasse 41
Segebahnstr. 4-3
Segebahnstr. 61-37
Seifertallee 6
Seifertgasse 309
Seifertring 6594
Seifertring 8-1
Seifertstr. 98
Seifertstraße 281
Seifertweg 21/17
Seipstr. 29/42
Seipweg 8804
Selma-Jacobi Jäckel-Straße 2-2
Semra-Schmiedecke-Platz 7239
Senol-Rosenow-Allee 1/1
Serge-Sager-Gasse 95
Sergio-Kitzmann-Allee 40/93
Sergio-Kroker-Platz 112
Severin-Naser-Weg 41/57
Sibel-Möchlichen-Straße 38/86
Sibylla-Schmiedecke-Gasse 2-7
Sieghard-Jacobi Jäckel-Platz 868
Sieglinde-Jäntsch-Allee 1/7
Siegrun-Haase-Allee 6/3
Siegrun-Holzapfel-Allee 10-45
Siegward-Gorlitz-Ring 5049
Siegward-Vollbrecht-Ring 1-6
Sieringgasse 63
Sieringring 96/92
Sieringweg 75
Sigismund-Zänker-Straße 9
Siglinde-Wesack-Allee 36/18
Sigmund-Weller-Allee 94
Sigrun-Ullrich-Straße 8931
Silke-Hänel-Weg 245
Silvia-Kabus-Platz 36-87
Silvia-Lindau-Weg 27/23
Silvio-Mende-Platz 62
Simone-Jacobi Jäckel-Platz 1149
Slavica-Ehlert-Platz 6143
Sofie-Häring-Gasse 1-2
Songül-Losekann-Ring 55
Sonja-Misicher-Gasse 98-81
Sontagstr. 94-13
Sontagstraße 682
Sontagweg 39-57
Sorgatzgasse 2
Sorgatzgasse 371
Sorgatzgasse 7542
Sorgatzring 8/7
Sorgatzweg 59/71
Speerplatz 31-86
Speerring 90
Spießplatz 8857
Stahrgasse 7
Stahrplatz 61
Stahrstr. 9178
Stavros-Tlustek-Ring 1-2
Steckelallee 73
Steckelweg 37-88
Stefanie-Wieloch-Ring 13
Stefano-Köster-Allee 8
Steinberggasse 2
Steinbergplatz 86
Steinbergstr. 6/2
Steinbergweg 5967
Stephanie-Zobel-Ring 1/4
Steuerstr. 5556
Steuerstraße 62
Steuerstraße 784
Steve-Sorgatz-Weg 34-11
Steven-Eigenwillig-Straße 1
Steven-Mitschke-Straße 253
Steygasse 2
Steyplatz 41/65
Steystr. 73
Stiebitzgasse 5
Stiebitzplatz 0
Stiebitzplatz 570
Stiebitzstraße 45/39
Stiebitzstraße 97-76
Stiffelstraße 513
Stiffelweg 6/9
Stjepan-Kusch-Allee 2/8
Stollweg 39
Stollweg 6/2
Stolzeallee 80/30
Stolzegasse 2-1
Stolzeweg 3-7
Striebitzallee 8/7
Striebitzallee 8920
Striebitzring 7
Striebitzstraße 48
Striebitzweg 551
Strohweg 6/5
Stumpfstr. 2
Stumpfstr. 39-16
Stumpfstraße 12-81
Susan-Gumprich-Straße 559
Susann-Werner-Platz 9604
Susanne-Wohlgemut-Straße 1
Suse-Eberth-Weg 3
Svea-Bonbach-Platz 59/23
Svea-Röhricht-Platz 315
Svenja-Kraushaar-Ring 1
Svetlana-Löwer-Allee 13
Sybilla-Stoll-Allee 5/9
Sylvana-Henck-Platz 8-5
Sylvana-Preiß-Straße 65-53
Sylvia-Roskoth-Straße 2907
Sylvio-Etzler-Gasse 24
Säuberlichallee 5-3
Säuberlichplatz 8/4
Södinggasse 4/9
Södingring 46
Södingstr. 57
Södingweg 73
Sölzerplatz 3/1
Sölzerring 1-7
Sölzerstr. 2025
Sölzerstraße 10-10
Sönke-Siering-Platz 165
Sören-Weitzel-Straße 97/42
Sören-Zorbach-Ring 6131
Süßebiergasse 2
Süßebierring 86-11
Süßebierstr. 1/5
Tabea-Stiebitz-Straße 6-9
Tadeusz-Grein Groth-Ring 5-9
Tadeusz-Mies-Weg 64/30
Tassilo-Etzler-Weg 10-35
Textorweg 3
Thaddäus-Otto-Gasse 9
Thanelallee 82-52
Thanelplatz 891
Thanelstraße 77-89
Theda-Ruppert-Allee 13-89
Theo-Buchholz-Gasse 6/3
Theobald-Kabus-Ring 9176
Theobald-Schuster-Platz 48-14
Theodor-Junk-Allee 6-3
Theresa-Henk-Platz 1-2
Theresa-Trub-Platz 8/2
Therese-Junken-Weg 9-8
Thiesgasse 43
Thiesplatz 1
Thiesweg 2362
Thiesweg 4/3
Thilo-Heuser-Allee 1894
Thilo-Keudel-Straße 4
Thomas-Möchlichen-Straße 3409
Tilly-Fritsch-Allee 6996
Tilmann-Kreusel-Weg 89-78
Tilo-Austermühle-Allee 548
Timm-Scholz-Gasse 6
Timm-Stoll-Platz 85
Timo-Gerlach-Ring 2
Timo-Gertz-Platz 8
Timo-Hermighausen-Allee 70-75
Tintzmannplatz 524
Tlustekgasse 1-5
Tlustekgasse 5916
Tlustekring 79/74
Tlustekweg 67-65
Tomislav-Kensy-Platz 98-46
Tony-Freudenberger-Straße 36-32
Trappallee 9-7
Trappplatz 7-4
Trappring 7-7
Trappstr. 844
Trappstraße 546
Trappstraße 6-8
Trappweg 871
Traude-Gutknecht-Gasse 8008
Traudel-Döhn-Allee 70/88
Traudl-Rust-Gasse 83/27
Traute-Benthin-Straße 89-59
Traute-Blümel-Straße 50
Truballee 89/14
Trubingasse 50-61
Trubinplatz 4
Trubinstraße 1
Trubinweg 67-69
Trubplatz 21-67
Trubring 7552
Trubstr. 14/29
Trubstraße 5
Trubweg 53
Trudel-Preiß-Gasse 7
Truppring 4/5
Truppstraße 786
Tröstallee 6/3
Tröstweg 1093
Trübstr. 91/53
Trübweg 58-68
Tschentscherring 36
Tschentscherstr. 18-95
Tschentscherstraße 99/91
Tschentscherweg 41/89
Täschestr. 665
Türkan-Hövel-Gasse 3-9
Udo-Börner-Platz 11
Uli-Austermühle-Straße 8
Ullmannallee 236
Ullmanngasse 211
Ullmanngasse 218
Ullmanngasse 954
Ullmannplatz 77/47
Ullrich-Harloff-Platz 4/8
Ullrichplatz 278
Ullrichstr. 187
Ulrich-Steinberg-Straße 8/8
Urban-Stolze-Weg 876
Ute-Biggen-Ring 82-18
Vadim-Liebelt-Straße 3-9
Valeri-Gotthard-Ring 15/12
Veit-Kohl-Platz 2-1
Veit-Krein-Ring 3
Veli-Scholtz-Straße 48/73
Veronica-Nohlmans-Platz 8/5
Victor-Höfig-Gasse 837
Viktoria-Austermühle-Platz 52/89
Vincenzo-Harloff-Ring 1733
Vincenzo-Schlosser-Ring 357
Vitali-Tlustek-Straße 8-9
Vito-Boucsein-Ring 72
Vito-Hethur-Gasse 9
Vito-Weinhold-Allee 4/7
Vitus-Hendriks-Ring 12
Vitus-Ullmann-Ring 58/25
Viviane-Dussen van-Ring 2638
Vogtgasse 2-2
Vogtring 6/1
Vogtstraße 7-2
Volkhard-Wesack-Ring 59-43
Vollbrechtring 5
Wagenknechtallee 811
Wagenknechtgasse 59/28
Wagenknechtstr. 37
Wagnergasse 3256
Wagnerplatz 5-5
Walburga-Paffrath-Allee 6/7
Waldtraut-Gehringer-Platz 1-8
Waldtraut-Pruschke-Ring 784
Walentina-Vollbrecht-Weg 3-9
Wally-Sorgatz-Weg 19-44
Waltergasse 15
Walterplatz 5/2
Walther-Warmer-Allee 1/4
Waltraud-Benthin-Weg 26/13
Waltraud-Killer-Weg 11
Warmerallee 29-98
Warmerallee 67
Warmerstr. 0
Warmerstraße 341
Weihmannallee 57
Weihmanngasse 5-7
Weihmannweg 87/94
Weimerplatz 59/51
Weimerstr. 73
Weimerstraße 236
Weimerweg 192
Weinhagegasse 4/4
Weinhageplatz 19-46
Weinholdgasse 99/23
Weinholdplatz 40/56
Weinholdring 2/7
Weinholdstraße 41-48
Weitzelgasse 78-79
Weitzelring 925
Weitzelweg 2-9
Weißgasse 73
Weißstr. 22/66
Weißstr. 4
Wellerstr. 9160
Wendeweg 2/3
Wendeweg 54/47
Wenke-Juncken-Ring 7061
Wenzel-Etzler-Gasse 9-5
Werneckeplatz 47-73
Wernergasse 6-7
Wernerplatz 889
Wernerstr. 6-4
Wernerstraße 52
Wesackgasse 83/85
Wesackplatz 83/53
Wiekstraße 4-3
Wieland-Mühle-Straße 30-94
Wielochstr. 68-46
Wieslaw-Ullrich-Straße 8/3
Wigbert-Loos-Gasse 61/45
Wilfriede-Losekann-Ring 4
William-Meyer-Straße 62
Willibald-Ladeck-Straße 4-8
