Abdul-Gunpf-Weg 61-34
03825 Plauen
Gorlitzring 8954
61945 Schwäbisch Hall
Gottlieb-Hettner-Gasse 5-9
02401 Pirmasens
Grafweg 7-2
96028 Paderborn
Greta-Meyer-Platz 4-3
30726 Passau
Grete-Meister-Straße 7/8
13559 Karlsruhe
Gretl-Henk-Straße 12-60
05199 Ueckermünde
Gretl-Winkler-Ring 85-68
24591 Kötzting
Grit-Margraf-Ring 11
12510 Wolfratshausen
Gudering 2
26139 Hohenstein-Ernstthal
Gudeweg 3/7
23493 Wetzlar
Gudeweg 7527
67276 Göppingen
Gudrun-Fischer-Allee 38
59482 Rochlitz
Guiseppe-Finke-Ring 1-1
52214 Pegnitz
Gumprichplatz 19
40930 Ansbach
Gumprichplatz 8-7
56333 Melsungen
Gumprichweg 5963
71934 Weißwasser
Gunda-Knappe-Weg 9-4
85954 Stendal
Gundi-Käster-Allee 93
98643 Helmstedt
Gundolf-Steuer-Weg 72-54
64401 Celle
Gunhild-Adolph-Straße 21-17
35876 Osterburg
Gunhild-Jacob-Platz 32-55
04291 Erkelenz
Gunnar-Möchlichen-Gasse 90-85
91281 Anklam
Gunpfallee 7
37763 Euskirchen
Gunpfallee 8
86889 Hofgeismar
Gunpfring 37/55
86762 Heinsberg
Gunpfring 63/11
68858 Bernburg
Gunpfweg 2715
22312 Teterow
Gunter-Sorgatz-Weg 95/88
06110 Bruchsal
Gutknechtstr. 5-8
37978 Werdau
Gutknechtstraße 52
43178 Mettmann
Gönül-Karz-Platz 93/26
13757 Kötzting
Götz-Gunpf-Gasse 9
41616 Halberstadt
Gülay-Budig-Platz 69-64
38031 Gransee
Gülay-Schulz-Allee 7576
53079 Neuss
Gülay-Wende-Ring 8236
07996 Wanzleben
Gülten-Kraus-Weg 85/63
24633 Bersenbrück
Gülten-Krause-Ring 1-4
81927 Schweinfurt
Gülten-Mangold-Ring 70/23
21601 Parchim
Günter-Faust-Allee 6978
86800 Calau
Haasegasse 39
19174 Main-Höchst
Haaseweg 84
31634 Dieburg
Haaseweg 92-37
82584 Hünfeld
Haeringallee 479
04942 Ludwigslust
Haeringplatz 6/7
18474 Weißenfels
Hakan-Naser-Weg 8/6
36861 Miltenberg
Hakan-Weller-Weg 99-80
16412 Angermünde
Hamannplatz 4/6
81645 Arnstadt
Handeallee 73
45705 Sigmaringen
Handering 2
39524 Haldensleben
Handeweg 3-4
75719 Hohenmölsen
Handeweg 9743
67696 Tecklenburg
Hanne-Dowerg-Gasse 782
23794 Siegen
Hannes-Kostolzin-Allee 656
20546 Hofgeismar
Hans D.-Trupp-Straße 5339
37906 Bützow
Hans Georg-Radisch-Weg 5631
52308 Gransee
Hans Josef-Köster-Ring 5-8
09494 Uffenheim
Hans Peter-Jungfer-Platz 2188
97534 Ludwigslust
Hans Peter-Krein-Straße 4-9
87717 Augsburg
Hans Peter-Stolze-Ring 9/3
35497 Gardelegen
Hans-Adolf-Lindau-Straße 1
40690 Lippstadt
Hans-Bernd-Drub-Allee 37-80
83035 Kulmbach
Hans-Christian-Döhn-Allee 9/3
80212 Neuss
Hans-Detlef-Girschner-Ring 7-6
58739 Fürstenwalde
Hans-Detlef-Rust-Allee 54
58178 Ebersberg
Hans-Dieter-Ernst-Platz 26-74
41220 Ahaus
Hans-Dieter-Käster-Gasse 44/61
03356 Greifswald
Hans-Georg-Hertrampf-Gasse 463
08064 Hamburg
Hans-Gerd-Beer-Platz 1-3
38715 Hagenow
Hans-Gerd-Ullmann-Ring 50-38
43300 Wertingen
Hans-H.-Bolander-Platz 6457
18578 Schweinfurt
Hans-H.-Patberg-Ring 61/65
77856 Recklinghausen
Hans-H.-Rosenow-Platz 8-3
24448 Chemnitz
Hans-H.-Steinberg-Platz 45/62
92694 Brand
Hans-Helmut-Hentschel-Ring 97
67713 Schmölln
Hans-Helmut-Loos-Platz 10
66246 Stadtroda
Hans-Herbert-Schinke-Weg 4
42838 Beeskow
Hans-Hermann-Junk-Straße 6-1
99503 Rehau
Hans-J.-Hande-Platz 2
66269 Nordhausen
Hans-Jochen-Mende-Straße 62
16740 Wolgast
Hans-Josef-Neureuther-Ring 2
48495 Ansbach
Hans-Jörg-Stumpf-Straße 91
46655 Bergzabern
Hans-Jürgen-Plath-Gasse 6/5
08625 Erkelenz
Hans-Martin-Reichmann-Platz 2/2
23105 Potsdam
Hans-Rainer-Reinhardt-Ring 33-50
15727 Berchtesgaden
Hans-Rainer-Zorbach-Allee 58/99
29845 Sankt Goarshausen
Hans-Rudolf-Gerlach-Straße 5
19228 Neuruppin
Hans-Siering-Platz 9-1
66737 Iserlohn
Hans-Theo-Mülichen-Allee 67/57
86700 Zschopau
Hans-Walter-Krause-Straße 97/74
70134 Bernburg
Hans-Walter-Steuer-Straße 3/3
85428 Rothenburg ob der Tauber
Hans-Wolfgang-Scholl-Straße 78
05808 Soest
Hansjörg-Jockel-Gasse 9948
59711 Feuchtwangen
Hansjürgen-Heinrich-Ring 142
09986 Schwandorf
Hansjürgen-Noack-Gasse 90
46213 Main-Höchst
Hanspeter-Hänel-Straße 1763
15037 Kyritz
Harald-Klemt-Weg 32/10
98585 Hoyerswerda
Harloffstraße 1
55182 Neuruppin
Harm-Austermühle-Straße 16-54
80136 Bersenbrück
Harry-Eckbauer-Platz 8354
95770 Fürstenfeldbruck
Hartmannallee 22-67
21477 Bayreuth
Hartmannstraße 50/85
77963 Wunsiedel
Hartmuth-Scholl-Weg 13
57113 Wismar
Hartmuth-Thies-Gasse 17/78
66850 Ribnitz-Damgarten
Hartungallee 5
25941 Spremberg
Hartungplatz 8612
74371 Marktheidenfeld
Hartungring 2-4
85381 Angermünde
Hartungstr. 990
84238 Kemnath
Hassan-Hermighausen-Gasse 48-70
54216 Chemnitz
Hatice-Boucsein-Weg 6-3
07379 Göttingen
Hatice-Haering-Straße 2/9
51378 Döbeln
Haufferallee 78-71
68248 Groß-Gerau
Haufferstraße 284
03724 Torgau
Haufferstraße 8/1
38491 Pegnitz
Haufferweg 85
92397 Angermünde
Heckerallee 90
16856 Bad Langensalza
Heckergasse 9-4
03377 Luckenwalde
Heckerweg 7-7
64275 Augsburg
Hedda-Meyer-Allee 17/82
21876 Lippstadt
Hedda-Trüb-Allee 65/31
71958 Neunburg vorm Wald
Heide-Marie-Steinberg-Weg 8004
95491 Aachen
Heidi-Kramer-Weg 8-6
14235 Starnberg
Heidrichallee 7-7
07074 Ebern
Heidrun-Pölitz-Ring 48
26459 Sulzbach-Rosenberg
Heidrun-Röhricht-Platz 385
91724 Konstanz
Heino-Ditschlerin-Ring 298
66522 Artern
Heinrich-Dehmel-Weg 54/44
98593 Jülich
Heinrichweg 0
48623 Cloppenburg
Heintzeallee 7
24150 Hainichen
Heintzegasse 187
63625 Lobenstein
Heintzering 913
98147 Böblingen
Heinweg 9/9
51567 Leipziger Land
Heinz-Dieter-Linke-Ring 33/27
95035 Freital
Heinz-Gerd-Hande-Gasse 2
80256 Zossen
Heinz-Günther-Stahr-Gasse 46
73841 Säckingen
Heinz-Wilhelm-Jähn-Platz 9869
68459 Brandenburg
Heinzstraße 9-4
90200 Bogen
Helen-Jockel-Gasse 4
90640 Malchin
Helena-Hörle-Ring 6511
31763 Lörrach
Helge-Tintzmann-Weg 9
73072 Meiningen
Hellmut-Drubin-Weg 710
73000 Tirschenreuth
Hellmuth-Hethur-Straße 387
88288 Wiedenbrück
Hellmuth-Winkler-Allee 3-1
60867 Rothenburg ob der Tauber
Hellwigring 266
60845 Griesbach Rottal
Hellwigweg 76/47
12556 Marktheidenfeld
Helmtrud-Ackermann-Allee 84-67
84346 Meppen
Helmtrud-Ditschlerin-Allee 98/39
01062 Zerbst
Helmtrud-Dobes-Straße 9-9
93004 Bogen
Helmtrud-Hentschel-Gasse 734
48278 Günzburg
Henckring 49/82
38631 Oschatz
Hendriksgasse 33-39
58910 Pegnitz
Hendriksplatz 5
97818 Dresden
Hendriksring 40-66
91415 Göttingen
Hendriksweg 36-42
08392 Soltau
Henkgasse 87/69
05736 Güstrow
Henkstr. 6504
09753 Luckenwalde
Henner-Wagner-Allee 54/30
61442 Beilngries
Henny-Hauffer-Weg 42
44188 Illertissen
Henriette-Franke-Allee 56
31994 Fulda
Henriette-Grein Groth-Allee 399
61093 Eggenfelden
Hentschelgasse 3/6
47600 Geithain
Hentschelgasse 44
30112 Pfaffenhofen an der Ilm
Hentschelstraße 319
83013 Senftenberg
Heribert-Mülichen-Ring 2-4
21128 Ingolstadt
Heringgasse 805
04191 Kyritz
Heringplatz 61/51
57101 Stade
Heringstr. 5-1
81750 Burgdorf
Herlinde-Junken-Weg 46
70371 Oschatz
Herlinde-Röhrdanz-Gasse 118
05801 Gera
Hermann Josef-Kühnert-Gasse 49-79
98336 Witzenhausen
Hermannring 4/8
00690 Freising
Hermannstraße 28
53130 Ueckermünde
Hermannstraße 7/9
89874 Ludwigsburg
Hermighausenallee 6/6
35297 Teterow
Hermighausenplatz 551
37309 Lübben
Hermighausenplatz 884
81505 Eichstätt
Hermighausenstr. 60-87
35099 Eutin
Hermighausenstr. 82
85191 Waldmünchen
Hermighausenstr. 91
92242 Schwerin
Hermighausenstraße 8-8
80185 Crailsheim
Hermighausenstraße 908
95325 Hammelburg
Hermighausenweg 85-96
60925 Gerolzhofen
Herrmanngasse 49
65582 Jena
Herrmanngasse 51/29
31680 Borna
Herrmannweg 356
14453 Grimma
Herrmannweg 492
08958 Miltenberg
Herrmannweg 54-95
98890 Wertingen
Herrmannweg 6151
18879 Ebersberg
Hertha-Kohl-Gasse 24
13527 Lemgo
Hertrampfallee 1-1
56082 Böblingen
Hertrampfring 26
33822 Mittweida
Hertrampfweg 87
44348 Plauen
Hesergasse 1/1
22705 Jülich
Heserstr. 97/35
45952 Düren
Heserstraße 97
14196 Dieburg
Hessegasse 92/12
94596 Jena
Hesseplatz 58-83
81735 Eisenhüttenstadt
Hesseweg 46
09532 Hannover
Hethurplatz 637
97221 Greiz
Hethurring 6-3
31357 Schwerin
Hethurring 8/7
49111 Hildburghausen
Hettnerallee 25-43
51869 Herzberg
Hettnergasse 7-7
46423 Ludwigslust
Hettnerstr. 97-76
04152 Scheinfeld
Hettnerweg 9035
86136 Chemnitz
Heuserweg 9440
77494 Neustadt am Rübenberge
Heydrichplatz 63/94
20016 Kleve
Heydrichring 2-7
58893 Badoberan
Heydrichstr. 70/28
04225 Erkelenz
Heydrichweg 88/76
11377 Melsungen
Heßring 87
40295 Schwäbisch Gmünd
Heßstr. 13-99
69611 Viechtach
Heßstr. 46-88
15629 Gießen
Heßstr. 691
71495 Plauen
Heßweg 46/11
48315 Artern
Hilda-Hethur-Ring 87
72567 Demmin
Hildburg-Blümel-Straße 294
44950 Oberviechtach
Hildburg-Losekann-Straße 1
68865 Karlsruhe
Hildburg-Lübs-Gasse 1266
08953 Wolmirstedt
Hildegard-Kitzmann-Ring 55-86
50836 Gardelegen
Hillerallee 176
69484 Ansbach
Hillerstr. 7921
93537 Nürtingen
Hilmar-Meister-Platz 5-6
20600 Herford
Hiltraud-Wernecke-Allee 19-14
01741 Gardelegen
Hiltrud-Ernst-Straße 735
85997 Freital
Hinrich-Schmiedecke-Weg 5073
02310 Steinfurt
Hoffmannallee 5/8
10250 Lemgo
Holm-Gude-Weg 60-89
31539 Gera
Holm-Schlosser-Weg 7
83632 Bad Mergentheim
Holtstr. 7/6
73573 Monschau
Holzapfelgasse 55
80684 Freudenstadt
Holzapfelstraße 43-13
68330 Koblenz
Holzapfelweg 35/53
25133 Kleve
Hornichallee 4-4
19590 Kemnath
Hornichgasse 33
98598 Oberviechtach
Hornichgasse 64
53335 Wesel
Hornichplatz 3
90865 Saulgau
Hornichstraße 380
36913 Wolmirstedt
Hornichweg 74/87
53867 Ilmenau
Hornigallee 8-9
96251 Niesky
Horniggasse 17/12
05870 Schrobenhausen
Hornigstraße 3053
82717 Lippstadt
Horst-Günter-Davids-Straße 9
99745 Gotha
Horst-Peter-Beckmann-Straße 61/27
55091 Hammelburg
Horst-Peter-Kensy-Ring 63
30826 Haldensleben
Hubert-Heydrich-Allee 312
88640 Guben
Huhnallee 8450
36795 Helmstedt
Huhnring 1252
09065 Ochsenfurt
Hänelallee 7/6
60326 Gütersloh
Hänelgasse 95-58
32005 Havelberg
Hänelweg 7
71044 Hildburghausen
Häringstr. 7
19237 Tuttlingen
Höfiggasse 325
58364 Eisleben
Höfiggasse 85/87
69743 Göppingen
Höfiggasse 87
20468 Hannoversch Münden
Höfigring 73
50547 Waren
Höfigweg 8618
68207 Kleve
Höfigweg 9
26462 Dachau
Hölzenbecherplatz 5765
97352 Wernigerode
Hölzenbecherring 0
61882 Miltenberg
Hölzenbecherstr. 3-8
02968 Günzburg
Hörlegasse 63/43
79389 Belzig
Hövelweg 2-1
89876 Saarlouis
Hövelweg 975
82251 Hettstedt
Hübelweg 96
21243 Erkelenz
Ian-Drewes-Allee 5164
22664 Mühlhausen
Ian-Nohlmans-Platz 2/6
66666 Demmin
Ian-Seifert-Weg 71
88203 Geithain
Ignaz-Seidel-Allee 1-6
52909 Potsdam
Ildiko-Lehmann-Gasse 51-44
11979 Biedenkopf
Ilija-Winkler-Platz 7195
99052 Aachen
Ilja-Pieper-Gasse 368
43900 Lichtenfels
Ingbert-Flantz-Allee 0
11128 Passau
Inge-Boucsein-Weg 4
44089 Neuss
Inge-Etzler-Straße 64-78
22191 Rottweil
Ingetraud-Kade-Ring 366
52885 Heiligenstadt
Ingetraut-Stahr-Weg 880
79069 Mühlhausen
Ingo-Girschner-Platz 2689
09376 München
Ingried-Stahr-Weg 3/8
03215 Fürstenfeldbruck
Ingried-Trommler-Straße 51-35
97171 Bitterfeld
Inna-Löffler-Weg 51-20
79336 Starnberg
Ioannis-Lübs-Platz 9
01947 Riesa
Ira-Kitzmann-Straße 280
25281 Nürtingen
Irena-Geisler-Weg 9667
66225 Soltau
Irina-Conradi-Straße 35
21981 Eutin
Irmengard-Döring-Straße 912
40538 Miesbach
Irmengard-Liebelt-Weg 6857
01728 Rottweil
Irmengard-Neureuther-Ring 83-76
14918 Neuruppin
Irmhild-Schweitzer-Platz 2691
03647 Ueckermünde
Irmhild-Wiek-Platz 31
36545 Bad Kreuznach
Irmi-Mude-Ring 5/1
96347 Wernigerode
Irmtraut-Plath-Gasse 351
29819 Bischofswerda
Irmtrud-Adler-Straße 10/10
77584 Hainichen
Isabel-Trommler-Ring 7/7
31002 Delitzsch
Ismail-Beier-Platz 31
02243 Fulda
Ismail-Stahr-Ring 10/50
20664 Peine
Istvan-Spieß-Gasse 77
69294 Pößneck
Ivanka-Hermann-Weg 8/6
14543 Schlüchtern
Ivanka-Stolze-Ring 7751
13202 Aurich
Jacob-Kabus-Platz 485
90502 Luckau
Jacob-Misicher-Straße 544
57021 Roth
Jacobi Jäckelallee 91
83278 Freising
Jacobi Jäckelgasse 1-1
18940 Rosenheim
Jacobi Jäckelstr. 68/49
29370 Guben
Jakob-Zorbach-Allee 8-7
83938 Heiligenstadt
Jane-Kallert-Ring 45-66
67472 Hohenmölsen
Janet-Girschner-Ring 8
24515 Wolfenbüttel
Janet-Kade-Platz 994
16314 Tuttlingen
Janett-Seifert-Ring 1
95145 Düren
Janette-Benthin-Weg 76
33631 Strausberg
Janette-Vollbrecht-Allee 6-2
60381 Backnang
Janine-Köhler-Weg 4
27015 Gelnhausen
Janine-Oestrovsky-Allee 21/26
20195 Gransee
Janine-Ortmann-Gasse 6/9
07658 Lemgo
Jann-Hübel-Weg 43/80
36155 Olpe
Janus-Seidel-Weg 53
93601 Anklam
Jaroslav-Gorlitz-Straße 24
04348 Brandenburg
Jaroslaw-Schuster-Allee 2517
63649 Havelberg
Jasmin-Kobelt-Allee 91/19
11717 Rudolstadt
Jasmin-Ortmann-Allee 305
03511 Kitzingen
Jennifer-Mans-Gasse 6/2
72607 Wolmirstedt
Jessica-Beier-Allee 474
40544 Bad Liebenwerda
Joana-Weinhage-Allee 74-18
15478 Niesky
Joanna-Hofmann-Straße 0
44464 Wanzleben
Jockelallee 2/1
53104 Backnang
Jockelallee 9
46387 Perleberg
Jockelweg 71-54
79259 Hechingen
Johann-Ring-Platz 9654
12956 Bergzabern
Johannallee 25/82
88282 Schmölln
Johanne-Roskoth-Ring 1-7
28185 Pasewalk
Johanngasse 1702
16679 Gransee
Johannring 948
09350 Ahaus
Johannstr. 45/46
20371 Genthin
Jolanda-Biggen-Gasse 872
43760 Eisenberg
Jolanthe-Nerger-Allee 98-25
79040 Uelzen
Jorge-Rohleder-Allee 6-7
58062 Eutin
Jose-Striebitz-Gasse 2-2
52830 Strasburg
Jost-Hethur-Ring 6398
00648 Badibling
Jozef-Holsten-Straße 66-46
42584 Wanzleben
Julia-Martin-Ring 4374
93925 Eisenberg
Juliana-Thanel-Gasse 7867
27145 Tuttlingen
Juliane-Scholtz-Straße 39
12712 Soest
Julius-Kramer-Platz 97
24659 Herford
Junckallee 16/37
34902 Dessau
Junckenweg 92-28
65191 Stuttgart
Junckgasse 32-40
86376 Kronach
Jungferallee 9
91490 Hannover
Jungfergasse 1/6
94174 Schmölln
Jungferstr. 360
72137 Finsterwalde
Junitzstr. 9/8
39888 Sömmerda
Junitzstraße 7
84481 Neunburg vorm Wald
Junitzstraße 8-8
48792 Gardelegen
Junkenallee 63
13981 Jessen
Junkenallee 707
58315 Sulzbach-Rosenberg
Junkengasse 965
17959 Nabburg
Junkenplatz 8-3
70430 Strausberg
Junkenstraße 4
74376 Bad Freienwalde
Junkgasse 1700
41110 Dachau
Junkring 8
49721 Neustrelitz
Junkstraße 61-87
69594 Bersenbrück
Jurij-Pölitz-Allee 18-54
93621 Nürtingen
Justina-Mohaupt-Allee 1/6
03927 Hainichen
Jähnstraße 6
03167 Rockenhausen
Jäkelallee 41
97021 Düren
Jäkelstraße 2
19949 Grevenbroich
Jäntschallee 243
27851 Bad Mergentheim
Jäntschgasse 0
32015 Rochlitz
Jäntschstr. 72-73
50281 Gütersloh
Jäntschstraße 5/6
81427 Senftenberg
Jäntschweg 9/8
19522 Witzenhausen
Jörg-Benthin-Allee 7888
64087 Mettmann
Jörg-Peter-Ruppersberger-Straße 99-28
91288 Jülich
Jörg-Rudolph-Gasse 914
55898 Nördlingen
Jürgen-Kabus-Gasse 24/82
70751 Angermünde
Jürgen-Rudolph-Straße 3
02971 Waren
Jüttnerstraße 4846
58250 Wittenberg
Jüttnerweg 3
18321 Parchim
Kadeplatz 18/26
10215 Emmendingen
Kadestr. 72
56227 Neustrelitz
Kadestraße 5483
73181 Grafenau
Kadeweg 2415
34792 Ochsenfurt
Kallertstr. 985
97294 Lobenstein
Kallertstraße 40-44
02920 Nürtingen
Kambsgasse 262
29746 Brandenburg
Kambsstraße 56-83
41244 Herford
Kambsweg 91/48
81877 Angermünde
Kargestraße 2
70907 Duderstadt
Karina-Schmidt-Ring 94
91322 Brandenburg
Karl Heinz-Rogner-Straße 5320
41316 Fürstenfeldbruck
Karl-Friedrich-Beckmann-Allee 51-86
46542 Nordhausen
Karl-Friedrich-Hofmann-Gasse 1203
31732 Badibling
Karl-Georg-Holzapfel-Ring 16/63
97624 Hohenstein-Ernstthal
Karl-Heinz-Zänker-Platz 9-4
72164 Altötting
Karl-Hermann-Krein-Platz 67/41
70764 Görlitz
Karl-Hermann-Schmidt-Weg 98/43
04658 Mittweida
Karl-Josef-Birnbaum-Gasse 42/53
06972 Ahaus
Karl-Josef-Pergande-Straße 5-5
31050 Sternberg
Karl-Josef-Rädel-Gasse 6
58174 Vohenstrauß
Karl-Ludwig-Holsten-Gasse 2
48893 Rastatt
Karl-Süßebier-Straße 635
40052 Regensburg
Karola-Beer-Straße 9/3
42274 Borken
Karola-Trommler-Gasse 6
64154 Aurich
Karolina-Gertz-Weg 56-85
43952 Königs Wusterhausen
Kaspar-Dobes-Straße 4-3
16746 Stollberg
Kaspar-Huhn-Allee 3552
49788 Staßfurt
Kaspar-Wulff-Gasse 9
24336 Wittenberg
Katalin-Scholl-Gasse 8/6
32482 Bad Brückenau
Kathi-Anders-Weg 93-45
34839 Gelnhausen
Kathi-Karz-Platz 56-47
26880 Brandenburg
Kathrin-Caspar-Allee 66-21
69585 Hagenow
Kathrin-Heidrich-Ring 6/6
30995 Malchin
Kati-Klemm-Gasse 310
03810 Cuxhaven
Kaulring 68/20
12379 Gardelegen
Kenan-Mans-Allee 1800
55288 Cuxhaven
Kenneth-Junck-Platz 6/9
41437 Sonneberg
Kenneth-Schuster-Straße 4/1
83771 Neustadtner Waldnaab
Kensystraße 5/3
97514 Cuxhaven
Kensystraße 58
04823 Erding
Keudelstr. 417
79246 Finsterwalde
Keudelstr. 8/5
37839 Hersbruck
Keudelstr. 95-45
53159 Aachen
Keudelstraße 4/1
58434 Bremervörde
Kira-Langern-Gasse 4
85179 Eisenhüttenstadt
Kirsten-Trubin-Weg 2/2
34370 Beilngries
Kirsten-Zahn-Ring 5896
34123 Siegen
Kitzmanngasse 41
94643 Grafenau
Kitzmannweg 3363
33772 Hannover
Klappgasse 66
57734 Eisleben
Klappgasse 86-75
73591 Uelzen
Klappring 87
76281 Germersheim
Klappweg 46/98
40448 Mühldorf am Inn
Klara-Sontag-Straße 2486
08429 Grevesmühlen
Klaus Peter-Gröttner-Allee 43
07932 Feuchtwangen
Klaus-D.-Liebelt-Weg 64-65
43431 Osterode am Harz
Klaus-Dieter-Hein-Straße 8-8
93823 Riesa
Klaus-Günter-Ullrich-Weg 1594
17898 Mettmann
Klaus-Junk-Platz 6
93869 Jessen
Klaus-Michael-Möchlichen-Gasse 22
54778 Weißwasser
Klaus-Michael-Oderwald-Weg 82/73
68503 Regensburg
Klaus-Michael-Reichmann-Ring 4-1
67799 Deggendorf
Klaus-Peter-Trüb-Straße 2-3
74760 Diepholz
Klemmstraße 60
15862 Heiligenstadt
Klemtstr. 32-83
82353 Ansbach
Klemtstr. 5
40713 Kleve
Klothilde-Mentzel-Weg 93/24
10549 Duderstadt
Klotzgasse 501
43417 Schwäbisch Gmünd
Klotzplatz 25/24
54055 Augsburg
Knappegasse 21/96
94056 Hammelburg
Knud-Dietz-Gasse 9
50298 Dieburg
Kobeltring 7
36351 Bad Kreuznach
Kobeltstraße 4-2
51184 Gransee
Koch IIring 34-65
36475 Mittweida
Kochring 3341
25961 Neubrandenburg
Kohlgasse 40-97
30715 Herford
Kohlstraße 24
63583 Olpe
Korinna-Lindner-Gasse 393
08213 Gifhorn
Kornelia-Preiß-Allee 59
61468 Beeskow
Kostolzinplatz 8/3
83823 Meißen
Kostolzinring 3-1
95190 Mallersdorf
Kostolzinweg 1/5
81647 Zschopau
Kramergasse 569
55476 Wesel
Kramerweg 3
98802 Ebermannstadt
Kramerweg 5-9
90253 Rochlitz
Kranzgasse 9
86446 Euskirchen
Kranzring 8
09196 Görlitz
Kranzstraße 2/5
86590 Gießen
Krausallee 8
41139 Grevenbroich
Krausallee 9-6
85484 Bad Kreuznach
Krauseplatz 4-1
54073 Halberstadt
Krausering 5-7
57391 Altötting
Krausgasse 1
83598 Hamburg
Kraushaarweg 493
03308 Oranienburg
Krausplatz 6/6
06519 Amberg
Krausplatz 8543
44865 Gifhorn
Krausring 1063
66408 Nürtingen
Krebsallee 86-29
70507 Wittstock
Kreinstraße 2378
25506 Dresden
Kreinweg 209
29445 Schongau
Kreinweg 4-9
22836 Berlin
Kreuselplatz 85-19
23054 Sankt Goar
Kreuselstraße 2209
83004 Jülich
Kristiane-Grein Groth-Weg 5
45424 Ebersberg
Krokergasse 65
38326 Gütersloh
Kruschwitzallee 23
93688 Steinfurt
Kruschwitzring 3-5
11941 Altentreptow
Kruschwitzstr. 704
74880 Ebermannstadt
Kruschwitzweg 1704
85359 Kyritz
Krzysztof-Gerlach-Gasse 2
37328 Ebermannstadt
Kuhlring 47
11289 Senftenberg
Kuhlstr. 5
43904 Bergzabern
Kuhlstraße 5642
91245 Chemnitz
Kuno-Wilmsen-Weg 16
27347 Rosenheim
Kuschallee 434
64845 Neustrelitz
Kuschallee 702
47519 Freudenstadt
Kuschgasse 3
10213 Fulda
Kuschstraße 24
40584 Bersenbrück
Kuschstraße 597
87652 Pirmasens
Kästerallee 9135
04770 Büsingen am Hochrhein
Kästerring 37/14
61269 Quedlinburg
Kästerstr. 3/3
48296 Kötzting
Kästerweg 5/8
77012 Lobenstein
Käthi-Pohl-Platz 10
44332 Backnang
Käthi-Schenk-Platz 8-3
97470 Eichstätt
Köhlerallee 80-11
75889 Schwarzenberg
Köhlerstr. 49/68
26789 Badoberan
Kösterweg 66/97
63663 Helmstedt
Kühnertallee 13/50
07445 Hofgeismar
Kühnertallee 5971
98320 Schweinfurt
Kühnertplatz 7582
19085 Quedlinburg
Kühnertring 58-97
03203 Ludwigslust
Kühnertstr. 51-47
54390 Bützow
Kühnertstr. 97
35439 Rochlitz
Lachmanngasse 9/5
05148 Dessau
Lachmannstraße 9/2
67395 Querfurt
Ladeckgasse 5/5
45701 Perleberg
Ladeckgasse 7423
69139 Moers
Laila-Nette-Allee 73
29494 Bützow
Langernstr. 9-4
96401 Grafenau
Langernstraße 452
49822 Leipziger Land
Langernstraße 7-1
32557 Cottbus
Langestr. 77
12308 Kaiserslautern
Langestraße 8
20820 Seelow
Langeweg 7355
34347 Siegen
Langeweg 8-9
04617 Werdau
Langeweg 9812
39606 Burglengenfeld
Laura-Kuhl-Platz 99-26
99315 Osterode am Harz
Lehmannallee 230
88519 Zschopau
Lehmannstr. 5-8
34135 Luckau
Lehmannstraße 68
11642 Wolfach
Lehmannweg 7/9
66586 Schwäbisch Gmünd
Leila-Herrmann-Straße 6
98354 Torgau
Lena-Ehlert-Platz 5401
56315 Demmin
Lena-Hartmann-Allee 77-57
54077 Fürstenwalde
Leni-Thies-Weg 954
18307 Havelberg
Leonard-Tintzmann-Straße 30/50
47920 Pritzwalk
Leonardo-Zimmer-Weg 76-87
99754 Neunburg vorm Wald
Leonhard-Tröst-Ring 52/10
09389 Main-Höchst
Leonid-Aumann-Allee 7-4
06320 Peine
Leonie-Dowerg-Gasse 30/98
49101 Saarlouis
Leonie-Vogt-Ring 4626
20420 Paderborn
Leszek-Aumann-Weg 28
33540 Wittstock
Lidia-Blümel-Gasse 8658
42268 Waldmünchen
Lidija-Schmiedt-Weg 9
75953 Ebern
Liebeltstr. 2
30091 Seelow
Liebeltstraße 78
54598 Stade
Liesbeth-Thies-Weg 6381
57636 Tecklenburg
Liesel-Bolnbach-Platz 2
38659 Forst
Lieselotte-Bien-Straße 5
67747 Hofgeismar
Lilian-Holzapfel-Platz 1-4
16200 Paderborn
Lilli-Eigenwillig-Platz 75-14
05194 Viechtach
Lilli-Liebelt-Ring 65/50
11961 Sangerhausen
Lilly-Hecker-Allee 7/5
87713 Neu-Ulm
Lilo-Adler-Allee 3992
42916 Freital
Linda-Wulf-Ring 81/58
33536 Calw
Lindauplatz 60/46
36553 Tirschenreuth
Lindauweg 7-8
99439 Ludwigslust
Lindauweg 91-23
17140 Miltenberg
Linkeallee 7484
03594 Aue
Linkestr. 23
65061 Worbis
Lisa-Nohlmans-Straße 760
19542 Zschopau
Lisa-Pergande-Ring 99
35316 Forst
Lisbeth-Killer-Platz 92-62
86605 Darmstadt
Liselotte-Meister-Gasse 1225
37963 Wittmund
Loosallee 0
89579 Kronach
Lorchgasse 19/83
03599 Dinslaken
Lorchring 67
37896 Eisleben
Lorchstraße 68-13
62761 Lüdenscheid
Lorchweg 25-61
68942 Pfaffenhofen an der Ilm
Lorchweg 38
97980 Badibling
Lorenz-Krause-Weg 52
11955 Potsdam
Losekannallee 4
63417 Zschopau
Losekannallee 91
17594 Sankt Goar
Losekannplatz 37-67
17211 Dieburg
Losekannstr. 3359
77313 Oranienburg
Lotti-Hölzenbecher-Ring 2-7
07542 Lörrach
