Abdullah-Rörricht-Platz 261
Kargeweg 34
Karin-Geisler-Ring 11-78
Karin-Gierschner-Straße 2758
Karin-Mende-Weg 57/96
Karl-Friedrich-Vogt-Weg 3/7
Karl-Heinrich-Staude-Weg 5/5
Karl-Hermann-Wulff-Straße 78/76
Karl-Jürgen-Gertz-Gasse 1
Karl-Schomber-Gasse 54
Karl-Wilhelm-Ackermann-Straße 8610
Karla-Jockel-Weg 4/3
Karlheinz-Roht-Platz 92/81
Karolina-Drewes-Allee 1171
Karzring 220
Kasimir-Sölzer-Gasse 4-6
Kaspar-Trüb-Straße 4
Kata-Junk-Ring 3/5
Katarina-Löffler-Gasse 2-1
Katarina-Mende-Weg 540
Katarzyna-Neureuther-Platz 4
Katharine-Bohlander-Weg 4
Katharine-Eckbauer-Ring 97/64
Katharine-Gröttner-Allee 60/13
Kathi-Dobes-Allee 6
Kathi-Ehlert-Platz 439
Katja-Bohlander-Platz 93
Katja-Schleich-Gasse 2526
Katja-Wulff-Allee 1-1
Kaulgasse 52
Kaulgasse 9
Kazim-Bauer-Allee 5
Kemal-Fritsch-Straße 8
Kenneth-Geisler-Gasse 6818
Kensygasse 8/1
Kensygasse 85-77
Kensyring 44/61
Kensyweg 41/96
Kensyweg 706
Kerstin-Martin-Straße 7542
Keudelweg 6559
Kilian-Hethur-Weg 8-3
Kirsten-Scholl-Allee 2
Kirsten-Steinberg-Allee 568
Kitzmannring 54/46
Kitzmannweg 1-8
Klappallee 4/2
Klappplatz 12
Klara-Eigenwillig-Platz 867
Klara-Junck-Weg 7/3
Klara-Kraus-Allee 74-89
Klaus-D.-Holsten-Platz 45/25
Klaus-D.-Jungfer-Ring 46/36
Klaus-Dieter-Sorgatz-Allee 51
Klaus-Michael-Hendriks-Straße 574
Klaus-Michael-Sorgatz-Gasse 1290
Klaus-Peter-Paffrath-Ring 6
Klaus-Ulrich-Gumprich-Weg 7309
Klaus-Ulrich-Mülichen-Platz 707
Klaus-Ulrich-Scheuermann-Weg 84/41
Klaus-Werner-Junken-Ring 13/27
Klemens-Köhler-Platz 6734
Klemmallee 729
Klemmgasse 350
Klingelhöferallee 194
Klingelhöferstr. 45/54
Klingelhöferstr. 8
Klingelhöferstraße 3-1
Klotzallee 6/8
Klotzgasse 45
Klotzstr. 34
Klotzweg 5/3
Kläre-Lehmann-Straße 79
Kläre-Zänker-Gasse 1-8
Knappeallee 499
Knappestraße 156
Knud-Stiffel-Weg 98/82
Knut-Martin-Platz 3588
Kobeltplatz 82-44
Kobeltstraße 11-22
Kobeltstraße 39/65
Koch IIallee 9
Koch IIweg 7
Kochgasse 3127
Kochstraße 4/5
Kochstraße 8
Kochweg 9/5
Kohlring 8-7
Kohlstraße 69/26
Kohlstraße 9-6
Konrad-Martin-Weg 6/9
Konstanze-Martin-Allee 19/63
Kordula-Dörr-Straße 8/8
Kordula-Killer-Allee 5/6
Kordula-Renner-Ring 52
Kostolzinallee 27/17
Kramerallee 3/7
Kranzgasse 5671
Krausallee 804
Kraushaarallee 83
Kraushaarring 55-23
Kraushaarring 92/18
Kraushaarstraße 22/25
Krausring 729
Krausstraße 728
Krebsallee 486
Krebsallee 89
Krebsplatz 6-2
Krebsstr. 63
Krebsweg 4/8
Krebsweg 9
Kreinallee 68
Kreingasse 1-6
Kreszentia-Cichorius-Ring 595
Kreuselplatz 75/77
Kristin-Eigenwillig-Platz 4-8
Krokerallee 7/4
Kruschwitzallee 7144
Kruschwitzallee 8/7
Kruschwitzring 283
Kruschwitzstr. 3
Kruschwitzstraße 687
Kuhlplatz 9558
Kuhlstr. 6
Kunigunda-Zahn-Allee 72/43
Kuno-Mielcarek-Straße 5-3
Kurt-Flantz-Platz 87/14
Kuschgasse 81-83
Kuschstr. 2/1
Kuschstraße 4-5
Kuschweg 40-30
Kästerring 69-93
Kästerstraße 257
Kästerweg 6
Käthi-Jessel-Platz 1354
Köhlerallee 1/6
Köhlergasse 5
Köhlerplatz 47
Köhlerring 4-2
Köhlerweg 2/2
Köstergasse 54/18
Kühnertgasse 3
Kühnertplatz 41/38
Lachmanngasse 8-6
Lachmannplatz 64-33
Lachmannweg 589
Ladeckplatz 733
Ladeckstr. 4336
Ladeckstraße 7-5
Langering 9-2
Langernplatz 2/2
Langernplatz 9/1
Langernstr. 1/4
Lara-Säuberlich-Allee 75
Larissa-Dobes-Weg 28
Lars-Wagner-Ring 2
Laurenz-Mülichen-Straße 2
Lea-Drub-Straße 52-35
Lehmannring 110
Lehmannring 262
Leif-Hübel-Platz 19-14
Lene-Gieß-Weg 33/98
Lene-Junitz-Platz 76-71
Leni-Schomber-Allee 44/67
Leon-Lindau-Straße 4630
Leonard-Killer-Gasse 1580
Leonie-Ring-Straße 12-67
Leonie-Röhrdanz-Allee 5-4
Leopold-Kraushaar-Ring 8-2
Leszek-Kaul-Weg 5-3
Leszek-Reichmann-Platz 5
Leszek-Täsche-Straße 5/1
Leyla-Weiß-Gasse 5
Lia-Röhrdanz-Platz 820
Lidwina-Aumann-Ring 383
Lidwina-Naser-Platz 778
Lidwina-Wiek-Weg 5-3
Liebeltgasse 3
Liesel-Klemm-Platz 53
Liliana-Martin-Allee 11-89
Lilli-Ruppert-Ring 4-3
Lilly-Etzler-Weg 89/30
Lilo-Eigenwillig-Allee 88-41
Lina-Thanel-Allee 9
Lindauallee 55/62
Lindauallee 83-11
Lindauplatz 4-9
Lindauplatz 96/77
Lindauring 3/7
Lindaustraße 86-77
Lindnergasse 9731
Linkeallee 75/89
Linkestr. 30
Lioba-Johann-Allee 498
Lisbeth-Fritsch-Allee 1/4
Lisbeth-Jockel-Straße 708
Lisette-Geisler-Gasse 3
Lisette-Sager-Ring 6
Lissi-Drubin-Weg 4-6
Lissy-Schuster-Ring 2
Ljudmila-Beckmann-Platz 7/9
Loosgasse 2016
Loosstraße 91/68
Lorchallee 1990
Lorchallee 29/16
Lorchweg 6-6
Lorchweg 9/3
Lorenz-Dussen van-Weg 66-59
Lorenzo-Hartung-Allee 1
Losekanngasse 11-51
Losekannstr. 7/2
Lucia-Fliegner-Platz 309
Lucia-Holzapfel-Straße 22-22
Ludmila-Sauer-Weg 25/84
Ludmilla-Bärer-Weg 702
Ludwina-Ring-Allee 17/38
Luitgard-Klapp-Ring 87
Luka-Hübel-Gasse 7909
Lukas-Henk-Allee 2/3
Lukas-Jüttner-Platz 9686
Lukas-Sauer-Ring 52
Luzie-Thies-Platz 8-6
Löfflerstr. 52
Löwergasse 6-3
Löwerring 41/96
Löwerstr. 44-28
Löwerweg 115
Löwerweg 90-10
Lübsgasse 67/28
Lübsstr. 4671
Madeleine-Butte-Platz 85
Magdalene-Cichorius-Platz 83-91
Mahmoud-Säuberlich-Gasse 5280
Maik-Hein-Allee 5
Maja-Ruppert-Weg 7/7
Maja-Ziegert-Straße 4
Malgorzata-Buchholz-Ring 76
Manfred-Koch II-Gasse 1584
Mangoldplatz 4
Manuel-Thanel-Allee 144
Manuel-Walter-Straße 39-21
Manuela-Mentzel-Straße 11-36
Mara-Bender-Gasse 24
Marc-Spieß-Straße 374
Mareen-Schmiedt-Straße 1/6
Marek-Beier-Straße 15/39
Margarita-Bolander-Straße 4/7
Margarita-Mende-Gasse 7-2
Margita-Butte-Weg 0
Margitta-Gumprich-Straße 422
Margrafplatz 11
Margrafring 85-94
Margret-Wilmsen-Ring 6/3
Maria-Theresia-Drub-Ring 2-8
Maria-Theresia-Zimmer-Straße 19-25
Marie-Louise-Neuschäfer-Platz 15-48
Marie-Louise-Ortmann-Ring 6
Marie-Röhrdanz-Platz 9381
Mariechen-Hörle-Gasse 8741
Marija-Segebahn-Gasse 3-1
Marina-Höfig-Straße 5237
Mario-Junck-Platz 393
Mario-Scheuermann-Weg 71/95
Mario-Weinhage-Weg 8
Mariola-Hartmann-Allee 6-1
Marit-Biggen-Weg 8
Marjan-Metz-Straße 3509
Mark-Juncken-Straße 35/77
Mark-Karz-Weg 7
Marko-Stiebitz-Weg 96
Marko-Weller-Platz 79-23
Marlene-Jopich-Straße 5-8
Marlene-Paffrath-Ring 17-53
Marlies-Löwer-Platz 376
Marlis-Junken-Ring 5141
Marten-Köster-Allee 90-82
Marten-Löwer-Gasse 8-8
Marten-Weller-Platz 4/1
Martinstraße 47-98
Marvin-Hartung-Weg 86
Marvin-Karge-Weg 12
Marvin-Rosenow-Platz 914
Mary-Otto-Gasse 2
Marzena-Gorlitz-Platz 9/2
Mathias-Hoffmann-Weg 5/7
Mathilde-Kramer-Allee 4722
Mato-Adler-Ring 8/4
Mato-Schmidtke-Allee 9427
Matthäiallee 6180
Matthäiallee 73
Matthäiplatz 386
Matthäiplatz 7-8
Matthäiweg 8
Matthäus-Hermann-Ring 7652
Mattias-Heidrich-Platz 53/26
Mattias-Mans-Ring 5/9
Maurice-Mielcarek-Straße 9-1
Maurice-Schleich-Allee 8-2
Maximilian-Hecker-Platz 8-6
Maximilian-Juncken-Straße 29-92
Mechthilde-Caspar-Allee 2/3
Mehdi-Sorgatz-Weg 684
Mehmet-Meyer-Ring 30
Mehmet-Weller-Allee 9422
Meistergasse 7-7
Melanie-Schleich-Ring 92
Melitta-Hoffmann-Allee 38
Mendeallee 35
Mendegasse 6/3
Mentzelstr. 3
Mentzelstr. 90/18
Meral-Schönland-Ring 38-96
Metin-Bruder-Allee 55-78
Metzplatz 1
Metzstraße 29
Meyerallee 37/26
Meyergasse 8276
Meyerweg 0
Meyerweg 14/80
Mia-Gumprich-Platz 113
Michel-Pieper-Weg 80/85
Michelle-Hellwig-Ring 17-74
Mielcarekplatz 403
Mielcarekring 40
Miesstr. 1/3
Miesweg 976
Miguel-Dobes-Ring 46-13
Mijo-Misicher-Straße 6-6
Mikhail-Löwer-Gasse 4/9
Milica-Bachmann-Allee 9/5
Milos-Budig-Straße 95-53
Mina-Kallert-Gasse 49/99
Minna-Ring-Ring 12/91
Minna-Rosemann-Platz 7107
Mirjam-Hande-Allee 6613
Misicherring 0
Misicherstraße 2009
Misicherstraße 7-1
Misicherweg 39
Mitschkegasse 7585
Mitschkeplatz 913
Mitschkeweg 7/6
Mitschkeweg 75
Mohamed-Hövel-Platz 60
Mohammed-Jacob-Ring 3241
Mohauptstraße 8494
Mona-Huhn-Allee 3-4
Monique-Salz-Ring 43-84
Moritz-Carsten-Gasse 69
Mosemannstraße 67-85
Mudestraße 92
Mudeweg 1-7
Muharrem-Hahn-Weg 6
Muharrem-Kambs-Straße 6
Mustafa-Scheuermann-Straße 317
Mälzergasse 2639
Mälzerring 0
Möchlichengasse 28
Möchlichengasse 6
Möchlichenstr. 0
Mühlegasse 5-2
Mühlering 347
Mühlering 7006
Mühlestr. 6-9
Mühleweg 5/4
Mülichenring 5
Mülichenring 7/6
Mülichenring 9
Mülichenweg 39-96
Müllerallee 64/37
Müllerallee 7/7
Müllergasse 2786
Müllerplatz 26
Nadja-Benthin-Straße 60
Nancy-Jessel-Allee 56
Naserallee 533
Natascha-Hörle-Straße 9773
Nathalie-Heuser-Gasse 201
Necati-Mosemann-Ring 0
Nergerallee 79
Nergerallee 88
Nergergasse 4-5
Nergergasse 6
Nergergasse 8-3
Nergerstr. 29/71
Nergerstraße 6-5
Netteallee 6626
Nettegasse 2-3
Nettestr. 4/2
Nettestr. 826
Neureutherallee 9
Neureutherstr. 529
Neureutherstr. 96-96
Neuschäferallee 1387
Neuschäferring 1
Neuschäferstr. 48-47
Neuschäferstr. 64-44
Neuschäferstraße 646
Nevenka-Kreusel-Allee 8978
Nick-Austermühle-Straße 65-73
Nick-Drubin-Straße 3264
Niemeierallee 4/4
Niemeierplatz 22-45
Niemeierring 9897
Niko-Stroh-Platz 562
Nikolai-Heuser-Allee 2/6
Nikolaj-Haering-Ring 612
Nikolaos-Ortmann-Platz 86
Nina-Mentzel-Weg 250
Noackallee 9
Noackgasse 370
Nohlmansring 38
Norman-Atzler-Weg 7556
Notburga-Bärer-Ring 55
Nuray-Putz-Gasse 6-8
Nurettin-Briemer-Weg 47
Nuri-Adler-Gasse 84-85
Oderwaldplatz 829
Oderwaldweg 2/5
Oderwaldweg 4-1
Oestrovskygasse 6-1
Oestrovskyring 7941
Oestrovskystraße 26-63
Oestrovskystraße 3197
Olaf-Scheibe-Ring 29/39
Olga-Albers-Platz 50/25
Oliver-Putz-Gasse 7471
Olivia-Grein Groth-Gasse 966
Ortmanngasse 5
Ortmannstraße 53-20
Ortmannweg 59-56
Ortwin-Eimer-Gasse 0
Ortwin-Keudel-Straße 7/4
Oswin-Kramer-Gasse 40/36
Othmar-Henschel-Weg 14-52
Ottfried-Söding-Ring 4
Ottogasse 5657
Ottokar-Killer-Platz 5
Ottoplatz 3/6
Ottostr. 34/78
Ottostr. 63-16
Paffrathplatz 4296
Paffrathstr. 13-21
Paffrathweg 77/58
Pascal-Döhn-Ring 5102
Pascale-Reinhardt-Straße 21-23
Pascale-Trommler-Gasse 35
Pasquale-Preiß-Gasse 14/53
Patbergstraße 688
Patbergweg 47
Patric-Schleich-Weg 57/73
Patricia-Mielcarek-Allee 1
Paul-Gerhard-Jacob-Platz 9/1
Paul-Gerhard-Siering-Ring 8
Paula-Scholl-Allee 32/52
Paulo-Förster-Allee 613
Pawel-Hölzenbecher-Allee 4/3
Pawel-Rädel-Ring 55
Pechelgasse 44/96
Pechelplatz 0
Pechelplatz 13-17
Pechelstraße 4/4
Pergandegasse 44-67
Pergandegasse 5303
Pergandestr. 9/6
Pergandeweg 6/2
Peter-Bohnbach-Gasse 6514
Petros-Gude-Gasse 2238
Peukertallee 1/4
Peukertallee 28/14
Philippe-Gerlach-Ring 4/2
Philippe-Ruppersberger-Allee 8/7
Philomena-Eberth-Ring 7/5
Pia-Ackermann-Straße 2/8
Pieperring 95/72
Pierre-Paffrath-Weg 6/2
Pietro-Heinz-Ring 3035
Piotr-Bohlander-Ring 446
Piotr-Putz-Allee 8
Pirmin-Hartung-Weg 66/91
Pohlplatz 810
Pohlring 17-97
Polina-Beier-Allee 1/3
Preißgasse 97
Preißplatz 1285
Preißring 30/44
Preißring 87/87
Pruschkeplatz 86/89
Pruschkestr. 7453
Pruschkeweg 2586
Putzallee 9555
Putzgasse 66/27
Putzweg 2/3
Putzweg 26/15
Putzweg 583
Pärtzeltplatz 5
Pölitzallee 45-86
Pölitzgasse 18
Pölitzplatz 2
Pölitzplatz 2-2
Pölitzstraße 757
Rabea-Säuberlich-Platz 253
Radischgasse 92-73
Radischplatz 61
Radischweg 1/8
Raisa-Lübs-Gasse 4383
Ralf-Dieter-Werner-Weg 44
Ralf-Flantz-Allee 8-1
Ralf-Mielcarek-Straße 7
Ramona-Schönland-Platz 7/9
Rebecca-Klemm-Straße 8/1
Rebecca-Trubin-Weg 57
Reginald-Rudolph-Gasse 7-9
Reichmannstr. 8285
Reimar-Hoffmann-Platz 8
Reimund-Ruppert-Ring 86-88
Reimund-Thies-Platz 42
Reinald-Butte-Platz 41-65
Reinald-Preiß-Straße 6335
Reinhardtallee 9/9
Reinhardtstraße 648
Reinhart-Paffrath-Weg 1960
Reinhild-Hartmann-Allee 4979
Rena-Oderwald-Straße 81-45
Renata-Haase-Platz 4
Rennergasse 5488
Rennerstr. 9-9
René-Sager-Allee 843
Reuterallee 4
Reuterplatz 9193
Ria-Fröhlich-Platz 54/96
Riehlstr. 487
Ringgasse 30
Ringring 35
Ringstraße 22-53
Ringstraße 7-4
Ritterplatz 3019
Ritterplatz 5/7
Ritterplatz 92
Ritterring 3113
Robby-Kobelt-Ring 25
Robert-Sager-Allee 5
Roderich-Caspar-Allee 87
Roger-Rohleder-Allee 34/45
Roggeallee 90/61
Rognerring 65/37
Rognerstr. 83-71
Rohlederplatz 54-46
Rohlederweg 5/5
Rohtgasse 202
Rolf-Franke-Platz 3698
Rolf-Peter-Hecker-Platz 45-74
Romana-Hiller-Straße 76
Romana-Schönland-Allee 6368
Romana-Thanel-Gasse 136
Romuald-Bender-Platz 4-2
Romuald-Gieß-Allee 13-58
Ron-Trommler-Allee 3-6
Rosa-Maria-Rosenow-Ring 5061
Rosalinde-Schüler-Ring 4/7
Rose-Bähr-Platz 7-1
Rosemannplatz 3
Rosemannplatz 8
Rosemannring 50
Rosemannstraße 35-43
Rosenowgasse 8
Rosenowring 3-5
Rosenowweg 80/16
Roseplatz 13
Rosita-Hecker-Allee 1/4
Roskothring 220
Roskothring 28/92
Roskothstr. 6743
Roskothweg 60-96
Rosmarie-Holzapfel-Ring 1-2
Rosmarie-Naser-Straße 8-2
Roswita-Ditschlerin-Straße 0
Roswitha-Jopich-Ring 53/98
Rotraud-Weinhold-Gasse 9
Rotraud-Werner-Straße 1155
Roy-Junk-Gasse 517
Ruben-Meister-Gasse 8/7
Rudi-Gorlitz-Platz 60/57
Rudolphgasse 56/89
Rudolphring 5-1
Rudolphring 8/5
Ruppersbergerallee 784
Ruppertstr. 600
Rustplatz 7
Rustring 4
Ruststr. 6783
Rädelallee 2380
Rädelgasse 2203
Rädelgasse 8/8
Rädelplatz 1/6
Röhrdanzallee 91/85
Röhrdanzplatz 96
Röhrdanzring 8/8
Röhrdanzstr. 2/3
Röhrdanzstr. 9-3
Rörrichtgasse 8739
Rörrichtweg 577
Rüdiger-Hartung-Allee 114
Saban-Löffler-Weg 9/8
Sabina-Pergande-Ring 2
Sagerring 694
Sagerstraße 6018
Salih-Kobelt-Gasse 9-3
Salzring 1-4
Salzstraße 1-6
Salzstraße 282
Sami-Schomber-Straße 7
Samir-Briemer-Straße 32/24
Samira-Fröhlich-Ring 85
Samira-Weinhage-Ring 3496
Sandy-Barth-Weg 39-89
Sandy-Riehl-Platz 5/5
Sarah-Hethur-Weg 5
Sarah-Ullrich-Gasse 4/2
Saskia-Klemt-Gasse 39/16
Sauerallee 3
Sauerplatz 6-3
Sauerring 9532
Sauerstraße 63-47
Schaafallee 508
Schaafring 3109
Schaafweg 8/6
Schachtplatz 16
Schachtplatz 659
Schachtring 72
Scheibestraße 34-12
Schenkstraße 60
Scheuermannallee 45-27
Scheuermanngasse 8527
Schinkeplatz 12
Schinkeplatz 81
Schinkering 5022
Schinkering 759
Schinkestr. 91/47
Schleichallee 17/32
Schleichallee 8/8
Schleichplatz 1924
Schleichstr. 6/5
Schleichstr. 63
Schleichstr. 8-6
Schleichstraße 2-5
Schleichstraße 60-61
Schleichweg 46
Schmidtallee 973
Schmidtkestr. 79/75
Schmidtkestr. 9/2
Schmidtkestraße 2/5
Schmidtplatz 35
Schmidtplatz 6-1
Schmidtplatz 95-62
Schmidtring 3
Schmidtring 94-15
Schmidtstr. 16/33
Schmiedtgasse 54/91
Schmiedtstraße 6164
Scholtzallee 864
Scholtzallee 934
Scholtzring 92-48
Scholzplatz 857
Scholzring 62/37
Scholzstr. 460
Schombergasse 9236
Schomberstr. 5
Schomberweg 80/46
Schottinstr. 77-46
Schottinweg 15-61
Schuchhardtstr. 4/8
Schuchhardtstraße 62
Schustergasse 2195
Schusterstr. 3-9
Schusterstraße 2-8
Schusterstraße 21-71
Schusterweg 3
Schweitzerallee 27
Schweitzerstr. 5303
Schweitzerweg 6-5
Schwitalgasse 96/77
Schwitalstr. 0
Schäfergasse 27-40
Schäferplatz 57
Schäferring 5-6
Schäferring 66-68
Schäferstr. 42-52
Schönlandallee 8-1
Schönlandplatz 5
Schönlandweg 6399
Schönlandweg 979
Schülerstraße 8-6
Segebahngasse 7-5
Segebahnstr. 20-82
Seidelallee 2-7
Seidelallee 48
Seidelring 3861
Seidelring 44-77
Seidelstr. 2-4
Seidelstraße 51/94
Seifertplatz 3438
Seifertplatz 4/3
Seifertplatz 63
Seifertring 3310
Seifertstraße 46-55
Seifertweg 51-57
Seipallee 7
Selma-Losekann-Platz 4/6
Sepp-Röhricht-Straße 7797
Sergei-Lübs-Ring 85-85
Sergio-Hölzenbecher-Weg 7
Serpil-Speer-Weg 84/97
Sibel-Klotz-Allee 85
Sibel-Scholl-Gasse 3-4
Sibilla-Kambs-Platz 72/55
Sibille-Lindner-Platz 79/12
Sibylle-Caspar-Weg 2/8
Sieghard-Hartung-Ring 8/6
Siegrid-Schulz-Allee 75-34
Siegried-Hecker-Platz 38-99
Siegried-Nohlmans-Allee 699
Siegrun-Rogge-Ring 3
Sieringallee 15-22
Sieringring 8/1
Sieringstr. 49/33
Sigfried-Süßebier-Weg 2-7
Sigismund-Haering-Gasse 56
Sigmund-Liebelt-Ring 5260
Sigmund-Schenk-Platz 82/86
Sigrun-Weimer-Allee 5003
Sigurd-Benthin-Ring 75/94
Silja-Bärer-Platz 30-52
Silvana-Dussen van-Gasse 292
Silvester-Eigenwillig-Platz 9
Silvester-Fechner-Ring 1-4
Sinaida-Neureuther-Weg 454
Slawomir-Loos-Straße 5-9
Solveig-Roht-Gasse 9-8
Songül-Heintze-Ring 5/1
Songül-Müller-Platz 29-36
Sonia-Kabus-Ring 9-3
Sonia-Liebelt-Ring 7/1
Sontagstr. 69/57
Sontagweg 39
Sophia-Zänker-Platz 215
Sorgatzstr. 17/70
Sorgatzstr. 3-6
Speerweg 12-82
Spießallee 97-66
Spießplatz 6
Spießplatz 754
Spießstr. 162
Spießstraße 451
Spießstraße 5/6
Stadelmannring 196
Stahrstr. 31/68
Stahrstraße 1
Stahrstraße 33/44
Staudeplatz 16
Staudering 15-50
Staudestr. 0
Stavros-Mohaupt-Gasse 13/41
Stefan-Pohl-Ring 8/5
Stefani-Aumann-Weg 8127
Stefanie-Klingelhöfer-Straße 9887
Stefano-Hiller-Gasse 8/6
Steffi-Mentzel-Weg 291
Steinbergweg 5435
Steinbergweg 91
Stephen-Loos-Weg 8
Stephen-Plath-Allee 1175
Steuergasse 99
Steuerplatz 39
Steuerstraße 822
Steuerweg 1
Steuerweg 329
Steyallee 675
Steygasse 8311
Steygasse 9-1
Steystraße 89-68
Stiebitzplatz 9-4
Stiebitzstraße 4/5
Stiffelgasse 94/50
Stiffelstraße 13-15
Stilla-Lange-Gasse 8
Stollallee 354
Stollallee 9-2
Stolzering 10
Striebitzgasse 49-21
Striebitzplatz 6685
Striebitzring 946
Striebitzweg 6/4
Striebitzweg 90-51
Stumpfweg 52/51
Susana-Kabus-Allee 2920
Susanne-Schottin-Weg 2
Suse-Bloch-Platz 7/2
Suzanne-Hellwig-Ring 5
Swen-Jessel-Straße 4430
Sylvana-Kambs-Straße 61-66
Sylvana-auch Schlauchin-Weg 13-76
Sylvie-Blümel-Platz 10/61
Säuberlichplatz 38/35
Säuberlichring 70-43
Säuberlichstr. 62/29
Säuberlichstraße 3-5
Södingallee 134
Södingring 97-16
Sölzergasse 997
Süßebierallee 6748
Süßebiergasse 9/2
Süßebierring 2359
Tabea-Hermighausen-Ring 48/29
Tania-Bauer-Allee 7/8
Tatiana-Säuberlich-Ring 7367
Tatjana-Seidel-Ring 56/95
Teresa-Schäfer-Ring 2
Thea-Gierschner-Allee 2
Theodor-Seifert-Gasse 17
Theres-Kabus-Weg 6-9
Thies-Röhrdanz-Straße 21/14
Thiesring 5-4
Thiesstraße 77
Thilo-Hoffmann-Ring 3/2
Thomas-Jacob-Straße 431
Thorben-Zorbach-Weg 3/7
Thorsten-Reuter-Platz 70
Till-Heinrich-Gasse 908
Till-Steckel-Platz 48
Tilly-Conradi-Straße 94/18
Tilman-Riehl-Platz 56-69
Tilmann-Löwer-Weg 326
Tilmann-Weinhage-Platz 7-2
Tilo-Anders-Weg 36
Timo-Döhn-Gasse 759
Tina-Biggen-Straße 941
Tina-Rörricht-Straße 1/5
Tino-Finke-Ring 2732
Tlustekplatz 2/4
Tlustekplatz 908
Tlustekweg 97-75
Tomasz-Heinz-Ring 59-67
Toni-Weimer-Platz 7596
Tony-Barkholz-Gasse 4391
Toralf-Jäntsch-Platz 62/46
Torsten-Franke-Allee 4/4
Torsten-Mühle-Straße 94-39
Trappring 95-60
Trappstr. 47
Traude-Striebitz-Straße 12
Traudl-Beier-Allee 69-34
Traudl-Radisch-Platz 369
Traugott-Hiller-Ring 63-77
Traugott-Pieper-Weg 7-8
Trommlergasse 8
Trommlerweg 23
Trubinstr. 91
Trubweg 41
Trude-Hermann-Gasse 2-3
Trudel-Hölzenbecher-Weg 64/20
Truppallee 34
Truppring 51-57
Truppstraße 509
Truppweg 4
Tröstallee 89/81
Tröstgasse 6-2
Tröstplatz 26
Tröststraße 4-8
Tröstweg 8-9
Trübstr. 74/20
Trübweg 7115
Tschentscherplatz 4
Tschentscherring 66/66
Tschentscherstraße 3/9
Tschentscherweg 32-16
Täscheallee 147
Täscheallee 22-97
Täscheallee 74/68
Ulf-Eigenwillig-Weg 1/6
Uli-Misicher-Straße 26-66
Ulla-Ehlert-Ring 0
Ulla-Gumprich-Gasse 9-2
Ullmanngasse 15-20
Ullrichplatz 1558
Ullrichplatz 8093
Ullrichstr. 606
Ulrike-Trupp-Weg 85/10
Urban-Haase-Platz 7/2
Ursel-Ziegert-Ring 6290
Ursula-Hörle-Gasse 73
Urszula-Lindner-Platz 85-33
Uta-Hettner-Straße 59
Ute-Anders-Allee 4/8
Vanessa-Klingelhöfer-Straße 1
Veronica-Fechner-Straße 2/9
Veronika-Fliegner-Ring 96/61
Veronique-Ackermann-Allee 5/2
Veronique-Adolph-Allee 7
Veronique-Graf-Ring 60-93
Veronique-Gunpf-Straße 4008
Viktor-Stiffel-Straße 98/59
Vitali-Schottin-Weg 28
Vittorio-Thanel-Weg 15
Vitus-Hecker-Gasse 1
Viviane-Bohlander-Allee 6425
Viviane-Hölzenbecher-Platz 32/40
Viviane-Köster-Straße 9-7
Viviane-Mies-Straße 2-8
Vladimir-Zimmer-Straße 85/63
Vlado-Herrmann-Allee 8/4
Vogtplatz 66-21
Vogtstraße 8
Volkmar-Trupp-Gasse 6
Vollbrechtallee 70-18
Vollbrechtstr. 45
Vollbrechtweg 4
Vollbrechtweg 4666
Vollbrechtweg 78
Vollbrechtweg 9/7
Wagnergasse 5
Wagnerstr. 45/12
Wagnerstraße 53
Walburga-Beckmann-Weg 5-2
Walburga-Scheuermann-Platz 6/3
Walentina-Noack-Ring 7
Walfried-Gumprich-Gasse 8-2
Walfried-Reising-Ring 881
Walterallee 8/7
Walterstr. 1925
Walther-Ladeck-Ring 56
Waltraud-Oderwald-Gasse 192
Waltraud-Wohlgemut-Weg 566
Wanda-Lehmann-Ring 89
Warmergasse 50
Warmergasse 6903
Warmergasse 7-4
Weihmannallee 1/3
Weihmannallee 762
Weihmannweg 92
Weimergasse 6
Weimerring 6-8
Weimerstr. 0
Weimerstr. 6
Weimerstraße 29/61
Weinhagering 60/90
Weinhagering 84/38
Weinholdring 1-5
Weinholdstraße 0
Weitzelgasse 60
Weitzelstr. 11
Weißweg 4/9
Wellerplatz 9686
Wellerring 61
Wellerstr. 3/2
Wellerstr. 7-5
Wellerstraße 698
Wendeallee 5968
Wendegasse 7
Wenzel-Lindau-Gasse 292
Werneckegasse 5-7
Werneckeweg 72
Wernerallee 77
Wernergasse 4-4
Wesackallee 5
Wesackring 16
Wesackstraße 5-5
Wibke-Heinz-Platz 96-71
Wibke-Mälzer-Gasse 7
Wiebke-Johann-Platz 2-3
Wiekgasse 37
Wiekgasse 6
Wiekstraße 5092
Wiekweg 17
Wiekweg 6/7
Wielochstr. 9/7
Wielochstr. 907
Wieslaw-Noack-Weg 912
Wilfried-Drewes-Ring 9-6
Wilfried-Zänker-Weg 68
William-Kambs-Ring 8
Willibert-Barth-Platz 3798
Willy-Henck-Platz 5-8
Wilmsallee 6-8
Wilmsenallee 53
Wilmsenweg 8
Wilmsgasse 898
Wilmsplatz 6
Wilmsstraße 34
Wilmsweg 81
Winfried-Kroker-Weg 6-4
Winklerplatz 215
Winklerring 570
Winklerweg 92-48
Wirthgasse 6/2
Wirthstr. 698
Witold-Säuberlich-Straße 8-6
Wohlgemutring 8-3
Wohlgemutring 9
