Achille Leopardi-Zanichelli
Massimiliano Tonisto-Bettin
Matilda Boezio
Matilda Caboto
Matilda Druso-Cardano
Matilda Pozzecco
Matilda Ravaglioli
Matilda Varano
Matteo Bersani-Samele
Matteo Gagliardi-Zito
Matteo Petrucelli
Mattia Broggini
Mattia Cocci
Mattia Nolcini
Maura Gramsci
Maura Guarana
Maura Mercantini
Maura Necci
Maura Troisi
Maura Tuzzolino
Maurilio Rensi-Orlando
Maurilio Verdone
Maurizio Monte
Maurizio Paoletti
Mauro Maffei
Mauro Mercati-Colletti
Mauro Natta
Mauro Pennetta
Mauro Ramazzotti
Melania Gioberti-Barillaro
Melania Taliani
Melina Berlusconi
Melina Borzomì
Melina Cesarotti
Melina Gotti-Pellegrini
Melina Infantino
Melina Luria
Melina Scalera
Melissa Faugno-Collina
Melissa Maderna
Mercedes Catenazzi
Mercedes Cossiga-Nicolini
Mercedes Ricolfi
Mercedes Vanvitelli-Fracci
Michela Depero
Michela Saffi
Michela Tornatore-Guarana
Michelangelo Baggio
Michelangelo Ioppi
Michelangelo Parmitano
Michelangelo Tozzo
Michelangelo Tron
Michele Foscari
Michele Majewski-Mortati
Michele Nicolini-Interminei
Michele Santorio
Michele Trobbiani
Micheletto Montecchi
Micheletto Napolitano
Micheletto Santorio
Micheletto Turchi
Micheletto Versace
Micheletto Zabarella
Michelotto Bertoli-Salvo
Michelotto Cianciolo
Milena Chinnici-Giusti
Milena Giannelli
Milo Tamburello
Mirco Callegari
Mirco Carnera
Mirco Cignaroli-Malaparte
Mirco Franscini
Mirco Moccia-Armellini
Monica Armani
Monica Bertolucci-Telesio
Monica Bonaventura
Monica Bova
Monica Gualandi
Monica Magrassi
Monica Roncalli-Lombardi
Monica Santi
Monica Toscani
Morena Alfieri
Morena Chittolini
Morena Maccanelli-Folliero
Morena Monduzzi
Morena Padovano
Morena Tacchini
Nadia Bulzoni
Nadia Cuda
Nadia Ficino
Nadia Gonzaga
Nadia Pizzamano-Cardano
Nadia Saraceno
Nadia Vespucci-Morellato
Nanni Ritacca
Nanni Rusticucci
Napoleone Duodo
Napoleone Sauli
Natalia Antelami
Natalia Cavanna
Natalia Jacuzzi
Natalia Ricolfi
Natalia Salvini
Nedda Collina
Nedda Leopardi
Nedda Odescalchi
Nedda Vigliotti
Niccolò Barbarigo
Niccolò Borsellino
Niccolò Gremese
Niccolò Oliboni
Niccolò Pertile
Niccolò Prodi-Inzaghi
Niccolò Scalfaro
Nico Donatoni
Nico Grassi
Nico Niggli
Nico Traversa
Nicola Cadorna
Nicola Palazzo
Nicola Pellegrini
Nicola Stucchi
Nicoletta Bramante
Nicoletta Rubbia
Nicoletta Sobrero-Comolli
Nicolò Agazzi
Nicolò Sraffa
Nicolò Toselli
Nina Malpighi
Nina Martinelli
Nina Turchi
Ninetta Asmundo-Bragaglia
Ninetta Asprucci
Ninetta Franscini
Ninetta Guarneri
Ninetta Pinamonte
Ninetta Zacchia
Ninetta Ziani-Zamengo
Nino Cagnotto
Nino Fischetti
Nino Navone
Nino Vattimo
Olga Aporti
Olga Argento
Olga Bragaglia
Olga Cimini
Olga Cociarelli
Olga Fittipaldi
Olga Gentilini
Orazio Celentano
Orazio Druso
Orazio Raurica
Orazio Vercelloni
Oreste Gaito
Oreste Mocenigo
Oreste Scotti-Fracci
Orlando Babato
Orlando Gotti-Cavanna
Ornella Guariento
Ornella Marinetti
Ornella Pacillo
Ornella Perini
Osvaldo Gentili
Osvaldo Naccari-Bettoni
Ottavio Basadonna
Ottone Briccialdi
Paloma Porzio-Finetti
Paloma Sansoni
Panfilo Borromini
Panfilo Garzoni-Bodoni
Panfilo Greggio
Paola Fibonacci
Paola Leone
Paoletta Bellini-Montalti
Paoletta Giulietti
Paoletta Montesano
Paoletta Pizziol
Paolo Carocci
Paolo Cimini
Paolo Jovinelli
Paolo Littizzetto
Paride Cagnotto
Paride Govoni
Paride Moschino
Paride Puccini
Paride Sinisi
Paride Zoppetto
Pasqual Bocca
Pasqual Iacobucci
Pasquale Marenzio
Patrizia Burcardo-Mazzeo
Patrizia Casellati-Doglioni
Patrizia Montalcini
Patrizia Monteverdi
Patrizia Tornatore
Patrizio Galuppi
Paulina Collodi-Pacetti
Paulina Medici-Bottigliero
Paulina Pace
Pellegrino Nicoletti
Pellegrino Trapanese
Pellegrino Tutino-Mazzanti
Pellegrino Zabarella
Pier Filippini
Pier Mennea
Pierangelo Boiardo
Pierangelo Guarneri
Pierangelo Papafava
Pierangelo Ruffini
Piergiorgio Abbagnale
Piergiorgio Ammaniti
Piergiorgio Monteverdi-Zoppetti
Piergiuseppe Dossi
Piergiuseppe Jilani
Piergiuseppe Pizzamano
Piergiuseppe Tebaldi
Pierluigi Brenna
Pierluigi Marini
Pierluigi Sgalambro
Piermaria Guarana
Piermaria Pinamonte
Piero Bellini
Piero Fagotto
Piero Niscoromni-Bongiorno
Piero Sgarbi
Piero Ubaldi
Pierpaolo Brugnaro
Pierpaolo Morellato
Pierpaolo Tosto
Piersanti Battelli
Piersanti Saraceno
Piersanti Sommaruga
Piersanti Toscanini-Gabbana
Pietro Tartini
Pina Belletini
Pina Navarria
Pina Vespa
Pompeo Battisti
Pompeo Manacorda
Pomponio Boccherini
Pomponio Cappelli-Pareto
Pomponio Gianetti
Pomponio Sinisi
Priscilla Casarin
Priscilla Mezzetta
Priscilla Scarponi
Puccio Ferrari
Puccio Gualtieri-Magrassi
Puccio Ruberto-Mozart
Raffaella Costanzi
Raffaella Dalla
Raffaella Mannoia-Lollobrigida
Raffaella Proietti
Raffaella Scaramucci
Raffaella Zanichelli
Raffaellino Monicelli-Andreozzi
Raffaellino Silvestri
Raffaello Agostinelli-Mazzeo
Raffaello Roncalli-Marconi
Raffaello Solari-Persico
Raimondo Stucchi
Raimondo Toselli
Ramona Bianchi-Dibiasi
Ramona Cianciolo
Ramona Volterra
Ranieri Marini
Renata Casadei
Renata Curiel
Renata Fermi
Renata Salgari
Renzo Benigni
Renzo Fischetti
Riccardo Marino-Pedroni
Riccardo Tron
Ricciotti Cainero-Bonanno
Ricciotti Merisi
Ricciotti Taccola
Rita Capuana-Fuseli
Rita Maderno
Rita Procacci
Rita Segrè
Roberta Aldobrandi
Roberta Anguissola-Stefanelli
Roberta Bernetti
Roberta Greco
Roberta Mazzeo
Roberta Muratori
Roberto Nadi
Rocco Brancaccio-Paoletti
Rocco Roccabonella
Rodolfo Castioni
Rodolfo Pisacane
Rolando Barillaro
Rolando Cilibrasi
Rolando Giusti-Maffei
Rolando Jacuzzi
Rolando Satta
Roman Brichese
Roman Callegaro-Sagredo
Roman Leone
Romana Bosurgi-Forza
Romana Fiorucci-Finzi
Romana Moresi
Romana Parri-Infantino
Romeo Fattori
Romeo Mortati-Verga
Romolo Bettoni
Ronaldo Columbo
Ronaldo Cremonesi-Sismondi
Ronaldo Juvara
Ronaldo Zaccagnini
Rosa Brancaccio
Rosa Raimondi
Rosa Tafuri
Rosalia Brunelleschi
Rosalia Moresi
Rosaria Armani
Rosaria Badoer
Rosaria Buonauro
Rosaria Dovara
Rosaria Garibaldi
Rosaria Pacomio-Odescalchi
Rosaria Sagese
Rosaria Tomaselli-Bonolis
Rosaria Tomei-Trotta
Rosario Bandello
Rosario Montanariello
Rosario Orengo
Rosario Sabbatini
Rosina Antonini
Rosina Bramante
Rosina Burcardo
Rosina Faggiani
Rosina Interminei-Mocenigo
Rosina Polizzi
Rossana Bianchini
Rossana Cerquiglini-Marenzio
Rossana Costanzi
Rossana Foscari
Rossana Paolucci
Ruggero Eco-Boccaccio
Ruggero Pizzamano
Ruggero Samele
Ruggiero Boccaccio
Ruggiero Pirelli-Angeli
Sabatino Fuseli
Sabatino Pometta
Salvatore Armani
Salvatore Battaglia
Salvatore Catenazzi
Salvatore Ferrabosco
Salvatore Orengo
Salvatore Salgari
Salvi Aldobrandi
Salvi Cimarosa
Salvi Collodi-Baglioni
Salvi Marenzio-Notarbartolo
Salvi Procacci
Salvi Sraffa
Salvi Tomasini
Salvi Tomei-Ariosto
Salvi Treves
Sandra Barcaccia
Sandra Interiano
Sandra Sgalambro-Pisani
Sandra Zaguri-Gonzaga
Sandro Berengario
Sandro Giannone
Sandro Rastelli
Sante Bonolis-Catalano
Sante Collina-Corcos
Sante Pastine
Sante Satriani-Castiglione
Sante Visconti
Santino Busoni
Santino Columbo
Santino Pagnotto
Santino Soranzo
Saverio Babato-Vezzali
Saverio Babbo
Sebastiano Montalcini
Sebastiano Palladio
Sebastiano Salvemini
Sebastiano Scaduto
Serafina Ariasso
Serafina Querini
Serafina Udinese-Santorio
Serena Rizzo
Sergius Donà
Sergius Galiazzo
Sergius Lollobrigida-Endrizzi
Severino Castelli-Beccheria
Severino Cuda-Cagnin
Severino Traetta
Sig. Adelmo Santi
Sig. Alessandro Borsiere
Sig. Alessandro Tartini
Sig. Alessandro Tommaseo
Sig. Amedeo Tartaglia
Sig. Amleto Broggini
Sig. Amleto Cianciolo
Sig. Annibale Schiavo
Sig. Antonello Ubaldi
Sig. Antonio Maggioli
Sig. Arnulfo Petralli
Sig. Arnulfo Tuzzolino
Sig. Baldassare Rocca
Sig. Bernardo Agostini
Sig. Biagio Antonini
Sig. Bruno Bresciani
Sig. Cesare Persico
Sig. Cipriano Iadanza
Sig. Costanzo Paltrinieri
Sig. Costanzo Taliani
Sig. Danilo Siffredi
Sig. Dino Venturi
Sig. Donatello Salgari
Sig. Edoardo Gulotta
Sig. Elladio Falier
Sig. Elladio Tomei
Sig. Eraldo Novaro
Sig. Ermes Mazzi
Sig. Ettore Bruno
Sig. Fabio Gotti
Sig. Federigo Tomasini
Sig. Flavio Galeati
Sig. Gaetano Casale
Sig. Gaetano Garobbio
Sig. Giacinto Giammusso
Sig. Giacinto Tassoni
Sig. Giacomo Calgari
Sig. Giampaolo Florio
Sig. Gianfrancesco Magrassi
Sig. Gianmarco Gradenigo
Sig. Gianpietro Zito
Sig. Gilberto Fo
Sig. Gino Bajardi
Sig. Gioffre Gioberti
Sig. Giovanni Mascheroni
Sig. Giovanni Piovani
Sig. Giuliano Casellati
Sig. Giuliano Cilibrasi
Sig. Goffredo Garibaldi
Sig. Greco Martucci
Sig. Greco Platini
Sig. Hugo Visconti
Sig. Ippazio Ferrante
Sig. Ippazio Mazzanti
Sig. Ivan Togliatti
Sig. Laureano Tarantini
Sig. Leonardo Rosselli
Sig. Livio Scandone
Sig. Luigi Pisani
Sig. Marco Galuppi
Sig. Massimo Binaghi
Sig. Nicolò Barcaccia
Sig. Nicolò Caetani
Sig. Oreste Mannoia
Sig. Orlando Bernetti
Sig. Orlando Ravaglioli
Sig. Paolo Semitecolo
Sig. Pasquale Fagiani
Sig. Piersanti Rastelli
Sig. Puccio Cesaroni
Sig. Raffaele Zaccagnini
Sig. Renzo Micheletti
Sig. Riccardo Schiavo
Sig. Ricciotti Togliatti
Sig. Roman Boiardo
Sig. Roman Camuccini
Sig. Ronaldo Zito
Sig. Ruggero Nosiglia
Sig. Sabatino Sagredo
Sig. Salvi Falloppio
Sig. Sante Lombroso
Sig. Severino Ceci
Sig. Silvio Ruggeri
Sig. Simone Bajamonti
Sig. Simone Cammarata
Sig. Telemaco Cherubini
Sig. Toni Donatoni
Sig. Torquato Bixio
Sig. Virgilio Pedrazzini
Sig.ra Adelasia Fantozzi
Sig.ra Adele Puccini
Sig.ra Adriana Fiorucci
Sig.ra Adriana Salvo
Sig.ra Amalia Endrizzi
Sig.ra Amalia Tarantino
Sig.ra Annalisa Galuppi
Sig.ra Annalisa Golino
Sig.ra Annetta Castelli
Sig.ra Annetta Mondaini
Sig.ra Aria Ferragamo
Sig.ra Beatrice Campano
Sig.ra Bettina Frescobaldi
Sig.ra Bettina Speri
Sig.ra Bianca Bettoni
Sig.ra Bianca Impastato
Sig.ra Carla Loredan
Sig.ra Cecilia Bernardi
Sig.ra Chiara Taliani
Sig.ra Clelia Bergoglio
Sig.ra Clelia Rosselli
Sig.ra Concetta Petrassi
Sig.ra Diana Comeriato
Sig.ra Elvira Udinesi
Sig.ra Emma Cainero
Sig.ra Etta Chigi
Sig.ra Etta Cimini
Sig.ra Eugenia Aloisio
Sig.ra Eugenia Travia
Sig.ra Evangelista Turci
Sig.ra Fernanda Tamburello
Sig.ra Gelsomina Marconi
Sig.ra Gemma Moccia
Sig.ra Gianna Anguillara
Sig.ra Giovanna Cociarelli
Sig.ra Giulietta Piane
Sig.ra Giuseppina Schicchi
Sig.ra Gloria Bertoni
Sig.ra Gloria Bixio
Sig.ra Graziella Priuli
Sig.ra Greca Cusano
Sig.ra Griselda Argenti
Sig.ra Irma Mastroianni
Sig.ra Jolanda Pistoletto
Sig.ra Jolanda Verdi
Sig.ra Lara Filippini
Sig.ra Laura Terragni
Sig.ra Lauretta Gaggini
Sig.ra Lilla Lombroso
Sig.ra Lisa Renzi
Sig.ra Livia Moccia
Sig.ra Lolita Grasso
Sig.ra Lolita Rossini
Sig.ra Loredana Trapanese
Sig.ra Loretta Scarpa
Sig.ra Lucia Gabbana
Sig.ra Luigina Accardo
Sig.ra Luisa Cardano
Sig.ra Margherita Garibaldi
Sig.ra Margherita Jilani
Sig.ra Matilda Costalonga
Sig.ra Melina Stefanelli
Sig.ra Mercedes Staglieno
Sig.ra Nedda Giulietti
Sig.ra Nicoletta Trotta
Sig.ra Ninetta Fibonacci
Sig.ra Olga Ficino
Sig.ra Olga Mengolo
Sig.ra Olga Pastine
Sig.ra Olga Pontecorvo
Sig.ra Paoletta Prada
Sig.ra Pierina Bataglia
Sig.ra Ramona Gagliano
Sig.ra Rita Ferragamo
Sig.ra Romana Franscini
Sig.ra Rosa Boccherini
Sig.ra Rosina Belletini
Sig.ra Rossana Zampa
Sig.ra Sandra Cusano
Sig.ra Serafina Draghi
Sig.ra Sophia Trupiano
Sig.ra Stefania Giulietti
Sig.ra Teresa Bonaventura
Sig.ra Tina Broggini
Sig.ra Tina Gozzano
Sig.ra Tina Ostinelli
Sig.ra Valentina Farina
Sig.ra Valeria Polizzi
Sig.ra Valeria Zanzi
Sig.ra Vanessa Bartoli
Sig.ra Vanessa Bottigliero
Sig.ra Victoria Moresi
Sig.ra Vincenza Guarneri
Sig.ra Virginia Grimani
Sig.ra Zaira Bataglia
Silvestro Cutrufo-Cheda
Silvestro Federico-Forza
Silvestro Solimena
Silvestro Tarantino-Priuli
Silvia Canetta
Silvia Casaleggio
Silvia Gentileschi
Silvia Iacovelli
Silvia Mascheroni
Silvia Pozzecco-Montalti
Silvia Praga
Silvia Puglisi
Silvio Fibonacci
Silvio Miniati
Silvio Pausini
Simone Coardi
Simone Impastato-Condoleo
Simone Pucci
Simonetta Casadei
Simonetta Vespucci
Sole Combi
Sole Paruta
Sole Piovani
Sole Trevisani
Sonia Chittolini
Sonia Rosiello
Sophia Bandello
Sophia Bernini
Sophia Chinnici
Sophia Rizzo
Sophia Trentini
Sophia Vivaldi
Stefani Bombieri
Stefani Flaiano
Stefani Majewski
Stefani Montalti
Stefani Sinisi
Stefania Marrone
Stefano Albertini-Giammusso
Stefano Beffa
Stefano Cavanna
Stefano Contarini
Stefano Gravina
Stefano Morgagni
Stefano Pausini
Stella Casagrande
Stella Tamburini
Stella Venturi
Susanna Bompiani
Susanna Monaco
Susanna Romagnoli
Susanna Seddio
Sylvia Angiolello-Quasimodo
Sylvia Cusano
Sylvia Galiazzo
Sylvia Luciani-Spadafora
Tatiana Bellocchio
Tatiana Emanuelli
Tatiana Sforza
Telemaco Basadonna
Telemaco Burcardo
Telemaco Camiscione-Volterra
Telemaco Cammarata
Telemaco Stefanelli
Telemaco Ughi
Temistocle Desio-Monaco
Temistocle Galiazzo
Temistocle Leonardi
Temistocle Sabbatini
Temistocle Tommaseo
Teresa Falcone
Teresa Peano
Teresa Spanevello-Rizzo
Tina Basadonna
Tina Borzomì
Tiziana Balbi
Tiziana Bellò
Tiziana Borsellino
Tiziana Caccianemico
Tiziana Correr-Ferrante
Tiziana Fabrizi
Tiziana Morandi
Tiziana Samele-Ubaldi
Tiziano Catenazzi
Toni Argento-Missoni
Toni Giovine
Toni Goldstein
Toni Letta
Toni Riccardi
Toni Villarosa-Foconi
Tonia Luna
Tonino Pascarella
Torquato Balbo
Torquato Nosiglia
Tullio Balbo
Tullio Mazzacurati
Tullio Strangio
Ubaldo Armani
Ubaldo Pisano
Uberto Falier
Ugo Bragadin
Ugo Catalano
Ugo Mondadori
Ugo Natta
Ugolino Baracca
Ugolino Fogazzaro
Ugolino Ludovisi
Ugolino Mercati
Ugolino Piccinni
Ugolino Ughi-Fermi
Umberto Meucci
Valentina Casarin
Valentina Fantoni
Valentina Passalacqua
Valentina Pedersoli
Valentina Taccola
Valentina Trombetta
Valentina Valguarnera
Valeria Giradello
Valeria Lettiere
Valeria Rizzoli-Maccanelli
Valeria Sordi-Montessori
Valeria Zanichelli
Valerio Cafarchia
Valerio Finotto
Valerio Fischetti-Chechi
Valerio Giovine-Battaglia
Vanessa Baracca
Vanessa Benedetti
Vanessa Canova
Vanessa Ligorio
Vanessa Longhena-Pavarotti
Vanessa Lucciano
Vanessa Lupo
Vanessa Pucci-Fantozzi
Vanessa Rosmini
Vanessa Visintini
Venancio Callegari
Venancio Piacentini
Veronica Alfieri
Veronica Blasi
Veronica Mercati-Chiaramonte
Veronica Metella-Cardano
Veronica Pedrazzini
Veronica Riccati-Papafava
Veronica Totino-Babato
Victoria Cusano
Victoria Interiano
Victoria Vidoni
Victoria Zamengo-Nonis
Vincentio Pisaroni
Vincentio Schicchi
Vincentio Sraffa
Vincentio Vercelloni
Vincenza Barberini-Rastelli
Vincenza Franzese
Vincenza Gadda
Vincenza Parmitano
Vincenza Villarosa-Gianinazzi
Virgilio Mengolo-Broggini
Virgilio Paruta-Monteverdi
Virginia Emanuelli-Scandone
Virginia Pizziol-Stradivari
Viridiana Anguillara
Viridiana Caironi
Viridiana Gianinazzi
Viridiana Iannuzzi
Viridiana Lercari-Bonolis
Viridiana Renzi
Viridiana Speri-Speri
Viridiana Tozzo
Viridiana Volta-Carosone
Vito Cavanna
Vito Gibilisco
Vito Torlonia
Vito Zampa
Vittoria Amaldi
Vittoria Badoglio
Vittoria Blasi-Trevisani
Vittoria Pisani
Vittoria Quasimodo
Vittoria Satta
Vittoria Scarlatti
Vittorio Falloppio
Vittorio Golgi
Vittorio Parri-Puglisi
Vittorio Rusticucci
Vittorio Satta
Zaira Abbagnale
Zaira Argentero
Zaira Inzaghi
Zaira Marcacci
Zaira Tosto
