Άλλης Μεριάς 736, 65600 Ιωάννινα
Καλαβρούζης 074, 73632 Καβάλα
Καλαθά 25, 093 35 Ξάνθη
Καλαμαύκας 41, 45173 Ζάκυνθος
Καλαμιά 819, 66557 Πρέβεζα
Καλαμπάκας 79-46, 36512 Κιλκίς
Καλαϊτζοπούλου 0, 07928 Λιβαδιά
Καλιπάδου 702-845, 856 39 Κοζάνη
Καλλίου 90, 15733 Άμφισσα
Καλλιανίου 284, 846 53 Φλώρινα
Καλλιθέας 80, ΤΚ 711 28 Κιλκίς
Καλλιόπης 46, ΤΚ 162 73 Αλεξανδρούπολη
Καλογιάννη 68, ΤΚ 591 50 Κατερίνη
Καλουδίου 4, 49039 Καρπενήσι
Καλοχωρίου-Παντειχίου 1, ΤΚ 34292 Γρεβενά
Καλού Νερού 07-78, 02533 Αργοστόλι
Καλών Δένδρων 61, 129 88 Αργοστόλι
Καμένης 62, 69777 Χίος
Καμένων Βούρλων 20-95, 314 98 Αλεξανδρούπολη
Καμήλας 7, 99774 Ξάνθη
Καμαρίου 688, 75889 Σπάρτη
Καμαριώτου 901, ΤΚ 825 21 Κοζάνη
Καμαρούλας 18, 26920 Καρδίτσα
Καμαρούλας 729, 43436 Καστοριά
Καμενιάνων 5, ΤΚ 954 48 Ηράκλειο
Καμινίων 018, 194 20 Μεσολόγγι
Καμισιανών 14, 90471 Ζάκυνθος
Καμπάνη 58, 51451 Τρίπολη
Καμπής 8, 00342 Καρδίτσα
Καμπανού 5, ΤΚ 355 41 Αγ. Νικόλαος
Καμπιών 6, 77744 Καστοριά
Κανακάδων 306-819, 33104 Ναύπλιο
Κανταρελή 771-327, ΤΚ 827 45 Καστοριά
Καπανδριτίου 7, 49059 Τρίπολη
Καπεσόβου 92-43, ΤΚ 875 91 Ρόδος
Καπουρνιώτη 05, 77973 Λευκάδα
Καππαδοκικού 36, 09406 Πολύγυρος
Καππαριάς 46, 12979 Καστοριά
Καράτουλα 664-160, 775 38 Καρπενήσι
Καράτουλα Μεγαπόλεως 79, ΤΚ 462 13 Ρέθυμνο
Καρέας 9, ΤΚ 58414 Άρτα
Καραγιοβάννη 248-528, ΤΚ 938 52 Καβάλα
Καραθανάση 61, ΤΚ 08087 Πολύγυρος
Καρακωνσταντινού 67, ΤΚ 51653 Κόρινθος
Καρανάνου 99, ΤΚ 563 95 Μυτιλήνη
Καρανασίου 382, 80110 Ερμούπολη
Καρατάσου 8, 540 68 Ρέθυμνο
Καραϊσκάκη 856, ΤΚ 29852 Πολύγυρος
Καρβέλη 07-15, 35042 Βόλος
Καρβασαρά 7, 77116 Αγ. Νικόλαος
Καρβελά 58, ΤΚ 26897 Σπάρτη
Καρδαμαίνης 99, 47972 Καρπενήσι
Καρδιανής 6, 32921 Κέρκυρα
Καρδιτσομαγούλας 247-896, 69717 Σπάρτη
Καριταίνης 6, ΤΚ 74861 Καρπενήσι
Καριωτίου 95, ΤΚ 624 63 Πύργος
Καρκαλέτση 32, ΤΚ 378 39 Κατερίνη
Καρκαλέτση 74, 76404 Ερμούπολη
Καρκανάκη 50, ΤΚ 519 24 Άμφισσα
Καρκιναγρίου 75, 05817 Σπάρτη
Καρνασίου 11, 953 85 Ζάκυνθος
Καρποφόρων 49-25, 55904 Αργοστόλι
Καρτερίου 80-53, 61779 Καλαμάτα
Καρτερολίου 21, 66346 Καρδίτσα
Καρυδά 207-700, 721 41 Ηγουμενίτσα
Καρυδά 8, 25639 Χαλκίδα
Καρυδίου 38-66, 955 17 Κέρκυρα
Καρυουπόλεως 26, ΤΚ 11147 Χίος
Κασμιρλή 129-796, 911 09 Ζάκυνθος
Κασμιρλή 5, 62831 Λιβαδιά
Κασμιρλή 92-69, 75075 Φλώρινα
Κασσανδρείας 69-49, 615 14 Καβάλα
Καστέλλου 42, ΤΚ 85819 Μεσολόγγι
Καστανέας 52, ΤΚ 559 03 Μυτιλήνη
Καστανιάς 32-37, 695 51 Κόρινθος
Καστανοφύτου 59, ΤΚ 705 89 Ιωάννινα
Καστανοφύτου 7, ΤΚ 264 30 Πρέβεζα
Καστανούλας 88-92, 275 70 Καλαμάτα
Καστανώνος Ζαγορίου 11-13, 75520 Ερμούπολη
Καστανώνος Ζαγορίου 253, ΤΚ 21175 Κέρκυρα
Καστελλάνων Μέσης 187, ΤΚ 852 54 Κόρινθος
Καστελλίου 07-62, ΤΚ 970 11 Χίος
Καστελλίου 30, 813 62 Πύργος
Καστελλίου 331-533, ΤΚ 36084 Καβάλα
Καστελλίων 698, 30346 Ιωάννινα
Καστορείου 68, 41312 Λαμία
Καστρίων 49, ΤΚ 00761 Ναύπλιο
Καταφύτου 01-50, 82805 Δράμα
Κατούνας 368, 64445 Χαλκίδα
Κατσαφάδου 3, 87264 Καβάλα
Κατσαφάδου 54, ΤΚ 23432 Γρεβενά
Κατσιμάλη 1, ΤΚ 45463 Καρπενήσι
Κατσιμάνη 982-271, ΤΚ 732 49 Μυτιλήνη
Κατσιμάνη 99, ΤΚ 51970 Κοζάνη
Κατταβίας 84, 893 76 Τρίκαλα
Καφφέ 34-16, 34545 Καρπενήσι
Καψή 5, 81473 Θεσσαλονίκη
Κεντρικού 7, ΤΚ 143 85 Ηράκλειο
Κεντροχωρίου 23, 468 93 Κοζάνη
Κεράς 342, 873 95 Λιβαδιά
Κεραμέ 7, 575 32 Πάτρα
Κεραμίτσης 93, 33319 Ρέθυμνο
Κεραμείας 05, ΤΚ 17021 Χίος
Κεραμειών 02-78, 61496 Καβάλα
Κερασοχωρίου 88-20, 10739 Κατερίνη
Κερατέας 91, ΤΚ 80209 Γρεβενά
Κερδυλίων 40, ΤΚ 93936 Σέρρες
Κερκίνης 04-57, 88445 Βέροια
Κεσίση 06, ΤΚ 81144 Καλαμάτα
Κεφαλά 9, ΤΚ 13440 Κέρκυρα
Κεφαλοχωρίου 2, 00032 Καρπενήσι
Κεφαλοχωρίου 29-77, ΤΚ 35356 Κομοτηνή
Κεφαλόβρυσης 8, 55753 Ηγουμενίτσα
Κηπουρείου 866, ΤΚ 78143 Πάτρα
Κηρίνθου 53, ΤΚ 870 84 Λιβαδιά
Κηφισιάς 799-676, ΤΚ 49722 Καβάλα
Κηφισιάς 9, ΤΚ 66518 Πύργος
Κιβερίου 15-93, ΤΚ 187 31 Πολύγυρος
Κιζάριον 684-442, ΤΚ 905 77 Κοζάνη
Κιζάριον 71, ΤΚ 538 92 Χίος
Κινιδάρου 095-215, 00410 Ρόδος
Κλένιας 26, 71826 Τρίπολη
Κλένιας 7, 303 18 Λευκάδα
Κλειδίου 22, ΤΚ 100 98 Αλεξανδρούπολη
Κλειδίου 59, 07967 Καστοριά
Κλεινού 1, ΤΚ 91886 Τρίπολη
Κλεισωρείας 4, 96702 Γρεβενά
Κλειτορίας 765-275, ΤΚ 177 81 Μυτιλήνη
Κλημεντίου 138-401, 582 39 Δράμα
Κνίδης 27, ΤΚ 15386 Κατερίνη
Κοίλων 73, 806 50 Χανιά
Κοίτας 21, ΤΚ 463 53 Σέρρες
Κοθρέα 37-35, 179 90 Άρτα
Κοκκίνου 391-779, ΤΚ 735 96 Ξάνθη
Κοκκίνου Χωρίου 2, 09776 Τρίκαλα
Κοκκαρίου 38, 23207 Ερμούπολη
Κοκκαρίου 7, 43041 Σάμος
Κοκκινοπηλού 09-01, 51934 Κοζάνη
Κοκκωτών 079, 303 96 Καλαμάτα
Κοκκωτών 523-084, ΤΚ 90191 Πολύγυρος
Κοκκωτών 58, 60129 Γρεβενά
Κολλινών 08, 132 25 Σάμος
Κολτσάκη 0, 40360 Φλώρινα
Κολτσάκη 43-06, 553 28 Ηράκλειο
Κολτσάκη 58, ΤΚ 077 12 Καστοριά
Κολυμβαρίου 72-63, ΤΚ 599 83 Ιωάννινα
Κολυμβαρίου 986, 053 38 Λαμία
Κομάνου 9, ΤΚ 26008 Δράμα
Κομάρων 80, ΤΚ 205 82 Κιλκίς
Κομμένου 067, ΤΚ 010 87 Ιωάννινα
Κομπιτσίου 068-378, 859 71 Έδεσσα
Κονίσκης 99, 11608 Λιβαδιά
Κονοπίνας 656-020, 53781 Γρεβενά
Κονσούλα 37, ΤΚ 204 03 Ναύπλιο
Κονταραίνης 08, ΤΚ 95947 Πρέβεζα
Κονταραίνης 83-21, 424 01 Κοζάνη
Κοντογενάδας 5, 379 52 Φλώρινα
Κοντοδεσποτίου 612-014, 12509 Δράμα
Κοντοπούλων 448-940, ΤΚ 36585 Κατερίνη
Κοντού 62, ΤΚ 03428 Ηγουμενίτσα
Κοπάνης 11-25, 496 18 Ναύπλιο
Κοπανακίου 086-747, ΤΚ 43843 Πολύγυρος
Κοπανού 2, 42345 Ναύπλιο
Κορίνθου 4, 46925 Κατερίνη
Κορνού 29, ΤΚ 088 21 Πρέβεζα
Κοροίβου 429, 49774 Ζάκυνθος
Κορυδαλλού 358, ΤΚ 56939 Κέρκυρα
Κορυφασίου 581-939, 71271 Ερμούπολη
Κορφιωτίσσης 97, ΤΚ 83655 Άμφισσα
Κορφοβουνίου 42, ΤΚ 05582 Ζάκυνθος
Κορωνίδου 45, 223 77 Τρίπολη
Κορωνείας 1, ΤΚ 427 67 Κόρινθος
Κοσμαδαίων 34, ΤΚ 36160 Πολύγυρος
Κοτρωνίου 161-820, ΤΚ 63134 Σέρρες
Κοτσινά 65, ΤΚ 11400 Σπάρτη
Κουβουκλίων 3, ΤΚ 818 20 Ξάνθη
Κουκλιών 44, ΤΚ 31438 Καλαμάτα
Κουκουβά 85, 78986 Χαλκίδα
Κουκουθάκη 2, 49732 Έδεσσα
Κουλεντίων 66, 39139 Καρπενήσι
Κουλοχέρη 2, ΤΚ 617 57 Κοζάνη
Κουλούρας 1, 79698 Καστοριά
Κουμαιίκων 67, ΤΚ 10153 Κατερίνη
Κουνουπίτσης 1, 28890 Λάρισα
Κουνουπίτσης 637-069, 49538 Αγ. Νικόλαος
Κουρεμαδίου 890, ΤΚ 439 70 Τρίκαλα
Κουρκουλών 72, ΤΚ 319 91 Ιωάννινα
Κουρνά 688, 22632 Χίος
Κουρουνιού 17, 54702 Θεσσαλονίκη
Κουρτακίου 39, 60578 Λευκάδα
Κουσέ 7, 711 87 Λιβαδιά
Κουταλά 132, ΤΚ 60901 Ρόδος
Κουταλά 31, 74305 Άρτα
Κουταλά 967, 63133 Ηγουμενίτσα
Κουτκιά 1, ΤΚ 99253 Τρίπολη
Κουτκιά 97, 695 26 Έδεσσα
Κουτσικούρη 803-984, ΤΚ 75585 Μεσολόγγι
Κουτσιουμάρη 8, 51845 Ηράκλειο
Κουτσιουμάρη 89, 37252 Πολύγυρος
Κουτσονίκα 287, ΤΚ 66011 Σάμος
Κουτσουνάκη 53, 56624 Πολύγυρος
Κουτσουνάκη 90-85, ΤΚ 69323 Ερμούπολη
Κουφάκη 05, 88096 Καλαμάτα
Κουφαλίων 413-877, ΤΚ 798 10 Ηράκλειο
Κουφοπούλου 2, ΤΚ 53784 Ξάνθη
Κοφινάκη 61, ΤΚ 92713 Καστοριά
Κούταλης 23, 300 04 Ηγουμενίτσα
Κρήνης Πατρών 234, 08263 Γρεβενά
Κρανούλας 091, 03585 Κέρκυρα
Κρασίου 20-64, ΤΚ 642 63 Καρδίτσα
Κρατερού 59, ΤΚ 353 28 Βέροια
Κρατερού 83-48, ΤΚ 23663 Χίος
Κρεμαστού 62-64, 93396 Ερμούπολη
Κρηνίδων 960, ΤΚ 86612 Ζάκυνθος
Κρούστα 6, 14136 Ρέθυμνο
Κρυσταλλοπηγής 744-552, 78772 Αλεξανδρούπολη
Κρυφοβού 05, ΤΚ 947 41 Χαλκίδα
Κρυών 000, ΤΚ 469 42 Ξάνθη
Κρύας Βρύσης 5, ΤΚ 55347 Πρέβεζα
Κτένιον 173, 73779 Κομοτηνή
Κτικάδου 7, 23324 Σπάρτη
Κυανής 7, ΤΚ 468 21 Φλώρινα
Κυανής 90, ΤΚ 533 53 Τρίκαλα
Κυδωνέας 37, ΤΚ 67826 Ιωάννινα
Κυθήρων 13, 47281 Φλώρινα
Κυθήρων 26, ΤΚ 124 57 Χίος
Κυνηγού 1, ΤΚ 90418 Άμφισσα
Κυνηγού 42-32, 275 27 Χαλκίδα
Κυργιά 794-460, ΤΚ 03645 Βόλος
Κυριακοχωρίου 99-44, ΤΚ 36229 Ζάκυνθος
Κυρούδη 50-22, ΤΚ 16261 Καρπενήσι
Κυρτώνης 3, ΤΚ 722 47 Ηγουμενίτσα
Κυψέλης Μεθάνων 3, ΤΚ 798 69 Θεσσαλονίκη
Κωνσταντινίδου 3, 600 27 Τρίκαλα
Κωνσταντινίδου 96, ΤΚ 37215 Μυτιλήνη
Κωνσταντοπούλου 096, 24883 Καρδίτσα
Κωνσταντοπούλου 4, 17274 Καβάλα
Κωστάνιανης 8, 11570 Μυτιλήνη
Κωτσιονοπούλου 07, 93241 Ηράκλειο
Κωτσιονοπούλου 24, 310 93 Κομοτηνή
Κόλλια 93, 53984 Ζάκυνθος
Κόξαρης 8, 06420 Ξάνθη
Κύθνου 35, 249 49 Σάμος
Κύθνου 887-646, 347 81 Τρίπολη
Λάβδανης 80, 51373 Πολύγυρος
Λάγιου 93, ΤΚ 43012 Αλεξανδρούπολη
Λάκκας 72, ΤΚ 85092 Άρτα
Λάμπου Μύλων 25, ΤΚ 010 96 Σπάρτη
Λάστης 97-89, 76597 Βέροια
Λάστρου 102, 14168 Κομοτηνή
Λίππας 6, ΤΚ 939 86 Ιωάννινα
Λίστας 63, 17585 Ναύπλιο
Λαγίας 992-249, ΤΚ 53570 Κοζάνη
Λαγκαδίων 19, 46857 Θεσσαλονίκη
Λαγκαδαιίκων 66-97, 41183 Καρδίτσα
Λαγού 44, 79053 Λάρισα
Λαγυνών 11, 900 02 Σπάρτη
Λαγυνών 548, ΤΚ 598 04 Καρπενήσι
Λαγωπόδου 340, 424 85 Σάμος
Λακκωνίων 50-14, 52030 Ζάκυνθος
Λαμπαίνης 681, 838 43 Καστοριά
Λαμπινής 68, 097 75 Πολύγυρος
Λαπαναγών 5, 150 59 Ερμούπολη
Λατζοΐου 49-74, 79347 Αργοστόλι
Λαυκίου 845-073, 80705 Σέρρες
Λαχανά 052, 449 84 Κατερίνη
Λαχανιάς 508, 10460 Βόλος
Λαψίστης 200, 15582 Σέρρες
Λαψίστης 22, 518 88 Λάρισα
Λεντζίου 2, ΤΚ 508 95 Χίος
Λεοντίου 44, ΤΚ 20188 Αγ. Νικόλαος
Λεπίδα 19, 71328 Πολύγυρος
Λεπτοπόδων 44, 04638 Μυτιλήνη
Λεσινίου 725-892, 87327 Καβάλα
Λευκίμμης 6, 118 30 Ρόδος
Λευκαδιτίου 0, ΤΚ 70009 Λάρισα
Λεωφ. Άμμου 73-30, ΤΚ 917 84 Λαμία
Λεωφ. Αγίου Ιωάννου Ρέντη 564, ΤΚ 938 38 Κατερίνη
Λεωφ. Αγραπιδιάς 480, 68272 Μεσολόγγι
Λεωφ. Ακρίων 40, 686 98 Χίος
Λεωφ. Αλφειούσης 65, 191 25 Χίος
Λεωφ. Αμβροσίας 11-21, 184 73 Καστοριά
Λεωφ. Αναστάσεως 163, 12382 Πάτρα
Λεωφ. Ανδρωνιάνων 7, 23512 Καρδίτσα
Λεωφ. Ανθής 24-75, 98279 Λάρισα
Λεωφ. Ανθοχωρίου 0, 594 65 Αργοστόλι
Λεωφ. Ανθοχώριον 80, 36510 Γρεβενά
Λεωφ. Αρίας 6, 17869 Πολύγυρος
Λεωφ. Αργυρίων 6, ΤΚ 563 11 Χανιά
Λεωφ. Αργυρού Πηγαδίου 99, 97090 Αγ. Νικόλαος
Λεωφ. Αρμενάδων 6, ΤΚ 757 55 Κέρκυρα
Λεωφ. Αρχιλόχου 477-168, ΤΚ 679 41 Ρέθυμνο
Λεωφ. Ασέας 42-94, ΤΚ 01280 Κιλκίς
Λεωφ. Βαθυτόπου 503, ΤΚ 35082 Χανιά
Λεωφ. Βαρλαάμ 75, ΤΚ 339 15 Ναύπλιο
Λεωφ. Βαρύπετρου 44-09, 394 77 Άμφισσα
Λεωφ. Βασιλικής 824, ΤΚ 25200 Φλώρινα
Λεωφ. Βουλγάρω 73, 16453 Ρέθυμνο
Λεωφ. Βούλπης 4, 57457 Κοζάνη
Λεωφ. Βρομόβρυσης 68, 738 92 Καρπενήσι
Λεωφ. Γαλατσίου 77, 625 90 Λιβαδιά
Λεωφ. Γερακαρίου 8, 49272 Ηγουμενίτσα
Λεωφ. Δαμάστας 37, 011 70 Τρίπολη
Λεωφ. Διασέλλου 1, ΤΚ 12382 Άμφισσα
Λεωφ. Δορίσκου 3, 68668 Ηγουμενίτσα
Λεωφ. Θέρμης 50-35, ΤΚ 50247 Πρέβεζα
Λεωφ. Θηβαίων 96-63, 655 53 Κόρινθος
Λεωφ. Καισαριανής 43-02, 848 23 Καστοριά
Λεωφ. Κακοταρίου 297, 24010 Λάρισα
Λεωφ. Καλλιθήρου 73, 06459 Αργοστόλι
Λεωφ. Καλογήρων 9, 34338 Βέροια
Λεωφ. Καναλλακίου 099-438, 81718 Θεσσαλονίκη
Λεωφ. Κανδάλου 387-106, 126 40 Καρδίτσα
Λεωφ. Κερπινής 89, 179 05 Πάτρα
Λεωφ. Κρυονερίων 84, 06041 Ερμούπολη
Λεωφ. Κυανής 657-956, 135 43 Πάτρα
Λεωφ. Κώστου 075, ΤΚ 375 04 Θεσσαλονίκη
Λεωφ. Λαμποκάμπου 79-06, ΤΚ 989 85 Θεσσαλονίκη
Λεωφ. Λαμύρων 0, ΤΚ 02344 Ρόδος
Λεωφ. Λαψίστης 5, ΤΚ 74500 Καβάλα
Λεωφ. Λιθακιάς 61, ΤΚ 652 23 Καβάλα
Λεωφ. Λουσικών 01, 79794 Γρεβενά
Λεωφ. Λουτρών Ηραίας 6, ΤΚ 81937 Αγ. Νικόλαος
Λεωφ. Μαγούλας 2, 432 00 Ερμούπολη
Λεωφ. Μεγάλης Κάψης 45-41, ΤΚ 66668 Αργοστόλι
Λεωφ. Μελιανών 33, 227 71 Βέροια
Λεωφ. Μιραλίου 95, ΤΚ 198 51 Ρέθυμνο
Λεωφ. Μουρνιών 8, 04678 Πολύγυρος
Λεωφ. Μυλοποτάμου 07, ΤΚ 13115 Κατερίνη
Λεωφ. Ναμάτων 4, ΤΚ 201 57 Κομοτηνή
Λεωφ. Ξυλοπαροίκου 31, 02967 Βόλος
Λεωφ. Οιχαλίας 33, ΤΚ 94007 Ζάκυνθος
Λεωφ. Ολύνθου 0, 86884 Κιλκίς
Λεωφ. Παγκαλοχωρίου 22, ΤΚ 31433 Φλώρινα
Λεωφ. Παλαιοκατούνας 43, 59785 Αγ. Νικόλαος
Λεωφ. Πελασγίας 90, 56704 Κόρινθος
Λεωφ. Πλατυκάμπου 60, ΤΚ 977 05 Κατερίνη
Λεωφ. Πολυδαμείου 93-83, 73928 Πρέβεζα
Λεωφ. Ποτιδάνειας 55, ΤΚ 323 05 Ηράκλειο
Λεωφ. Πύργων Θερμής 084-370, 46828 Μυτιλήνη
Λεωφ. Ρίζης 23, 440 31 Κέρκυρα
Λεωφ. Ρυσίου 69, ΤΚ 711 46 Βόλος
Λεωφ. Σγουράδων 66, ΤΚ 280 88 Μυτιλήνη
Λεωφ. Σεβαστιανών 45-11, 06891 Κέρκυρα
Λεωφ. Σιταγρών 28, 627 25 Κέρκυρα
Λεωφ. Σκαλανίου 435, 09667 Χίος
Λεωφ. Σταγίρων 09-58, 77261 Άρτα
Λεωφ. Στεφανίου 786, 09397 Κέρκυρα
Λεωφ. Σχινοχωρίου 16-64, 949 45 Έδεσσα
Λεωφ. Ταγαράδων 6, ΤΚ 46769 Ιωάννινα
Λεωφ. Φιλίππων 89, 59524 Άμφισσα
Λεωφ. Φουρνάς 64-24, ΤΚ 065 82 Καρδίτσα
Λεωφ. Φύλλων 13-57, 68043 Λιβαδιά
Λεωφ. Χαλιωτάτων 33-96, ΤΚ 774 48 Δράμα
Λεωφ. Χαριάς 206-150, ΤΚ 20011 Κέρκυρα
Λεωφόρος Αγίου Ιωάννη 256, 63285 Κέρκυρα
Λεωφόρος Αμπελακίου 10, ΤΚ 38539 Μυτιλήνη
Λεωφόρος Ανδραβίδας 5, 90180 Ρέθυμνο
Λεωφόρος Ανδρούσης 78, 046 77 Κόρινθος
Λεωφόρος Αντιπάρου 77-62, 78630 Θεσσαλονίκη
Λεωφόρος Ασπρούλας 520-783, 87210 Καστοριά
Λεωφόρος Βάλτας 09, 29604 Φλώρινα
Λεωφόρος Βαγιονιάς 358-045, 813 68 Μυτιλήνη
Λεωφόρος Βιρού 601, ΤΚ 819 10 Χαλκίδα
Λεωφόρος Γαλατίστης 205-157, 09339 Χανιά
Λεωφόρος Δάφνης 06, 69296 Γρεβενά
Λεωφόρος Δαφνούλας 1, ΤΚ 717 59 Καρπενήσι
Λεωφόρος Δενδροχωρίου 32, 05600 Θεσσαλονίκη
Λεωφόρος Διακοπίου 19-64, 53561 Βόλος
Λεωφόρος Δικάστρου 930-601, ΤΚ 49349 Ξάνθη
Λεωφόρος Εγγαρών 108-612, 22707 Αλεξανδρούπολη
Λεωφόρος Ερεσού 1, 39619 Ιωάννινα
Λεωφόρος Ευγήρου 1, 35224 Καβάλα
Λεωφόρος Ευζώνων 74, 776 52 Σάμος
Λεωφόρος Ζαλόγγου 975-257, 47135 Πύργος
Λεωφόρος Θολοποταμίου 805, ΤΚ 826 69 Μεσολόγγι
Λεωφόρος Καββαδάδων 302-732, ΤΚ 230 30 Γρεβενά
Λεωφόρος Καλυβίων 5, ΤΚ 031 61 Κιλκίς
Λεωφόρος Καστριτσίου 377-673, ΤΚ 476 55 Δράμα
Λεωφόρος Κριατσίου 8, 41326 Γρεβενά
Λεωφόρος Λακήθρας 21-46, 916 81 Κομοτηνή
Λεωφόρος Λιθιάς 93-31, 37406 Χίος
Λεωφόρος Λισβορίου 18, 048 10 Βέροια
Λεωφόρος Μαραντοχωρίου 30, 245 24 Καβάλα
Λεωφόρος Μαυρατζαίων 43, 943 25 Κέρκυρα
Λεωφόρος Μαυρούδας 465-468, 01148 Καρδίτσα
Λεωφόρος Μελισσουργού 749-665, 41088 Γρεβενά
Λεωφόρος Μεσονησίου 6, ΤΚ 943 49 Πρέβεζα
Λεωφόρος Μιστεγνών 36-63, ΤΚ 34154 Τρίπολη
Λεωφόρος Μπάφρας 20, 675 27 Λαμία
Λεωφόρος Μύθων 02, 55665 Καλαμάτα
Λεωφόρος Ξανθοχωρίου 054, 68469 Καλαμάτα
Λεωφόρος Παιανίας 16, 10439 Σέρρες
Λεωφόρος Παλλήνης 27, 57391 Χίος
Λεωφόρος Παναγίας 77-53, 445 48 Ζάκυνθος
Λεωφόρος Παραλίας 33, 72376 Έδεσσα
Λεωφόρος Πατσιδερού 8, ΤΚ 27201 Ηγουμενίτσα
Λεωφόρος Περικλείας 186, ΤΚ 97603 Πολύγυρος
Λεωφόρος Πλαισίου 988, 44451 Ξάνθη
Λεωφόρος Πύδνας 92, 41704 Πύργος
Λεωφόρος Ρυσίου 10, 05262 Τρίκαλα
Λεωφόρος Σαλμώνης 58, 55617 Καλαμάτα
Λεωφόρος Σαμίων 217, 02199 Κοζάνη
Λεωφόρος Σκοτίνης 34, ΤΚ 098 22 Πολύγυρος
Λεωφόρος Σουστιάνων 65-77, 28802 Καρδίτσα
Λεωφόρος Σούλου 665, ΤΚ 71514 Πολύγυρος
Λεωφόρος Στεφάνης 323-245, ΤΚ 60053 Άμφισσα
Λεωφόρος Συνοικίας Τρικάλων 4, ΤΚ 452 04 Τρίπολη
Λεωφόρος Φανών 23, 10026 Ρόδος
Λεωφόρος Φαρσάλων 7, 447 23 Λευκάδα
Λεωφόρος Φούστανης 0, 81654 Λιβαδιά
Λεωφόρος Χαλάνδρων 44, ΤΚ 57678 Χανιά
Λεωφόρος Ψαράδων 04-02, ΤΚ 263 75 Έδεσσα
Λεύκτρων 71, ΤΚ 916 19 Καρδίτσα
Λιαπάδων 81-58, ΤΚ 925 59 Δράμα
Λιας 76, 68335 Έδεσσα
Λιβαδακίου 6, ΤΚ 40148 Χανιά
Λιβαδιάς 22, 68231 Καστοριά
Λιβαδοχωρίου 23-68, ΤΚ 52188 Κιλκίς
Λιβερών 322, 790 16 Βέροια
Λιγοψάς 1, ΤΚ 07976 Ηγουμενίτσα
Λιθοτόπου 172-712, 64146 Λαμία
Λιθοχωρίου 33, ΤΚ 728 73 Ηράκλειο
Λιλαίας 6, 40821 Τρίκαλα
Λιλαίας 62, 450 22 Ερμούπολη
Λιλιανού 84, 391 33 Βέροια
Λιολιοπούλου 781, ΤΚ 89190 Λάρισα
Λιούκα 307-507, 45045 Χαλκίδα
Λιούκα 58, 46106 Αλεξανδρούπολη
Λιπαρού 7, 84953 Ηράκλειο
Λιόντη 31, 887 18 Κομοτηνή
Λιόντη 626, 58234 Λαμία
Λογγάδων 9, ΤΚ 80472 Ρέθυμνο
Λογγάστρας 99, ΤΚ 27488 Ιωάννινα
Λογκάκη 68, 184 56 Θεσσαλονίκη
Λογκανίκου 216, 13980 Τρίπολη
Λογοθέτη 12-35, 629 98 Ρόδος
Λουκομίου 93, 66525 Καστοριά
Λουμπούτσκου 1, ΤΚ 64190 Χανιά
Λουμπούτσκου 933-885, 555 94 Κομοτηνή
Λουρών 91, 73905 Κιλκίς
Λουτρού Λαρίσης 460-119, 835 52 Πρέβεζα
Λυκοβρύσεως 0, 30737 Γρεβενά
Λυκοστόμου 73, ΤΚ 47977 Κατερίνη
Λυκούρεση 04, ΤΚ 681 96 Λαμία
Λυρή 92-62, 084 59 Γρεβενά
Λόγγου 0, ΤΚ 73531 Λευκάδα
Λόγγου 217-329, 402 57 Σέρρες
Λόφου 80, ΤΚ 68956 Ερμούπολη
Λύτρα 85-53, 73232 Μυτιλήνη
Μάζης 61, 608 82 Λιβαδιά
Μάλαμα 21-09, ΤΚ 925 69 Δράμα
Μάλεμε 4, 828 04 Ζάκυνθος
Μάλτας 134, 582 54 Καστοριά
Μάννα 62, 59558 Ηράκλειο
Μάρκου 58, ΤΚ 268 39 Λαμία
Μάρκου 6, ΤΚ 63764 Ιωάννινα
Μέγα Κάμπου 3, 55350 Έδεσσα
Μέλανι 4, 215 40 Μυτιλήνη
Μέσα Διδύμας 2, 423 62 Κομοτηνή
Μέση 297-281, ΤΚ 70600 Ξάνθη
Μήτσου 35, 13166 Καστοριά
Μαγουλίτσης 538-726, 490 34 Δράμα
Μαγούλα 123, 509 22 Βέροια
Μαθρακίου 66, 82168 Δράμα
Μαινάλου 97, ΤΚ 33569 Σέρρες
Μακρινής 783, 49623 Λιβαδιά
Μακρισίων 8, ΤΚ 871 43 Χίος
Μακροπούλου 6, 484 51 Μυτιλήνη
Μαλακίων 9, ΤΚ 691 96 Ναύπλιο
Μαλανδρίνου 965, 369 83 Γρεβενά
Μαλγάρων 41, 41977 Αθήνα
Μαλγάρων 631-685, 60190 Αθήνα
Μαλών 7, 19993 Χαλκίδα
Μανδρών 1, 755 18 Πάτρα
Μανδρών 648-374, 98180 Βέροια
Μανεσίου Πατρών 655, ΤΚ 49685 Τρίπολη
Μανιτάρου 5, 19295 Χίος
Μαντά 02-55, ΤΚ 34926 Ζάκυνθος
Μαντά 038, ΤΚ 244 09 Ναύπλιο
Μανταμάδου 32-77, ΤΚ 407 89 Φλώρινα
Μαντουδίου 14, 52317 Κοζάνη
Μαρίου 371-311, 15826 Καρδίτσα
Μαρίου 93-96, 18872 Καστοριά
Μαραθιά 809, 931 11 Κομοτηνή
Μαραντοχωρίου 153, ΤΚ 84938 Αγ. Νικόλαος
Μαργαριτάκη 90, 428 03 Χίος
Μαργελίου 287-518, 501 57 Ρέθυμνο
Μαργελίου 74, 891 25 Μυτιλήνη
