Άγγελος Μωρός
Θεολόγος Κουτσογιάννόπουλος
Θεοπίστη Κωτσιονοπούλου
Θεοπίστη Τζιγκούρα
Θεοτόκης Λεντζίου
Θεοφάνης Αντωνέας
Θεοφάνης Καμποσάκης
Θεοφάνης Κουρκουτάς
Θεοφάνης Λάκκας
Θεοφάνης Ξηρός
Θεοφάνης-Αντύπας Σιδηρόπουλος
Θεοφανία Γρηγοριάδου
Θεοφανία Δρακάκη
Θεοφύλακτη Κουτσοβίδου
Θεοφύλακτος Ζιάκας
Θεοχάρης Ριζούλης
Θεοχάρης Στραβοσνίχης
Θεοχάρης Χατζησάββας
Θεοχάρης-Φίλιππος Ζαχαρίου
Θεοχαρούλα Πέτρου
Θεοχαρούλα Χατζηχαρίστου
Θεόδουλος Καραντζόπουλος
Θεόδουλος Μανούκας
Θεόδουλος Πολυχρονίδης
Θεόδωρος Μπούσιος
Θεόδωρος Χουχουλής
Θεόδωρος-Αδάμ Χρυσίδης
Θεόκλεια Ζώη
Θεόκλεια Κοντογιάννη
Θεόκλεια-Ξανθίππη Κωστοπούλου
Θεόπιστος Κατσιλής
Θεόπιστος Μαυρομανωλάκης
Θεόπιστος Ράπτης
Θεόπιστος Ραγκούσης
Θεόφιλος Κιουπλιώτης
Θεόφιλος Λελεδάκης
Θεόφιλος Παπαθεοδοσίου
Θεόφραστος Καρανασίου
Θεόφραστος Σολακούδης
Θεόφραστος Φραγκόπουλος
Θεόφραστος Χαρπαντίδης
Θεώνη Γούλα
Θεώνη Χατζηφώτη
Θηρεσία Δημακογιάννη
Θηρεσία Θεοδοσιάδου
Θηρεσία Μαστρογιαννίδου
Θηρεσία Ναούμ
Θηρεσία Παλιεράκη
Θηρεσία Τσαμπούρη
Θηρεσία Τόγια
Θουκυδίδης Αρχαυλής
Θουκυδίδης Καραγιάννης
Θουκυδίδης Περδικάκης
Θουκυδίδης Ρέππος
Θουκυδίδης Σφύρλας
Θουκυδίδης Χριστόπουλος
Θουκυδίδης Χρυσοβέργης
Θρασύβουλος Καστάνης
Θρασύβουλος Λαγοπάτης
Θρασύβουλος Μανουσέλης
Θρασύβουλος-Τηλέμαχος Λώλος
Θωμάς Μακρυγιάννης
Θωμάς Παλαιολόγος
Θωμάς-Παντελής Μοσχόπουλος
Θωμαίς Βασιλάκη
Θωμαίς Μηνά
Θωμαίς Πουλή
Ιάκωβος-Αχιλλέας Ξανθάκης
Ιάκωβος-Λεμονής Βιδαλάκης
Ιάσονας Κοτσαρής
Ιάσονας Σταμόπουλος
Ιάσονας Φραγκόπουλος
Ιάσων Αναστασόπουλος
Ιάσων-Δράκων Σαραντινός
Ιακωβίνα Μπαφίτη
Ιγνάτιος Νασίκας
Ιγνάτιος Τορομίδης
Ιγνατία Χατζηχαρίστου
Ιερεμίας Ασημακόπουλος
Ιερεμίας Κούρτης
Ιερεμίας-Νεόφυτος Ρίγκος
Ιερόθεος Κωτσίδης
Ιερόθεος Φαλιέρος
Ιερώνυμος Σιώμος
Ιερώνυμος Χατζηκύρκος
Ινώ Γκούνη
Ινώ Μπλιατσίου
Ινώ-Θέκλα Κολαΐτου
Ινώ-Περικλεία Ασλανίδου
Ιοκάστη Μιλέα
Ιορδάνης Γκικόπουλος
Ιορδάνης Κατάκης
Ιορδάνης Κουταλιός
Ιορδάνης Λαουρδέκης
Ιορδάνης Τσιαμούρας
Ιορδάνης-Ευγένιος Λιτίνας
Ιορδανία Μηνά
Ιορδανία Παράνου
Ιορδανία Τρεντσίου
Ιουλία Βλαχοδήμου
Ιουλία Κανταρελή
Ιουλία Ντριβαλά
Ιουλία-Νεόκλεια Ζαφείρη
Ιουλία-Φιλομήλα Κωνσταντοπούλου
Ιουλιανή Δαγλή
Ιουλιανή Μίχου
Ιουλιανή Παράνου
Ιουλιανός Στεργιαλής
Ιουλιανός-Όμηρος Μπλανάς
Ιούλιος Χαρτερός
Ιπποκράτης Βούλκος
Ιπποκράτης Εσπερίδης
Ιπποκράτης Ζουλούμης
Ιπποκράτης Μπερεδήμας
Ιππολύτη Μπακουλή
Ιππολύτη Τσίμη
Ιππόλυτος Μιχαλάκης
Ιππόλυτος-Αβραάμ Γρετός
Ισίδωρος Γιαπατζής
Ισαάκ Γαβριδάκης
Ισαάκ Πέππας
Ισαάκ-Κώστας Γιαννακόπουλος
Ισαβέλλα Ταυλαρίδου
Ισιδώρα Καργάκου
Ισιδώρα Μπαλή
Ισιδώρα Τσαμπαλή
Ισιδώρα Χαλβατζή
Ιφιγένεια Στυλιανίδου
Ιωάννα Ορφανίδου
Ιωάννης Γουργουλής
Ιωάννης Μάνδαλος
Ιωακείμ Βαχουθιανάκης
Ιωακείμ Καζανόπουλος
Ιωακείμ Σμπονιάς
Ιωακείμ Σολακούδης
Ιωακείμ-Διονύσιος Νικουλής
Ιωνάς Καραγιάννης
Ιωνάς Μαντζουράνης
Ιωσήφ Καραντζόπουλος
Ιωσήφ Λιβανός
Ιωσήφ Λουλάκης
Ιωσήφ Λυγκούρας
Ιωσήφ Λυμπέρης
Ιωσήφ Τρεντσίου
Ιωσηφίνα Κασκαούτη
Ιωσηφίνα Μπακουλή
Ιωσηφίνα Ορφανίδου
Ιωσηφίνα Φασουλή
Κάρολος Τερζίδης
Κάρολος Τσατσάνης
Κίμων Αμυγδαλάκης
Κίμων Γεωργακόπουλος
Κίμων Καπούνης
Κίμων Σμαρδάς
Κίμων-Αναστάσιος Κοντάκος
Καλή Τσουκιά
Καλλίνικη Μάρα
Καλλίνικη Μητσοπούλου
Καλλίνικη Ροδίτου
Καλλίνικη Σαμπάνη
Καλλίνικη Σόφρα
Καλλίνικος Γεωργακόπουλος
Καλλίνικος Γκάγκας
Καλλίνικος Κιουπλιώτης
Καλλίνικος Μακρυκώστας
Καλλίνικος Μπαλτζής
Καλλιρρόη Αραπίδου
Καλλιρρόη Σιούτα
Καλλιρόη Ελευθερίου
Καλλιρόη Πουλιάση
Καλλιρόη Τζάγκα
Καλλιρόη-Φιλιώ Καρακυρίου
Καλλιόπη Μανέτα
Καλλιόπη-Γαβριέλλα Κονιάρη
Καλλιόπη-Μαριλένα Μυλωνίδου
Καλομοίρα Βασιλείου
Καλομοίρα Καρακωνσταντινού
Καλομοίρα Λυμαξή
Καλομοίρα Χριστοπούλου
Κανέλλα Καχριμανίδη
Κανέλλα Τόγια
Καρυοφυλλιά Τσιούπρα
Καρυοφυλλιά Χριστοπούλου
Κασσάνδρα Νάσσου
Κασσάνδρα Παπασπηλιωτοπούλου
Κασσάνδρα Τσαμτσούρη
Κασσιανή Κουκουθάκη
Κασσιανή Μαργαριτάκη
Κασσιανή Χριστοφόρη
Κερασιά Καλαμάρα
Κερασιά Φαββάτα
Κερασιά Χρυσανθακοπούλου
Κερασιά-Ιουλία Χοντζιά
Κηρύκος Δουλάμης
Κηρύκος Σεφέκος
Κηρύκος Σμπρίνης
Κικιλία Κολαΐτου
Κικιλία Μενγκ
Κλέαρχος Μάστορας
Κλέαρχος Πίτσης
Κλέαρχος Ροϊδούλης
Κλέαρχος Φωκαδελής
Κλέαρχος-Θεόφραστος Λέλεκας
Κλαίρη Μάλαμα
Κλαίρη Ταμπορρίνο
Κλεάνθης Αλατζάκης
Κλεάνθης Κοντογιάννης
Κλειώ Βασιλοπούλου
Κλειώ Οικονομοπούλου
Κλεομένης Γιαννέλος
Κλεονίκη Τάτση
Κλεονίκη Τσαχάκη
Κλεοπάτρα Καζαντζή
Κλεοπάτρα Τάτση
Κλεόπας Μάνος
Κλημεντίνη Αθανασιάδη
Κλημεντίνη Κανταρελή
Κλημεντίνη Κουφάκη
Κλυταιμνήστρα-Θεοπίστη Δουλγεράκη
Κοκκώνα Αθανασιάδου
Κοκκώνα Μηνά
Κοκκώνα Μιχελακάκη
Κοκκώνα Μπιμπίκα
Κοκκώνα-Θεοφύλακτη Καρυδά
Κοκκώνα-Ιορδανία Μισίδου
Κομνηνή Ντριβαλά
Κομνηνός Μίχος
Κομνηνός Τριβέλλας
Κομνηνός-Δημόκριτος Σταμάτης
Κονδυλία Μαστραγγελή
Κονδυλία Μαστρογιαννίδου
Κονδυλία Πανταζή
Κορνήλιος Καλαμάρας
Κορνήλιος Καραντζόπουλος
Κοσμάς Κατσαρός
Κοσμάς Κοντογιάννης
Κοσμάς Μπουρλής
Κοσμάς-Απόλλων Σεφέκος
Κρυστάλλης Κωτσίδης
Κρυστάλλης Μαυρογονάτος
Κρυστάλλης Περπινιάς
Κρυστάλλης Φειδερόπουλος
Κρυσταλλένια Βαρθαλίτη
Κυδωνία Καργάκου
Κυδωνία-Δήμητρα Μαργιά
Κυπαρισσία Γκιριτζιώνη
Κυπαρισσία Κονσούλα
Κυπαρισσία Κουτσούμπη
Κυπριανή Γεωργιάδου
Κυπριανή Μαντά
Κυπριανή Σαμτανίδου
Κυπριανή Τόλη
Κυπριανός Πετράκης
Κυράτσα-Θηρεσία Στούμπου
Κυράτσα-Μελέτια Τζιωρτζή
Κυριαζής Ακριτίδης
Κυριαζής Αλεξανδρόπουλος
Κυριαζής Γαβριδάκης
Κυριαζής Φειδερόπουλος
Κυριακή Αργυρίου
Κυριακή Στεφάνου
Κυριακή-Καλλίνικη Παπαδήμα
Κωνσταντία Κατσαφάδου
Κωνσταντία Σπυριδάκη
Κωστούλα Κολαΐτου
Κωστούλα Κουμάρα
Κόσμια Στρούμπα
Κύρος Μανούκας
Κύρος-Χρήστος Βαρδάκης
Κώστας Βούρας
Κώστας Γερόπουλος
Κώστας Γεωργούδης
Κώστας Κωστούλας
Κώστας Μασόπουλος
Κώστας Στοφοριάδης
Κώστας Τζουμάκης
Λάζαρος Γεροδήμος
Λάζαρος Στεργιαλής
Λάζαρος-Μακάριος Λάκκας
Λάμπρος Αμυγδαλάκης
Λάμπρος Δεσύλλας
Λάμπρος Ζυγούρης
Λάμπρος Μπαντής
Λάμπρος Ρέγκας
Λάμπρος Τσατσάνης
Λάσκαρης Έψιμος
Λάσκαρης Βασιλάκης
Λάσκαρης Κοντάκος
Λάσκαρης Περδικάκης
Λέανδρος Λυγκούρας
Λέανδρος-Συμεών Καραμάνος
Λέων Διαμαντής
Λέων Τυράλης
Λέων Χαρμπίλας
Λήδα Αλεξανδράκη
Λήδα Μπαλή
Λήδα Παπακωνσταντίνου
Λαέρτης Κατσαντώνης
Λαέρτης Ψυχιάς
Λαμπρινή Δρίβα
Λαμπρινή Πολέμη
Λαοκράτης Μπακλάβας
Λαοκράτης Παπαδόπουλος
Λαοκράτης Τσιατής
Λαοκράτης Τυράλης
Λασκαρίνα Γεωργακοπούλου
Λασκαρίνα Παλαιολογοπούλου
Λασκαρίνα Σδούκου
Λαυρέντιος Δανέζης
Λαυρέντιος Κωτσικόρης
Λαυρέντιος Παπατρέχας
Λαυρέντιος Τσαγκρασούλης
Λαυρεντία Μπίκα
Λεμονής Κυριακάκης
Λεμονιά Δαυίδ
Λεμονιά Λέκκα
Λεονάρδος Κιουπλιώτης
Λεονάρδος Ρόγαρης
Λεονάρδος-Μακάριος Αποστολίδης
Λευκοθέα Γρηγορίου
Λευκοθέα Δαμήλου
Λευκοθέα Κυριάκου
Λεωνίδας Κουτσουλής
Λεωνίδας Μπαντές
Λεωνιδιά Μαυρίδη
Λεωνιδιά Παυλή
Λεώνη Κυριακούλη
Λεώνη-Ανατολή Γιαννακουδάκη
Λητώ Αναστασίου
Λητώ Ασσαργιωτάκη
Λητώ Πίσπα
Λητώ Παλιεράκη
Λητώ-Λουκία Ροδίτου
Λογοθέτης Καρατζίκος
Λουίζα Γραμμένου
Λουδοβίκος Μπίλλας
Λουδοβίκος Χριστοδουλάκης
Λουκάς Ακαλίδης
Λουκάς Κόλκας
Λουκάς Πατσούρας
Λουκάς Περπινιάς
Λουκάς-Σοφοκλής Κωστάκης
Λουκία Σαριδάκη
Λουκιανός Αγαλιώτης
Λουκιανός Γαρουφαλής
Λουκιανός Κατιρτζής
Λουλουδένια Κυριάκου
Λουλουδένια Κυρκούδη
Λουλουδένια-Κασσιανή Γεωργακοπούλου
Λυγερή Καρακωνσταντινού
Λυγερή Σκούμπρου
Λυγερή Σταμέλου
Λυγερή Χρήστου
Λυγερή-Κυριακή Χαλβατζή
Λυγερή-Χριστόφιλη Τσιούπρα
Λυδία Κατσιλλή
Λυκούργος Κατσιλής
Λυκούργος Κονδυλίδης
Λυκούργος Κοντογιάννης
Λυκούργος Μπούκος
Λυκούργος Ροϊδούλης
Λυκούργος Χονδρολίδης
Λύσανδρος Κατσαρός
Λύσανδρος Κυμπάρης
Λύσανδρος Ταμιωλάκης
Λύσανδρος-Γκίκας Κωστάκης
Λύσανδρος-Πολυκράτης Καλαργυρός
Μάνθα Ματεντσίδου
Μάνθα Μιχελακάκη
Μάρθα Ματσούρη
Μάρθα Τσάτη
Μάρκος Μανωλάκης
Μάρκος Ντότης
Μάρκος-Τίμων Εσπερίδης
Μένανδρος Τσέλλος
Μίνωας Λάλας
Μίνωας Λιθοξοΐδης
Μίνωας Σουρμπής
Μίνωας Χρυσουλής
Μίνωας-Αθηνόδωρος Καπατσώρης
Μαγδαληνή Μανιάτη
Μαγδαληνή Φωλιά
Μαγδαληνός Ελευθερίου
Μαγδαληνός Λέλεκας
Μαγδαληνός Λιθοξοΐδης
Μαγδαληνός Σκρέκας
Μαγδαληνός Χατζελλής
Μαλαματένια Τυμβίου
Μαλβίνα Γεροκώστα
Μαντώ Δουλγεράκη
Μαντώ Ποσάντζη
Μαρία-Άννα Κοτσινά
Μαρίνα Παπαθεοδοσίου
Μαρίνα Χρήστου
Μαρίνος Σταθόπουλος
Μαρίνος Σφύρλας
Μαρίνος Χαλατσής
Μαρίνος-Ηλίας Δεσύλλας
Μαρίνος-Ισίδωρος Στοφοριάδης
Μαργαρίτα Ασουχίδου
Μαργαρίτα Βουλγαρίδου
Μαργαρίτα Χαντζή
Μαργιέττα-Ηλιάνα Τραγούστη
Μαργιέττα-Θεοδώρα Κουτσονίκα
Μαριάνθη Μωραΐτη
Μαριάννα-Άννα Μπενέτου
Μαριγώ Σκαβέντζου
Μαριγώ Σπαθάρη
Μαριγώ Χορόζη
Μαριγώ-Ευτέρπη Κουτουζίδου
Μαριλένα Μενγκ
Μαριλένα Ταμπορρίνο
Μαριλένα Τομπουλίδου
Μαρτίνος Αγαλιώτης
Μαρτίνος Δερμιτζάκης
Μαρτίνος Μαρκόπουλος
Μαρτίνος Μητρίδης
Μαρτίνος Νικολαΐδης
Μαρτίνος Σουρμπής
Μαρτίνος-Αδάμ Νανούρης
Μαρωτέσα Ευαγγελίδη
Ματίνα Δουκίδου
Ματίνα Ξενίδη
Ματίνα Χοντζιά
Ματθίλδη Αβραμπέκη
Ματθίλδη Γκούβα
Ματθαίος Ζορμπάς
Ματρώνη Κεσκίνη
Μαυρίκιος Κατσαρός
Μαυρίκιος Κουτεντάκης
Μαυρίκιος Λουλάκης
Μαυρίκιος Σταμούλης
Μαυρίκιος Τσάρκος
Μαυροειδής-Αύγουστος Κωτσικόρης
Μαυρούδης Γκατζογιάννης
Μαυρούδης Κομπολιάς
Μαυρούδης Ξηρογιάννης
Μαυρούδης Παπαθεοδοσίου
Μαύρα Γκούνη
Μαύρα Πέτση
Μαύρος Παππάς
Μαύρος Πατμανίδης
Μαύρος Ταχμαζίδης
Μαύρος-Ευάγγελος Ταχτσίδης
Μαύρος-Μένανδρος Σπηλιώτης
Μεγακλής Μαντάρης
Μεγακλής Περιστερόπουλος
Μεγακλής-Κυριαζής Μαντζουράνης
Μεθόδιος Κοτσαρής
Μεθόδιος Σαλίχος
Μελένια Δερλώπα
Μελέτια-Παρθένα Μαυρίδη
Μελέτιος Αθανασόπουλος
Μελέτιος Κεχαγιάς
Μελέτιος Μίχος
Μελέτιος Σγουρός
Μελέτιος Τάρναρης
Μελέτιος Τσιαντάς
Μελίνα Πανταζή
Μελίνα-Ναυσικά Νάντσου
Μελπομένη Κοτσινά
Μενέλαος Αργυρίου
Μενέλαος Καραμάνος
Μενέλαος Μεταξάς
Μερκούριος Γενετζάκης
Μερκούριος Ροϊδούλης
Μερκούριος-Λάμπρος Παργανάς
Μερόπη Μασίκα
Μερόπη Πουλίδα
Μεταξία Κοκκίνου
Μηλιά Καρυδά
Μηλιά Ορφανίδου
Μηλιά Ρωμαίου
Μηλιά Τσετσέρη
Μηλιά-Αγάπη Φαββάτα
Μηνάς Ζηδιανάκης
Μηνάς Πίσσιος
Μικές Ακαλίδης
Μικές Μακρυκώστας
Μικές Περράκης
Μικές-Βλάσιος Σουλιντζής
Μιλτιάδης Γρατσιάς
Μιλτιάδης Καψάλης
Μιλτιάδης Λαζαρίδης
Μιλτιάδης Μυσιρλής
Μινέρβα Κατσιλλή
Μινέρβα Ξηροδήμα
Μινέρβα Ξυγκάκου
Μινέρβα Σκοτάδη
Μινέρβα-Μιχαέλα Βουτσινά
Μιράντα Κατσιλλή
Μιράντα Μαργαρίτη
Μιράντα-Ολύμπια Φασουλή
Μιχάλης Αξαόπουλος
Μιχάλης Γιαννακέας
Μιχάλης Ρέντζος
Μιχάλης Τζαλλας
Μιχαέλα Αγγελάκη
Μιχαέλα Κουκουβά
Μιχαέλα Χρυσικάκη
Μιχαήλ Βασιλογιάννης
Μιχαήλ Γαβριδάκης
Μιχαήλ Γαλατούλας
Μυρσίνη Ατσαλάκη
Μυρσίνη Σωτηροπούλου
Μυρτώ Βαϊραμίδου
Μυρτώ Παπακώστα
Μυρτώ Παπανδρέου
Μυρτώ-Φλώρα Σκούμπρου
Μόσχα Σηκωτίδου
Μόσχα-Ζαφειρία Ρέππα
Νέαρχος Δουλγεράκης
Νέαρχος Κουταλιός
Νέαρχος Τσιαμίτας
Νίκανδρος Αντωνέας
Νίκανδρος Καρανικόλας
Νίκανδρος Μίσχος
Νίκη Χαντζή
Νίκη-Ευπραξία Μαμαλά
Νίκος Μακρυκώστας
Νίκος Μπαλουκίδης
Νίκος-Ξανθός Κεχαγιάς
Νίκων Πετρογιάννης
Νίκων Χατζηκύρκος
Νίκων-Θεόκλητος Πανταζής
Νίκων-Μικές Χατζόπουλος
Ναθαναήλ Κουτσογιάννης
Ναθαναήλ-Θουκυδίδης Γιαννακουδάκης
Ναπολέων Ζορμπάς
Ναπολέων Σμπρίνης
Ναταλίνα Βαρουτίδου
Ναταλίνα Μέλανι
Ναυσικά Γκούβα
Ναυσικά Μπαλή
Ναυσικά Τσουνάκου
Ναυσικά Χορτάτου
Νεκταρία-Μαργαρίτα Τζαναβάρα
Νεοκλής Σμυρνιώτης
Νεόκλεια Κατσαφάδου
Νεόφυτος Καραδήμος
Νικήτας Τσιαμούρας
Νικητία Καχριμανίδη
Νικητία Ξηροτύρη
Νικητία Σάουερ
Νικηφόρος-Κλεομένης Τσουκνίδας
Νικολέτα Βρακά
Νικολέτα Νταγκαλή
Νικολέτα-Ευφροσύνη Τυμβίου
Νικολίτσα Χουρζαμάνη
Νικόδημος Γούσιος
Νικόδημος Μοσχόπουλος
Νικόδημος Μπακλάβας
Νικόδημος Χριστάρας
Νικόδημος-Γαλάτιος Μανίκας
Νικόδημος-Φώτιος Ζώτος
Νομική-Λουλουδένια Μπαφέρα
Νταίζη Βουτσινά
Νταίζη Βυζιηνού
Νταίζη-Στεργιανή Ροδίτου
Ντανιέλα Βαλεντή
Ντανιέλα Μανιάτη
Ντανιέλα Μπαφίτη
Ντανιέλα-Καλλιρρόη Φλασκή
Ξένη Δημητρίου
Ξένη-Τατιάνα Καζαντζή
Ξανθή Μπατζάνη
Ξανθή Σπασέγκου
Ξανθή Χορόζη
Ξανθίππη Αντωνάκη
Ξανθίππη Κακοτρίχη
Ξανθίππη Μιχαλάρου
Ξανθίππη Μπακοστεργίου
Ξανθίππη Τουρνά
Ξανθίππη-Μυρτώ Δρυμαλίτου
Ξενοφών Θεοδωρόπουλος
Ξενοφών Κατσαμάνης
Ξενοφών Τριαντακωνσταντής
Οδυσσέας Κωτούλας
Οδυσσεύς Νικουλής
Οδύσσεια Βαϊραμίδου
Οδύσσεια Βλαχοδήμου
Οδύσσεια-Θεώνη Φωλιά
Ολύμπια Χορόζη
Ολύμπια-Τσαμπίκα Σπανίδου
Ορέστης Αξιώτης
Ορέστης Αποστολόπουλος
Ορέστης Μάργαρης
Ορέστης Μαντάρης
Ορέστης Σπυριδάκης
Ορφέας Αραμπατζής
Ορφέας Βαλαβάνης
Ορφέας Σίδερης
Ορφέας Στραβοσνίχης
Ουρανία Κουλαουσάρη
Ουρανία Μπαφέρα
Ουρανία Σιούτα
Πάρις Αθανασάκης
Πάρις Ζτούκος
Πάρις Παπαδόπουλος
Πάτροκλος Τζαλλας
Πέτρα Αλυσανδράτου
Πέτρα Καραμάνη
Πέτρα Παπαδημητροπούλου
Πέτρα Χιωτίδου
Πέτρα-Θάλεια Παναγιωτακοπούλου
Πέτρος Κωνσταντακόπουλος
Πέτρος Μιχαλέλλης
Πέτρος Ρέππος
Πέτρος Τολούδης
Πίνδαρος-Θεμιστοκλής Κιτινός
Παγώνα Δαμαλά
Παγώνα-Δέσποινα Χατζημιχαήλ
Παναγής Αλαφάκης
Παναγής Κουτχιάς
Παναγής Τσέγας
Παναγία Πετράκη
Παναγιώτα Πετρίδου
Παναγιώτα Τουλάκη
Παναγιώτα-Θωμαίς Μπαρκούτα
Παναγιώτης Κουτσουρέλης
Παναγιώτης Πάνος
Παναγιώτης-Αυξέντιος Λάππας
Πανδώρα Βραδή
Πανδώρα Χριστοπούλου
Πανδώρα-Παρασκευή Γιατράκου
Πανορμίτης Αλατζάκης
Πανταζής Κοττίκας
Πανταζής Κουλουριώτης
Πανταζής-Ιγνάτιος Αμπατζιάνης
Παντελής Μαστρογιώργης
Παντελία Καραγιάννη
Παντελία Χουρζαμάνη
Παντελεήμων Καλιτσουνάκης
Παντελεήμων Πιτερός
Παντούλα Κανελλοπούλου
Παντούλα Μαυρίδου
Παντούλα Χριστοδούλου
Πανωραία Κυρκούδη
Πανωραία Ορφανίδου
Πανωραία-Ελπίς Χαλβατζή
Παράσχος Βουτσάς
Παράσχος Μανουσιάδης
Παράσχος Πίτσης
Παράσχος-Μενέλαος Βολικάκης
Παράσχος-Πλούταρχος Ζηρός
Παρέσσα Παπαχρήστου
Παρέσσα Παυλάκη
Παρασκευάς Κιτινός
Παρασκευάς Χατζηκύρκος
Παρθένα Βασιλειάδη
Παρθένα Νίκα
Παρθένα Παλιούρα
Παρθένα Χατζηχαρίστου
Πασχάλης Ανδρουλάκης
Πασχάλης Κεχαγιάς
Πασχαλιά Γιακαμόζη
Πασχαλιά Λεντζίου
Πασχαλιά Μαυρίδου
Παταπία Ζαφείρη
Παταπία Μανιάτη
Παταπία Σιμιτζή
Παταπία Τουρνά
Παταπία Τριανταφύλλου
Παταπία Τόλη
Παταπία-Ελπίς Κουφάκη
Παυσανίας Αρχαυλής
Παυσανίας Γιαννούκος
Παυσανίας Καζανόπουλος
Παυσανίας Καραλής
Παυσανίας Μπουρλής
Παυσανίας Πανούσης
Παυσανίας Σγουρός
Παυσανίας Χουλιάρας
Παύλος Ιακωβάκης
Πελαγία Λεπίδα
Πελαγία Τόγια
Πελοπίδας Κουλίζος
Πελοπίδας Μαστρογιώργης
Πελοπίδας Μαυρούτσος
Πελοπίδας Περάκης
Πελοπίδας-Μελέτιος Λυμπέρης
Περικλής Κουτσούρας
Περικλής Μαυρομμάτης
Περικλής Μπερεδήμας
Περικλής-Φανούριος Καρανικόλας
Περικλεία Κωνσταντινίδου
Περικλεία Κώτσου
Περικλεία Λεντζίου
Περικλεία Μπακουλή
Περικλεία Σιούτα
Περικλεία Χριστοδούλου
Περικλεία-Εύκλεια Τσέτου
Περιστέρα Αλυσανδράτου
Περσεφόνη Τουλούπη
Πηγή Αδαμοπούλου
Πηγή Κουθούρη
Πηνελόπη Λιόντη
Πηνελόπη-Ειρήνη Καρακυρίου
Πιερρίνα Ανανιάδου
Πιερρίνα Ατσαλάκη
Πιερρίνα Καρακυρίου
Πιερρίνα Μενγκ
Πιερρίνα Παπακωνσταντίνου
Πλάτων Βαμβακάς
Πλάτων Γουργουλής
Πλάτων Νασιόπουλος
Πλούταρχος Δρουλιάς
Ποθητή Αγγελουσοπούλου
Ποθητή Καρβέλη
Ποθητή Μπαλαμπάνη
Ποθητή-Λευκοθέα Καπανταϊδάκη
Πολυζώης Λαγοπάτης
Πολυζώης Τζαλλας
Πολυκράτης Αγγελίκας
Πολυκράτης Μανελίδης
Πολυκράτης Πορίχης
Πολυκράτης Σίδερης
Πολυκράτης Τσαμασλίδης
Πολυκράτης Φουσιέκης
Πολυκράτης-Αστέριος Καραδήμος
Πολυνίκη Τοσούνη
Πολυξένη Βουλγαρίδου
Πολυτίμη Δημοπούλου
Πολυτίμη Κατσαντώνη
Πολυτίμη Ταξίδου
Πολυτίμη-Ζαμπία Μπατζάνη
Πολυχρονία Παπανώτα
Πολυχρονία Ποταμιάνου
Πολυχρόνιος Ευστρατόπουλος
Πολυχρόνιος Νανούρης
Πολύβιος Ζτούκος
Πολύβιος Κυριακίδης
Πολύβιος Μπαλταγιάννης
Πολύδωρα Δραμουντάνη
Πολύδωρα Κασμιρλή
Πολύδωρα Κατσιλλή
Πολύδωρα Πολέμη
Πολύδωρος Μωραΐτης
Πολύδωρος Σαλταούρας
Πολύδωρος Σαρρός
Πολύδωρος Τζιόρτζιος
Πολύδωρος Χαρμπίλας
Πολύκαρπος Κοκορδέλης
Πολύκαρπος Φωκάς
Πολύμνια Γεωργούλα
Πολύμνια Καλομοίρη
Πολύμνια-Μαντώ Βαρθαλίτη
Πουλχερία Καράμπη
Πουλχερία Μανοπούλου
Πουλχερία Νάντσου
Πουλχερία-Ευμορφία Μανιτάρου
Πούλια Μπαφίτη
Πραξιτέλης Ρήνος
Πραξιτέλης Τζιάρας
Πραξιτέλης Τσέλιος
Προδρομία Μακροπούλου
Προδρομία Παπανικολάου
Προκόπιος Καμπάκας
Προκόπιος Καραντζόπουλος
Προκόπιος Πιπερίγκος
Προμηθέας Περρώτης
Πυθαγόρας Μπαλτζής
Πυθαγόρας Πέτσας
Πωλίνα Γεωργαρά
Πωλίνα Μανοπούλου
Πωλίνα Πυροβόλου
Πύρρος Φραντζής
Ράλλης Καλαργυρός
Ράλλης Σκορδάκης
Ρέα Αναστασίου
Ρέα Τριανταφύλλου
Ρέα Τσουνάκου
Ρήγας Δημοβελής
Ρήγας Κριάλης
Ρήγας Παναγιωτακόπουλος
Ρήγας Πλακωτάρης
Ρίζος Μαυρογονάτος
Ραλλία Θωμάκου
Ραλλία-Διαλεκτή Κουζουλά
Ραφαήλ Ασαρίδης
Ραφαήλ Μαντζουράνης
Ραφαήλ Πουλογιαννόπουλος
Ραχήλ Κοττίκας
Ραχήλ-Θεοδόσιος Δημητρόπουλος
Ρεβέκα Μωραΐτη
Ρεβέκα Πισκοπάνη
Ρεβέκα Χαραλαμπίδου
Ρεβέκκα Δερλώπα
Ρεβέκκα Χριστοπούλου
Ρεβέκκα-Δροσιά Τζιόβα
Ρεγγίνα Μαυρίδου
Ρεγγίνα Νίκα
Ρεγγίνα-Μυρσίνη Ποταμιάνου
Ρηγούλα Αποστολίδου
Ρηγούλα Βουτσινά
Ροδάνθη Πορφυριάδου
Ροδαμάνθη Καραγιάννη
Ροδαμάνθη Καρατάσου
Ροδαμάνθη Λιόντη
Ροδαμάνθη-Λήδα Σκρεμμύδα
Ροδιά Ζαρειφοπούλου
Ροδιά Κοκκινίδου
Ροδιά Κωτσιονοπούλου
Ροδιά Τζιωρτζή
Ροδόφλος Μουτουσίδης
Ροδόφλος Πολυζωάκης
Ρουμπίνη Αβραμπέκη
Ρουμπίνη Μητσοπούλου
Ρούσα Μαντά
Ρούσα-Παντελία Κουλοχέρη
