Alameda 25 de Abril, 43
Praça Cunha, 63
Praça Cunha, 94
Praça Diana Nogueira, 82
Praça Diana Pinheiro, S/N
Praça Diogo Domingues, 985
Praça Débora Costa, 844
Praça Edgar Faria, 717
Praça Edgar Marques, S/N
Praça Eduardo Gaspar, 42
Praça Eduardo Prado Coelho, 3
Praça Ema Campos, 49
Praça Enzo Gonçalves, 587
Praça Erika Azevedo, 24
Praça Erika Macedo, S/N
Praça Esteves, 68
Praça Eva Moreira, 86
Praça Fabiana Almeida, S/N
Praça Fabiana Pinto, 40
Praça Fernandes, 716
Praça Fernando Teixeira, 929
Praça Ferreira, 115
Praça Ferreira, 6
Praça Figueiredo, 27
Praça Francisco Amorim, 19
Praça Garcia, 27
Praça Garcia, 8
Praça Gaspar, 5
Praça Gaspar, S/N
Praça Goelas de Pau, 979
Praça Gonçalves, 52
Praça Grande, 6
Praça Guerreiro, 222
Praça Guerreiro, 96
Praça Henrique Pinheiro, S/N
Praça Igor Ramos, 43
Praça Irmã Lúcia, 20
Praça Ivo Paiva, 4
Praça Joaquim Matias, 17
Praça Joaquim Melo, 59
Praça Jorge Pacheco, S/N
Praça João Simões, 334
Praça Kelly Leal, 191
Praça Kevin Borges, S/N
Praça Kévim Figueiredo, 7
Praça Loureiro, 16
Praça Lourenço Cardoso, 86
Praça Lourenço, 190
Praça Lourenço, 2
Praça Lourenço, 302
Praça Lourenço, 8
Praça Luana Amaral, 7
Praça Macedo, 55
Praça Mara Pires, 682
Praça Marco Henriques, 2
Praça Marcos Fonseca, 8
Praça Maria Vaz, 6
Praça Martim Esteves, 47
Praça Matias Pinheiro, 81
Praça Matias, 927
Praça Matilde Bensaúde, 7
Praça Matos, 41
Praça Melissa Leite, 12
Praça Melo, 49
Praça Mia Torres, 97
Praça Miguel Vaz, 89
Praça Miranda, 839
Praça Monteiro, 47
Praça Moreira, S/N
Praça Moura, 2
Praça Nacional 108, 14
Praça Nair Fonseca, S/N
Praça Nascimento, 590
Praça Nelson Paiva, S/N
Praça Nelson Rodrigues, S/N
Praça Neto, S/N
Praça Noa Freitas, 80
Praça Noa Matias, 473
Praça Nogueira, 69
Praça Nuno Machado, 30
Praça Oliveira, 16
Praça Pacheco, S/N
Praça Paiva, 43
Praça Pinheiro, 10
Praça Pinheiro, 20
Praça Pinheiro, 72
Praça Pires, 392
Praça Professor Gonçalves Ferreira, 3
Praça Raquel Ramos, 78
Praça Reis, 25
Praça Reis, 38
Praça Ribeiro, 2
Praça Ribeiro, 60
Praça Ricardo Cruz, 78
Praça Rita Amaral, 900
Praça Rocha, 1
Praça Rui Pinho, 69
Praça S. Bartolomeu, 37
Praça Sabugosa, 53
Praça Sandro Fernandes, 833
Praça Santos, 94
Praça Santos, S/N
Praça Soares, 45
Praça Soares, S/N
Praça Sousa, S/N
Praça Sá, 56
Praça Tavares, 90
Praça Tavares, S/N
Praça Torres, 11
Praça Valente, 157
Praça Vasco Soares, 34
Praça Vaz, S/N
Praça Vera Gomes, 6
Praça Vicente Costa, 34
Praça Vicente Leite, 92
Praça Vieira, 7
Praça Wilson Almeida, 92
Praça da Feiteira, 15
Praça da Graça, 6
Praça da Lingueta, 474
Praça da Nau Catrineta, 33
Praça da Pasteleira, 898
Praça da Torrinha, 7
Praça das Gaivotas ao Parque das Nações, 94
Praça das Linhas de Torres, 14
Praça das Ondas, 56
Praça das Pirogas, 77
Praça das Pirogas, S/N
Praça de Abreu, 19
Praça de Alves, 33
Praça de Alves, 52
Praça de Amorim, S/N
Praça de Andrade, 3
Praça de Barros, 63
Praça de Basílio Teles, S/N
Praça de Belém, 852
Praça de Borges, S/N
Praça de Branco, 37
Praça de Brito, 45
Praça de Cardoso, 388
Praça de Cardoso, 61
Praça de Cardoso, 653
Praça de Carvalho, 2
Praça de Carvalho, 20
Praça de Carvalho, S/N
Praça de Castro, 82
Praça de Castro, S/N
Praça de Correia, 61
Praça de Costa, 518
Praça de Cruz, 115
Praça de Esteves, 46
Praça de Fernandes, 14
Praça de Fernandes, 54
Praça de Figueiredo, 36
Praça de Figueiredo, 94
Praça de Figueiredo, S/N
Praça de Gaspar, 5
Praça de Godim, 27
Praça de Guerreiro, 8
Praça de Guerreiro, 9
Praça de Henriques, 88
Praça de Jesus, S/N
Praça de Leite, 5
Praça de Leite, S/N
Praça de Lima, 27
Praça de Loureiro, 88
Praça de Macedo, 640
Praça de Macedo, 678
Praça de Machado, 49
Praça de Magalhães, 59
Praça de Martins, 25
Praça de Matos, 349
Praça de Matos, 58
Praça de Monteiro, S/N
Praça de Nascimento, 38
Praça de Neves, 8
Praça de Nunes, 13
Praça de Oliveira, 107
Praça de Pina Manique, 51
Praça de Públia Hortênsia, 97
Praça de Rocha, 70
Praça de Rocha, 9
Praça de Rocha, S/N
Praça de Rodrigues, 41
Praça de Santo António dos Capuchos, 75
Praça de Simões, 63
Praça de Sá, 1
Praça de Vaz, 86
Praça do Alto de São João, 659
Praça do Leal, 73
Praça do Machado, 72
Praça do Marechal Gomes da Costa, 319
Praça do Marechal Gomes da Costa, S/N
Praça do Monte de S. João, 85
Praça do Monte dos Judeus, 52
Praça do Prof. Ruy Luís Gomes, 93
Praça do Sodré, 48
Praça do Sodré, 78
Praça do Trancão, 32
Praça dos Argonautas, 591
Praça dos Mastros, 62
Praça dos Moinhos, 32
Praça dos Moinhos, 393
Praça dos Rouxinóis, 880
Praça Ângelo Sá, 32
Praça Érica Lopes, 721
Praça Érica Ramos, 893
Praça Íris Moura, S/N
R. Abreu, S/N
R. Alice Alves, 26
R. Almeida, S/N
R. Amaral, 98
R. Ana Silva, 153
R. Anita Pinheiro, 59
R. António Amorim, 4
R. António Sérgio, 584
R. Arquitecto Carlos Ramos, 47
R. Artur Cupertino de Miranda, 15
R. Associação Empresarial de Portugal, 8
R. Assunção, 3
R. Azevedo, 5
R. Barbosa, 19
R. Barbosa, 598
R. Batista, 51
R. Bruna Mendes, S/N
R. Bárbara Antunes, 90
R. Camila Abreu, 31
R. Campos, 106
R. Cardoso, 31
R. Carneiro, S/N
R. Central, 26
R. Cláudio Henriques, 648
R. Coelho, 9
R. Cunha, 6
R. César Maia, 7
R. Daniel Lourenço, 973
R. Denis Jesus, 52
R. Denis Nunes, 99
R. Domingues, 4
R. Domingues, S/N
R. Edgar Branco, 46
R. Edgar Rodrigues, 3
R. Eduarda Pacheco, 93
R. Emília Simões, 32
R. Esteves, 65
R. Fabiana Martins, 245
R. Fabiana Nunes, 761
R. Fabiana Paiva, 2
R. Fernanda de Castro, S/N
R. Ferreira, 69
R. Ferreira, 85
R. Filipa Maia, 64
R. Fonseca, 6
R. Fonseca, S/N
R. Francisca Castro, 33
R. Francisco Pinheiro, 33
R. Frederico Cardoso, 81
R. Freitas, 54
R. Garcia de Orta ao Parque das Nações, 76
R. Garcia, 83
R. Garcia, 94
R. Gerais, 11
R. Goelas de Pau, 467
R. Gonçalves, 28
R. Gonçalves, 537
R. Grande, 40
R. Guerreiro, 4
R. Guerreiro, 63
R. Henrique Esteves, 28
R. Henriques, 95
R. Iara Batista, 135
R. Inês Lima, 36
R. Inês Pinho, 92
R. Isaac Gomes, 392
R. Isabel Carneiro, S/N
R. Isabel Garcia, 90
R. Isabela Azevedo, 97
R. Ivan Guerreiro, 43
R. Jaime Lourenço, 76
R. José Henriques, 5
R. Juliana Fernandes, 5
R. Lara Correia, 5
R. Leandro Vicente, S/N
R. Lopes, S/N
R. Loureiro, S/N
R. Luca Teixeira, 62
R. Lucas Teixeira, 48
R. Luciana Assunção, 124
R. Luís Faria, 678
R. Madalena Azevedo, S/N
R. Madrid, 98
R. Mafalda Ramos, 52
R. Manuel Gonçalves Moreira, 9
R. Mariana Santos, 4
R. Mariana Simões, S/N
R. Matias, 14
R. Matias, 18
R. Matias, 286
R. Matos, 679
R. Melo, S/N
R. Micael Campos, 65
R. Monteiro, 22
R. Monteiro, 71
R. Monteiro, 9
R. Morais, 437
R. Moura, 35
R. Moura, 70
R. Márcio Torres, 411
R. Mário Costa, 2
R. Nair Pinto, 6
R. Nascimento, 41
R. Nascimento, 77
R. Nelson Mandela, S/N
R. Nádia Loureiro, 95
R. Núria Simões, 327
R. Pacheco, 60
R. Paris (Poente), 7
R. Paulo Marques, S/N
R. Pereira, 4
R. Pilar Henriques, 59
R. Pinheiro, 38
R. Pinho, 14
R. Pires, 23
R. Prof. António José Saraiva, 1
R. Professor José Conde, S/N
R. Pupilos do Exército, 142
R. Ramos, 38
R. Raquel Araújo, 76
R. Reis, 47
R. Reis, 92
R. Reis, 959
R. Renato Henriques, 47
R. Rocha, S/N
R. Rodrigues, 73
R. Rodrigues, S/N
R. Salomé Coelho, 337
R. Salvador Nascimento, 954
R. Salvador Pinheiro, 87
R. Santos, 9
R. Sebastião Esteves, 654
R. Sebastião Sá, 91
R. Silva Porto, 3
R. Soares, 3
R. Sofia Ferreira, 57
R. Soraia Ramos, S/N
R. Sousa, S/N
R. Sérgio Abreu, 63
R. Tavares, 706
R. Teresa Alves, 31
R. Vicente Magalhães, 977
R. Violeta Mendes, 73
R. William Antunes, 701
R. Xavier Vicente, S/N
R. da Bela Vista, 93
R. da Bouça, 11
R. da Conceição, 5
R. da Estiva, 107
R. da Estiva, 725
R. da Feiteira, 617
R. da Galega, 3
R. da Póvoa, 648
R. da Rainha, 9
R. da Ranha, S/N
R. da Raposa, 35
R. da Vila Expo, 47
R. das Amoreiras, 253
R. das Andrezas, 9
R. das Chagas, S/N
R. das Congostas, 79
R. das Fontainhas, 38
R. das Japoneiras, 5
R. de Abreu, 8
R. de Amaral, 414
R. de Amorim, 4
R. de Amorim, 6
R. de Antero de Figueiredo, 6
R. de Araújo, S/N
R. de Assunção, 517
R. de Azevedo, 43
R. de Azevedo, 7
R. de Baixo, 8
R. de Baptista, 8
R. de Barbosa, 19
R. de Barros, 21
R. de Branco, S/N
R. de Cardoso, 7
R. de Cardoso, S/N
R. de Correia, 30
R. de Cunha, 55
R. de Cunha, 69
R. de Cunha, S/N
R. de D. Pedro Pitões, 6
R. de D. Pedro Pitões, 84
R. de Esteves, S/N
R. de Fernão de Magalhães, 534
R. de Fonseca, 15
R. de Freitas, 1
R. de Garcia, 6
R. de Gonçalves, 894
R. de Henriques, 2
R. de Henriques, 25
R. de Henriques, 94
R. de Irene de Castro, S/N
R. de Jesus, 87
R. de João Augusto Ribeiro, 45
R. de João do Carmo, 4
R. de Leal, 542
R. de Leite, S/N
R. de Lima, 968
R. de Machado, 79
R. de Matos, 32
R. de Matos, 660
R. de Monteiro, 41
R. de Montevideu, 762
R. de Morais, 6
R. de Morais, 600
R. de Moreira, 49
R. de Mota, 897
R. de Mota, S/N
R. de Moura, 57
R. de Moura, 90
R. de Neptuno, 43
R. de Neto, S/N
R. de Nunes, 362
R. de Nunes, 83
R. de Paiva, 68
R. de Pereira, 3
R. de Pinheiro, 19
R. de Ramalde, 5
R. de Reis, 8
R. de Ribeiro, 8
R. de S. João da Foz, 14
R. de S. Mamede, 223
R. de Simões, 62
R. de Soares, 127
R. de Sá, S/N
R. de Tavares, 21
R. de Ulisses, 8
R. de Valente, 311
R. de Vaz, 725
R. de Vaz, S/N
R. de Vicente, 4
R. do Barcal, 57
R. do Brasil (Porto), 48
R. do Carvalhão, 712
R. do Castelo, 11
R. do Castelo, S/N
R. do Conselho da Europa, 29
R. do Dr. António Macedo, 93
R. do Dr. Fernando de Azeredo Antas, 84
R. do Monte da Lapa, 57
R. do Monte da Pena, 23
R. do Monte de S. João, 84
R. do Monte, 9
R. do Ouro, 9
R. do Passeio Alegre, 455
R. do Peneireiro, 21
R. do Rosário, 74
R. do Seminário, 64
R. dos Flamingos, 89
R. dos Heróis do Mar, S/N
Rua Abreu, 34
Rua Afonso de Albuquerque, S/N
Rua Alexandra Faria, 57
Rua Alexandre Mota, 31
Rua Almeida, 75
Rua Alves, 14
Rua Amaral, 2
Rua Amorim, 8
Rua Ana Leal, 61
Rua Ana Leite, 2
Rua Andreia Garcia, S/N
Rua André Neves, S/N
Rua Anita Abreu, S/N
Rua Anita Macedo, 45
Rua Anjos, 26
Rua Barbosa, S/N
Rua Batista, S/N
Rua Benedita Azevedo, S/N
Rua Benjamim Santos, 4
Rua Bianca Vieira, 369
Rua Borges, 50
Rua Branco, 1
Rua Branco, 18
Rua Branco, S/N
Rua Bruno Esteves, 47
Rua Bruno Sá, 30
Rua Bryan Pereira, S/N
Rua Camila Reis, S/N
Rua Campos, 11
Rua Campos, 17
Rua Campos, 85
Rua Carlota Costa, 24
Rua Carminho Barros, S/N
Rua Carolina Fernandes, 28
Rua Catarina Campos, 53
Rua Clara Monteiro, S/N
Rua Coelho, 7
Rua Costa, 52
Rua Costa, 55
Rua César Fonseca, 69
Rua César Oliveira, 2
Rua D. Carlos I ao Parque das Nações, 80
Rua Daniela Alves, S/N
Rua Diana Figueiredo, S/N
Rua Dinis Machado, 48
Rua Diogo Gaspar, S/N
Rua Domingues, 88
Rua Duarte Rodrigues, 18
Rua Débora Alves, 18
Rua Débora Vaz, 458
Rua Esteves, 589
Rua Faria, 23
Rua Fernandes, 90
Rua Fernandes, S/N
Rua Fernando Soares, 62
Rua Figueiredo, 1
Rua Fonseca, 12
Rua Fonseca, 95
Rua Frederico Azevedo, 16
Rua Freitas, 97
Rua Gonçalves, S/N
Rua Henriques, 35
Rua Iara Paiva, 46
Rua Igor Martins, 45
Rua Inês Jesus, 301
Rua Irina Cruz, 46
Rua Ivan Almeida, 23
Rua Jaime Santos, 535
Rua Jaime Vaz, 83
Rua Joana Jesus, 4
Rua Jorge Anjos, 992
Rua José Luís Nunes, 55
Rua Juliana Cunha, S/N
Rua Juliana Figueiredo, 23
Rua Jéssica Gomes, 3
Rua Júlia Coelho, 10
Rua Larissa Amorim, S/N
Rua Larissa Anjos, 341
Rua Loureiro, 345
Rua Lourenço, 67
Rua Luciana Maia, S/N
Rua Lúcia Pinto, S/N
Rua Macedo, S/N
Rua Machado, 2
Rua Mafalda Lopes, S/N
Rua Magalhães, 50
Rua Marco Lopes, S/N
Rua Marta Morais, S/N
Rua Matias, 21
Rua Matias, 564
Rua Matilde Pereira, 152
Rua Mendes, 369
Rua Morais, 63
Rua Mota, 107
Rua Mota, 55
Rua Moura, 9
Rua Mélanie Brito, 38
Rua Neto, 307
Rua Noa Campos, S/N
Rua Noa Matos, S/N
Rua Oliveira, 784
Rua Rafael Santos, 55
Rua Ramos, 80
Rua Raquel Vicente, 60
Rua Renata Teixeira, 15
Rua Ribeiro, 33
Rua Ribeiro, 5
Rua Rodrigues, 83
Rua S. Bartolomeu, 18
Rua S. Bartolomeu, 75
Rua Samuel Pinto, S/N
Rua Santos, 37
Rua Sara Amaral, S/N
Rua Silva, 23
Rua Silva, 96
Rua Simão Garcia, 67
Rua Simões, 41
Rua Simões, S/N
Rua Soares, S/N
Rua Sophia de Mello Breyner Andresen, 10
Rua Sophia de Mello Breyner Andresen, 28
Rua Sá, 8
Rua Tavares, 39
Rua Tavares, 56
Rua Teixeira, 3
Rua Teixeira, 8
Rua Teresa Pereira, 92
Rua Tiago Carneiro, 33
Rua Tomé Castro, 41
Rua Valente, 7
Rua Valentim Cardoso, 6
Rua Valentina Moreira, 4
Rua Vasco Baptista, 4
Rua Vaz, 73
Rua Vicente, 6
Rua Victória Moura, 95
Rua Vieira, 32
Rua da Alfândega, 4
Rua da Boa Viagem, 585
Rua da Graça, 87
Rua da Ilha do Ferro, S/N
Rua da Senhora da Lapa, 30
Rua da Vitória, 414
Rua da Vitória, 77
Rua das Ondas, 82
Rua das Pirogas, 66
Rua de Almeida, 30
Rua de Andrade, 656
Rua de Anjos, 953
Rua de Anjos, S/N
Rua de Antero de Quental, 55
Rua de Araújo, 552
Rua de Arnaldo Gama, S/N
Rua de Assunção, 757
Rua de Barros, 543
Rua de Barros, 61
Rua de Batista, 78
Rua de Bernarda Ferreira Lacerda, S/N
Rua de Borges, S/N
Rua de Branco, 176
Rua de Brito, 795
Rua de Campolide, 69
Rua de Campos, 31
Rua de Cardoso, 5
Rua de Castro, 12
Rua de Castro, 618
Rua de Coelho, 6
Rua de Costa, 45
Rua de Cruz, 43
Rua de D. João II, 9
Rua de Ferreira, 28
Rua de Ferreira, 75
Rua de Figueiredo, 4
Rua de Gonçalves, S/N
Rua de Leal, S/N
Rua de Leite, 767
Rua de Leite, S/N
Rua de Lopes, 11
Rua de Lopes, 74
Rua de Loureiro, 2
Rua de Macedo, 8
Rua de Maia, 85
Rua de Melo, 5
Rua de Mendes, 77
Rua de Miranda, 16
Rua de Miranda, S/N
Rua de Monchique, 27
Rua de Morais, 73
Rua de Moreira, 32
Rua de Neto, 57
Rua de Neves, 35
Rua de Neves, 51
Rua de Nogueira, 621
Rua de Nogueira, 98
Rua de Nunes, 2
Rua de Oliveira, 885
Rua de Paiva, 77
Rua de Palma de Cima, 5
Rua de Pereira, 140
Rua de Pereira, 578
Rua de Pinho, 31
Rua de Pinto, 2
Rua de Pinto, S/N
Rua de Pires, 96
Rua de Ramalde, 2
Rua de Reis, 64
Rua de Rodrigues, 52
Rua de S. Francisco de Borja, 7
Rua de Santo Estêvão, 7
Rua de Silva, 81
Rua de Soares, 220
Rua de Sousa, 38
Rua de Sá, 12
Rua de São Miguel, 37
Rua de Tavares, 81
Rua de Torres, 606
Rua de Ulisses, 43
Rua de Valente, 32
Rua de Vaz, 22
Rua de Vicente, 22
Rua de Vicente, 41
Rua de Vieira, 98
Rua do Alto do Varejão, 95
Rua do Arboreto, 7
Rua do Cais das Pedras, 7
Rua do Cantábrico, 76
Rua do Monte dos Judeus, 29
Rua do Monte dos Judeus, 30
Rua dos Aliados, 15
Rua dos Aliados, 46
Rua dos Olivais, 46
Rua Ângela Batista, 3
Rua Ângela Leite, 33
Rua Ângelo Mendes, 34
Rua Érica Barros, 4
Rua Íris Alves, 31
Travessa Adriana Fonseca, S/N
Travessa Afonso Oliveira, 883
Travessa Alice Cruz, S/N
Travessa Alves, 14
Travessa Alves, 24
Travessa Alves, 326
Travessa Alícia Oliveira, 994
Travessa Alícia Ribeiro, 23
Travessa Amorim, 77
Travessa Amorim, S/N
Travessa Amália Rodrigues, 9
Travessa Amália Rodrigues, 981
Travessa Andrade, 37
Travessa Anjos, S/N
Travessa Antunes, 5
Travessa Antunes, S/N
Travessa António Teixeira, 417
Travessa Araújo, 9
Travessa Areeiro, 33
Travessa Assunção, 94
Travessa Azevedo, 59
Travessa Baptista, 84
Travessa Barbosa, 76
Travessa Batista, 153
Travessa Bernardo Leal, 492
Travessa Borges, 5
Travessa Bruna Pinho, 68
Travessa Bárbara Moreira, 41
Travessa Campos, 61
Travessa Campos, 95
Travessa Carlos Maia, 265
Travessa Carneiro, 746
Travessa Carneiro, S/N
Travessa Carolina Domingues, 188
Travessa Carolina Oliveira, 195
Travessa Castro, 65
Travessa Castro, 997
Travessa Catarina Almeida, 76
Travessa Catarina Lima, S/N
Travessa Coelho, 1
Travessa Constança Martins, 63
Travessa Costa, S/N
Travessa Cunha, 54
Travessa Cunha, 57
Travessa D. Carlos I ao Parque das Nações, 34
Travessa Daniel Fernandes, 79
Travessa Dinis Gaspar, S/N
Travessa Diogo Amorim, 70
Travessa Domingues, 2
Travessa Edgar Cardoso, 194
Travessa Edgar Cardoso, 4
Travessa Eduardo VII de Inglaterra, 5
Travessa Emanuel Matos, S/N
Travessa Enzo Abreu, S/N
Travessa Erica Machado, 93
Travessa Erika Ferreira, 40
Travessa Fabiana Anjos, 92
Travessa Faria, 33
Travessa Faria, 91
Travessa Ferreira, 459
Travessa Ferreira, 8
Travessa Filipa Matos, 3
Travessa Freitas, 20
Travessa Garcia, 653
Travessa Gaspar Nunes, 34
Travessa Gomes, 80
Travessa Henriques, 61
Travessa Herculano, 43
Travessa Hugo Ferreira, 35
Travessa Jesus, S/N
Travessa Joel Branco, S/N
Travessa Jorge Paiva, 51
Travessa Jorge Tavares, 56
Travessa João Baptista, 2
Travessa João Jayme Faria Affonso, 56
Travessa João Reis, 84
Travessa Júlia Melo, 21
Travessa Kelly Soares, 2
Travessa Kyara Vaz, 83
Travessa Leal, S/N
Travessa Lopes, 6
Travessa Loureiro, 20
Travessa Lourenço, 35
Travessa Lucas Carneiro, 478
Travessa Lucas Ramos, 1
Travessa Luciana Amaral, 86
Travessa Luciana Gaspar, 90
Travessa Luna Neto, 975
Travessa Lúcia Garcia, S/N
Travessa Macedo, 7
Travessa Macedo, 716
Travessa Maestro Ivo Cruz, 37
Travessa Maia, S/N
Travessa Manuel Gonçalves Moreira, 53
Travessa Manuel Pinto de Azevedo Júnior, 451
Travessa Mara Fonseca, 57
Travessa Marco Branco, 452
Travessa Mariana Campos, 777
Travessa Martim Araújo, 788
Travessa Mateus Freitas, 53
Travessa Matias, 292
Travessa Matos, 574
Travessa Mendes, 30
Travessa Mendes, 56
Travessa Miguel Paiva, 65
Travessa Morais, 148
Travessa Moreira, S/N
Travessa Mota, S/N
Travessa Moura, 588
Travessa Moura, 74
Travessa Nascimento, 1
Travessa Nascimento, 7
Travessa Noa Marques, S/N
Travessa Nunes, 2
Travessa Pacheco, 83
Travessa Padre Álvaro Proença, 66
Travessa Paris (Poente), 8
Travessa Pequeno, 60
Travessa Pinheiro, 196
Travessa Pinheiro, S/N
Travessa Pinto, 58
Travessa Pinto, 65
Travessa Pinto, 9
Travessa Prof. António José Saraiva, 78
Travessa Pupilos do Exército, 11
Travessa Reis, 454
Travessa República Argentina, 85
Travessa Rita Baptista, 93
Travessa Rita Macedo, S/N
Travessa Rocha, 41
Travessa Rodrigues, 34
Travessa Rodrigues, 949
Travessa Rodrigues, S/N
Travessa Roma, 1
Travessa S. Bartolomeu, 3
Travessa Salvador Borges, 47
Travessa Severo Portela, 55
Travessa Silva, 22
Travessa Sophia de Mello Breyner Andresen, 31
Travessa Tavares, 85
Travessa Teresa Branco, 1
Travessa Tomás Barros, 65
Travessa Tomás Guerreiro, 39
Travessa Valente, 681
Travessa Valentina Silva, 35
Travessa Vaz, 55
Travessa Vieira, 15
Travessa Vieira, 688
Travessa Vítor Neto, S/N
Travessa Xavier Loureiro, 87
Travessa da Foz, 58
Travessa da Quinta de Santo António, 3
Travessa da Rua Duque de Palmela, 19
Travessa da Sé, 2
Travessa das Antas, 11
Travessa das Conchas, 225
Travessa das Portas do Mar, 76
Travessa das Sereias, 93
Travessa de Amaral, 871
Travessa de Andrade, 7
Travessa de Antunes, 9
Travessa de Araújo, 38
Travessa de Arnaldo Gama, S/N
Travessa de Assunção, S/N
Travessa de Azevedo, 7
Travessa de Azevedo, 81
Travessa de Azevedo, 99
Travessa de Barros, 760
Travessa de Batista, 34
Travessa de Borges, 75
Travessa de Brito, 2
Travessa de Campos, S/N
Travessa de Cardoso, 36
Travessa de Cardoso, 616
Travessa de Carneiro, 999
Travessa de Carreiras, 5
Travessa de Carvalho, 51
Travessa de Costa, 9
Travessa de Domingues, 28
Travessa de Domingues, 6
Travessa de Eduardo Soares, 2
Travessa de Esteves, 18
Travessa de Estêvão Vasconcelos, 31
Travessa de Faria, 60
Travessa de Figueiredo, 586
Travessa de Freitas, 25
Travessa de Freitas, 89
Travessa de Garcia, 21
Travessa de Gaspar, 32
Travessa de Gonçalves, 27
Travessa de Guerreiro, 54
Travessa de Gustavo Eiffel, 65
Travessa de Henriques, 98
Travessa de Jesus, S/N
Travessa de Leal, 42
Travessa de Leal, S/N
Travessa de Lima, 11
Travessa de Lima, 450
Travessa de Machado, 46
Travessa de Magalhães, 6
Travessa de Maia, 3
Travessa de Marques de Oliveira, 847
Travessa de Matias, 52
Travessa de Miranda, 691
Travessa de Monteiro, 4
Travessa de Moreira, 21
Travessa de Moreira, S/N
Travessa de Nascimento, 12
Travessa de Neto, 2
Travessa de Neves, 53
Travessa de Oliveira, 9
Travessa de Paiva, 4
Travessa de Paiva, S/N
Travessa de Pereira, 32
Travessa de Pinheiro, 58
Travessa de Pinho, 12
Travessa de Pires, S/N
Travessa de Reis, S/N
Travessa de Ribeiro, 16
Travessa de Ribeiro, 2
Travessa de Rocha, 7
Travessa de Rodrigues, 70
Travessa de Santos, 153
Travessa de Simões, 726
Travessa de Sousa, 18
Travessa de São Francisco, 9
Travessa de Teixeira, 34
Travessa de Torres, 25
Travessa de Viterbo de Campos, 491
Travessa do Bessa, 87
Travessa do Buraco, 77
Travessa do Caminho Novo, 911
Travessa do Carrasco, 90
Travessa do Carvalhão, 67
Travessa do Leal, 7
Travessa do Mar, 624
Travessa do Marechal Gomes da Costa, 78
Travessa do Meiral, 31
Travessa do Mercado, 59
Travessa do Monte Cativo, 2
Travessa do Monte de S. João, 33
Travessa do Paço, 622
Travessa do Pedregulho, 77
Travessa do Pinzaleiro, 8
Travessa do Roleto, 46
Travessa do Sapal, 237
Travessa do Seminário, 1
Travessa do Sextante, 8
Travessa do Viso, S/N
Travessa dos Anjos, 7
Travessa dos Combatentes da Grande Guerra, S/N
Travessa dos Moinhos, 88
Travessa dos Mártires da Pátria, 94
Travessa dos Navegadores, 63
Travessa Álvaro Leite, 28
Travessa Íris Pinheiro, S/N
