Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/3.0)
Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.1)
Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/5.0)
Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/5.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/3.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/3.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/4.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/4.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/5.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/5.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/3.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/3.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/4.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/4.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/5.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/5.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/4.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/4.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/5.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/5.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/3.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/3.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/4.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/4.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/5.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/5.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/3.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/3.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/4.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/4.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 11.0; Trident/3.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 11.0; Trident/3.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 11.0; Trident/4.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 11.0; Trident/4.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 11.0; Trident/5.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 11.0; Trident/5.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/3.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/3.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/4.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/3.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/3.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/4.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/4.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/5.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/5.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/4.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/4.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/5.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/5.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/3.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/3.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/5.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/5.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/3.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/3.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/4.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/4.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/5.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/5.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/3.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/3.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/4.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/4.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/3.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/3.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/4.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/4.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/3.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/3.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/4.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/4.1)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/5.0)
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/5.1)
