300 არაგველის ქ. 01, ტყვარჩელი
თავაძე ფერდინანდის ქ. 55, ტყიბული
თავაძე ფერდინანდის ქ. 92, ყვარელი
თამარაშენის ქ. 41, სიღნაღი
თამარაშვილი მიხეილის ქ. 35, ოჩამჩირე
თამარაშვილი მიხეილის ქ. 78, სიღნაღი
თამარაშვილი მიხეილის ქ. 89, ჭიათურა
თამარაშვილი მიხეილის ქ. 92, ლაგოდეხი
თამარაშვილი მიხეილის ქ. 95, გურჯაანი
თარხნიშვილის ქ. 01, ლაგოდეხი
თარხნიშვილის ქ. 47, ცაგერი
თაქთაქიშვილის ქ. 01, ვალე
თაქთაქიშვილის ქ. 01, ლაგოდეხი
თაქთაქიშვილის ქ. 80, დმანისი
თაქთაქიშვილის ქ. 97, ონი
თაყაიშვილი სესილიას ქ. 32, ახმეტა
თაყაიშვილი სესილიას ქ. 69, გაგრა
თევდორე მღვდლის ქ. 31, მცხეთა
თეთნულდის ქ. 38, მცხეთა
თეთნულდის ქ. 39, ბათუმი
თეთნულდის ქ. 57, ახმეტა
თეთნულდის ქ. 68, წყალტუბო
თეთნულდის ქ. 76, კასპი
თეთრიწყაროს ქ. 91, ხობი
თელავის ქ. 36, გალი
თელავის ქ. 39, ხობი
თელავის ქ. 92, სამტრედია
თელეთის ქ. 72, ოჩამჩირე
თელეთის ქ. 99, ახმეტა
თერგის ქ. 78, გარდაბანი
თეძმის ქ. 01, ლანჩხუთი
თეძმის ქ. 04, სამტრედია
თეძმის ქ. 43, თელავი
თეძმის ქ. 46, წალენჯიხა
თეძმის ქ. 97, კასპი
თვალჭრელიძის ქ. 78, ლაგოდეხი
თვალჭრელიძის ქ. 83, ხონი
თიანეთის ქ. 11, აბაშა
თიანეთის ქ. 31, ვანი
თიანეთის ქ. 35, გარდაბანი
თიანეთის ქ. 83, ბაღდათი
თიანეთის ქ. 96, ხაშური
თმოგველის ქ. 08, წყალტუბო
თმოგველის ქ. 53, ამბროლაური
თმოგველის ქ. 57, დუშეთი
თმოგვის ქ. 62, თეთრიწყარო
თოიძის ქ. 68, აბაშა
თოიძის ქ. 73, ვანი
თოიძის ქ. 98, დედოფლისწყარო
თოიძის ქ. 98, თბილისი
თონეს ქ. 53, ქარელი
თონეს ქ. 99, წალკა
თორაძის ქ. 73, გუდაუთა
თოფურიას ქ. 10, ტყიბული
თოფურიას ქ. 95, გაგრა
თრიალეთის ქ. 60, ცხინვალი
თრიალეთის ქ. 92, საგარეჯო
თუმანიანის ქ. 64, ზუგდიდი
თხინვალის ქ. 35, ბაღდათი
იამანიძე შოთას ქ. 65, სიღნაღი
იამანიძე შოთას ქ. 86, წალენჯიხა
იაშვილი პაოლოს ქ. 52, ხონი
იაშვილი პაოლოს ქ. 70, ბაღდათი
იაშვილი პაოლოს ქ. 95, ლანჩხუთი
იბრაჰიმ ისპაჰანელის ქ. 05, ოზურგეთი
იბრაჰიმ ისპაჰანელის ქ. 96, ტყვარჩელი
იდუმალას ქ. 24, მარტვილი
იდუმალას ქ. 44, სიღნაღი
იდუმალას ქ. 58, ხობი
იდუმალას ქ. 70, გორი
იდუმალას ქ. 77, ყვარელი
იეთიმ გურჯის ქ. 78, დმანისი
იერუსალიმის ქ. 59, მარტვილი
იერუსალიმის ქ. 87, ლაგოდეხი
ივერიის ქ. 01, დუშეთი
ივერიის ქ. 87, ხონი
ივლეთის ქ. 97, ხობი
იზაშვილის ქ. 01, ყვარელი
იზაშვილის ქ. 14, თელავი
იზაშვილის ქ. 55, წალენჯიხა
იზაშვილის ქ. 63, კასპი
ილორის ქ. 04, წალკა
ილორის ქ. 10, ბორჯომი
ილორის ქ. 39, სიღნაღი
ილორის ქ. 51, ხაშური
ილორის ქ. 51, ჯვარი
ილორის ქ. 82, მცხეთა
ილურიძე კონსტანტინეს ქ. 26, ქარელი
ილურიძე კონსტანტინეს ქ. 28, ახალქალაქი
ილურიძე კონსტანტინეს ქ. 68, ცხინვალი
იმედაშვილი გაიოზის ქ. 64, დმანისი
იმერეთის ქ. 48, ნინოწმინდა
ინანიშვილი რამაზის ქ. 27, წყალტუბო
ინგოროყვა პავლეს ქ. 78, დედოფლისწყარო
იორის ქ. 11, ზესტაფონი
იოსებიძის ქ. 14, ქობულეთი
იოსებიძის ქ. 53, დმანისი
იოსებიძის ქ. 67, კასპი
იოსელიანის ქ. 05, გაგრა
იოსელიანის ქ. 70, მცხეთა
იოსელიანის ქ. 75, საგარეჯო
იოსელიანის ქ. 79, საჩხერე
იოსელიანის ქ. 94, გორი
იოსელიანის ქ. 97, თერჯოლა
იპოლიტე-ივანოვის ქ. 18, გარდაბანი
იპოლიტე-ივანოვის ქ. 34, ჯვარი
ირბაქი ნიკიფორეს ქ. 39, ოჩამჩირე
ირგვლივის ქ. 17, ქუთაისი
ირგვლივის ქ. 43, ცხინვალი
ირგვლივის ქ. 61, ზუგდიდი
ისაკიანის ქ. 15, ბორჯომი
ისაკიანის ქ. 48, წალენჯიხა
ისაკიანის ქ. 60, ლანჩხუთი
ისაკიანის ქ. 74, ხონი
ისაკიანის ქ. 79, მცხეთა
ისაკიანის ქ. 81, სამტრედია
ისნის ქ. 10, გაგრა
იფნის ქ. 41, ცაგერი
იფნის ქ. 82, სოხუმი
კავსაძის ქ. 55, მარტვილი
კავსაძის ქ. 85, დმანისი
კაიშაურის ქ. 37, თეთრიწყარო
კაიშაურის ქ. 65, დედოფლისწყარო
კაკაბაძეების ქ. 66, ცაგერი
კაკაბაძეების ქ. 86, ტყიბული
კაკაბაძეების ქ. 97, ტყიბული
კაკლიანის ქ. 44, გარდაბანი
კაკლიანის ქ. 87, გორი
კალატოზის ქ. 28, წალენჯიხა
კალატოზის ქ. 53, წალენჯიხა
კალატოზის ქ. 67, ახმეტა
კალოუბნის ქ. 22, ლაგოდეხი
კანდელაკის ქ. 03, რუსთავი
კანდელაკის ქ. 18, ქობულეთი
კანდელაკის ქ. 82, მარტვილი
კანკავას ქ. 15, ტყვარჩელი
კაპანაძის ქ. 00, გალი
კაპანაძის ქ. 34, ონი
კაპანაძის ქ. 77, ლაგოდეხი
კარალეთის ქ. 71, წნორი
კასპის ქ. 29, ფოთი
კაჭრეთის ქ. 13, ბათუმი
კაჭრეთის ქ. 28, ზუგდიდი
კაჭრეთის ქ. 61, ბორჯომი
კაჭრეთის ქ. 91, ქუთაისი
კახიანის ქ. 72, ფოთი
კელაპტრიშვილი ომარის ქ. 10, თბილისი
კელაპტრიშვილი ომარის ქ. 51, ახალქალაქი
კერესელიძე არჩილის ქ. 51, ტყიბული
კერესელიძე არჩილის ქ. 61, ლანჩხუთი
კერესელიძე არჩილის ქ. 86, ოზურგეთი
კერესელიძე არჩილის ქ. 88, ფოთი
კერესელიძის ქ. 77, წნორი
კეცხოველი ნიკოს ქ. 01, დედოფლისწყარო
კეცხოველი ნიკოს ქ. 10, ლაგოდეხი
კეცხოველი ნიკოს ქ. 26, ხონი
კეცხოველი ნიკოს ქ. 29, ჯვარი
კვალეთის ქ. 55, საჩხერე
კვალეთის ქ. 62, სიღნაღი
კვალის ქ. 01, ფოთი
კვალის ქ. 03, ოჩამჩირე
კვალის ქ. 75, ოჩამჩირე
კვანტალიანის ქ. 24, ოჩამჩირე
კვანტალიანის ქ. 26, მარტვილი
კვანტალიანის ქ. 41, ოჩამჩირე
კვანტალიანის ქ. 96, სიღნაღი
კვანტალიანის ქ. 98, ნინოწმინდა
კვერნაულის ქ. 14, მარნეული
კვესეთის ქ. 03, გალი
კვესეთის ქ. 63, სენაკი
კვესეთის ქ. 69, საგარეჯო
კიევის ქ. 15, სიღნაღი
კიევის ქ. 97, ახმეტა
კიკეთის ქ. 72, სიღნაღი
კისისხევის ქ. 67, წნორი
კისისხევის ქ. 88, საჩხერე
კიშინიოვის ქ. 00, ცხინვალი
კიშინიოვის ქ. 58, ახალქალაქი
კლდეკარის ქ. 00, ბორჯომი
კლდიაშვილის ქ. 37, საჩხერე
კლდიაშვილის ქ. 89, თბილისი
კნოლევის ქ. 29, ხაშური
კნოლევის ქ. 36, ქარელი
კნოლევის ქ. 77, მცხეთა
კობახიძის ქ. 30, საჩხერე
კობახიძის ქ. 35, ახმეტა
კობახიძის ქ. 64, ოზურგეთი
კობახიძის ქ. 80, ვალე
კობახიძის ქ. 97, საგარეჯო
კობერიძის ქ. 42, ქუთაისი
კობერიძის ქ. 47, თეთრიწყარო
კობერიძის ქ. 81, მარტვილი
კოდალოს ქ. 51, ქობულეთი
კოდალოს ქ. 80, დუშეთი
კოდალოს ქ. 87, ცხინვალი
კოდორის ქ. 91, ფოთი
კოკინაკის ქ. 79, ბორჯომი
კოკინაკის ქ. 86, კასპი
კოლმეურნეობის ველის ქ. 01, მცხეთა
კოლმეურნეობის ველის ქ. 05, ახალქალაქი
კოლმეურნეობის ველის ქ. 48, ქობულეთი
კოლმეურნეობის ველის ქ. 57, სენაკი
კოლხეთის ქ. 10, გარდაბანი
კოლხეთის ქ. 33, ტყვარჩელი
კომუნის ქ. 04, გალი
კომუნის ქ. 19, გუდაუთა
კომუნის ქ. 63, ახალციხე
კომუნის ქ. 68, ქარელი
კომუნის ქ. 81, გუდაუთა
კომუნის ქ. 86, ხაშური
კონდოლის ქ. 10, ჭიათურა
კონდოლის ქ. 84, ქობულეთი
კოსტავას ქ. 66, ონი
კოსტავას ქ. 75, წნორი
კოტეტიშვილი ვახტანგის ქ. 31, ნინოწმინდა
კოტეტიშვილი ვახტანგის ქ. 47, ახალციხე
კოტეტიშვილი ვახტანგის ქ. 54, სოხუმი
კოფცოვის ქ. 14, ცაგერი
კოფცოვის ქ. 42, ოზურგეთი
კოშკოვანის ქ. 13, ხობი
კოშკოვანის ქ. 34, ახალი ათონი
კოხრეიძის ქ. 10, ქობულეთი
კოხრეიძის ქ. 77, ბათუმი
კოჯრის ქ. 69, ქუთაისი
კოჯრის ქ. 90, დმანისი
კრწანისის ქ. 35, საჩხერე
კრწანისის ქ. 91, ცაგერი
კრწანისის ქ. 96, ყვარელი
კრწანისის ქ. 97, საგარეჯო
კუმისის ქ. 89, კასპი
კუპრაძის ქ. 06, წალკა
კუპრაძის ქ. 11, წნორი
კუპრაძის ქ. 19, გურჯაანი
კუპრაძის ქ. 99, ჯვარი
კურნატოვსკის ქ. 31, ტყიბული
კურსკის ქ. 07, ოჩამჩირე
კურსკის ქ. 29, ნინოწმინდა
კურსკის ქ. 55, სიღნაღი
კურსკის ქ. 84, ზესტაფონი
კუფტინის ქ. 08, წალკა
კუფტინის ქ. 28, ხონი
კუფტინის ქ. 29, ტყვარჩელი
კუფტინის ქ. 47, თბილისი
კუფტინის ქ. 50, ტყვარჩელი
კუფტინის ქ. 88, წყალტუბო
ლ. ელიავას ქ. 83, ლაგოდეხი
ლაგოდეხის ქ. 52, ქარელი
ლაითურის ქ. 76, ოჩამჩირე
ლაითურის ქ. 97, ნინოწმინდა
ლაილაშის ქ. 45, წალკა
ლაილაშის ქ. 62, მარტვილი
ლამის ქ. 16, გალი
ლამის ქ. 17, ახმეტა
ლამის ქ. 27, ქობულეთი
ლამის ქ. 34, საჩხერე
ლამისყანის ქ. 07, ქარელი
ლამისყანის ქ. 18, ქობულეთი
ლანჩხუთის ქ. 57, ხონი
ლარეხის ქ. 06, ამბროლაური
ლარეხის ქ. 72, ვალე
ლარეხის ქ. 93, ჯვარი
ლარსის ქ. 18, გაგრა
ლაღიძე მიტროფანეს ქ. 60, დედოფლისწყარო
ლაღიძე რევაზის ქ. 29, აბაშა
ლებარდეს ქ. 67, დუშეთი
ლეკიშვილის ქ. 02, ყვარელი
ლეკიშვილის ქ. 47, ახალი ათონი
ლენტეხის ქ. 02, ხაშური
ლენტეხის ქ. 25, თელავი
ლენტეხის ქ. 25, ფოთი
ლენტეხის ქ. 41, ნინოწმინდა
ლენტეხის ქ. 94, ზესტაფონი
ლეონიძე გიორგის ქ. 00, ვალე
ლეონიძე გიორგის ქ. 26, გალი
ლეონიძე გიორგის ქ. 54, ბოლნისი
ლეონიძე გიორგის ქ. 83, ოზურგეთი
ლეჟავას ქ. 32, ზუგდიდი
ლეჟავას ქ. 44, ბორჯომი
ლეჟავას ქ. 89, ბაღდათი
ლეჟავას ქ. 89, გაგრა
ლერმონტოვის ქ. 00, ახალქალაქი
ლერმონტოვის ქ. 40, წყალტუბო
ლერმონტოვის ქ. 86, ბათუმი
ლერწმის ქ. 31, გორი
ლესელიძის ქ. 08, ვანი
ლესია უკრაინკას ქ. 50, ლანჩხუთი
ლესია უკრაინკას ქ. 84, ლანჩხუთი
ლეჩხუმის ქ. 29, თელავი
ლეჩხუმის ქ. 40, აბაშა
ლიახვის ქ. 04, ყვარელი
ლიახვის ქ. 07, გურჯაანი
ლიახვის ქ. 69, სიღნაღი
ლიბანის ქ. 86, წალკა
ლიკანის ქ. 05, ხაშური
ლიკანის ქ. 41, ნინოწმინდა
ლიკანის ქ. 79, ახალქალაქი
ლისაშვილის ქ. 05, ცაგერი
ლისაშვილის ქ. 49, წნორი
ლისაშვილის ქ. 56, ახალი ათონი
ლისაშვილის ქ. 89, ტყვარჩელი
ლიუბოვსკის ქ. 73, მარტვილი
ლიხაურის ქ. 16, სოხუმი
ლიხაურის ქ. 45, ხაშური
ლიხაურის ქ. 87, წალკა
ლომაურის ქ. 93, თელავი
ლომთათიძის ქ. 05, დმანისი
ლომთათიძის ქ. 09, გუდაუთა
ლომთათიძის ქ. 46, ბორჯომი
ლომთათიძის ქ. 59, ცხინვალი
ლომონოსოვის ქ. 57, ბოლნისი
ლომონოსოვის ქ. 75, ზუგდიდი
ლორთქიფანიძე გრიგოლის ქ. 41, ცაგერი
ლორთქიფანიძე გრიგოლის ქ. 75, გურჯაანი
ლორთქიფანიძის ქ. 38, ჯვარი
ლოჭინის ქ. 04, საგარეჯო
ლოჭინის ქ. 89, აბაშა
ლუბლიანას ქ. 77, ბაღდათი
ლუბლიანას ქ. 92, ვანი
ლუსიანინის ქ. 29, მცხეთა
ლუსიანინის ქ. 44, ჯვარი
ლუსიანინის ქ. 95, ონი
ლუსიანინის ქ. 97, ბოლნისი
მ. ლებანიძის ქ. 62, თბილისი
მაზნიაშვილის ქ. 29, საგარეჯო
მათიაშვილის ქ. 87, თერჯოლა
მაიაკოვსკის ქ. 24, საგარეჯო
მაიაკოვსკის ქ. 45, წალენჯიხა
მაიაკოვსკის ქ. 56, თერჯოლა
მამასახლისოვის ქ. 05, საგარეჯო
მამასახლისოვის ქ. 17, ვალე
მამასახლისოვის ქ. 71, ვანი
მამასახლისოვის ქ. 90, ონი
მამკოდის ქ. 66, დმანისი
მანაგაძე ალეხსანდეს ქ. 29, აბაშა
მანაგაძე ალეხსანდეს ქ. 33, ახალი ათონი
მანაგაძე ალეხსანდეს ქ. 41, გორი
მანაგაძე ალეხსანდეს ქ. 49, სიღნაღი
მანაგაძე ალეხსანდეს ქ. 76, თელავი
მანაგაძე ალეხსანდეს ქ. 82, საჩხერე
მანაგაძე ალეხსანდეს ქ. 91, ყვარელი
მანავის ქ. 53, სენაკი
მანგლისის ქ. 02, ონი
მანგლისის ქ. 54, ფოთი
მანგლისის ქ. 84, სოხუმი
მანგლისის ქ. 85, ამბროლაური
მანგლისის ქ. 92, წნორი
მანიჯაშვილი კახას ქ. 60, ახალქალაქი
მანიჯაშვილი კახას ქ. 86, სოხუმი
მანჯგალაძე ეროსის ქ. 24, დუშეთი
მანჯგალაძე ეროსის ქ. 55, ახალციხე
მანჯგალაძე ეროსის ქ. 98, ცაგერი
მარაბდის ქ. 92, გურჯაანი
მარგიანი რევაზის ქ. 23, ქარელი
მარგიანი რევაზის ქ. 26, გარდაბანი
მარგიანი რევაზის ქ. 32, თელავი
მარგიანი რევაზის ქ. 36, ზესტაფონი
მარგიანი რევაზის ქ. 74, სამტრედია
მარელისის ქ. 06, ნინოწმინდა
მარელისის ქ. 29, ნინოწმინდა
მარელისის ქ. 73, ბორჯომი
მარი ნიკოს ქ. 05, ჭიათურა
მარი ნიკოს ქ. 21, ქობულეთი
მარი ნიკოს ქ. 76, ცაგერი
მარიჯანის ქ. 03, ცაგერი
მარიჯანის ქ. 63, ოზურგეთი
მარტვილის ქ. 61, საგარეჯო
მარტყოფის ქ. 26, აბაშა
მარტყოფის ქ. 67, ქუთაისი
მარტყოფის ქ. 82, ზესტაფონი
მარუაშვილი გიორგის ქ. 45, მარნეული
მარუხის გმირების ქ. 16, ზუგდიდი
მარუხის გმირების ქ. 60, ცხინვალი
მარუხის გმირების ქ. 67, ქობულეთი
მარჯანიშვილი კოტეს ქ. 12, ვანი
მარჯანიშვილი კოტეს ქ. 17, მცხეთა
მარჯანიშვილი კოტეს ქ. 29, ოჩამჩირე
მარჯანიშვილი კოტეს ქ. 83, მცხეთა
მაღალაშვილის ქ. 22, თეთრიწყარო
მაღალაშვილის ქ. 29, მარტვილი
მაღალაშვილის ქ. 38, ჯვარი
მაღაროს ქ. 55, სიღნაღი
მაღაროს ქ. 84, ბოლნისი
მაჩაბელი ივანეს ქ. 23, ცაგერი
მაჩხაანის ქ. 47, ოზურგეთი
მაჩხაანის ქ. 51, თბილისი
მაჩხაანის ქ. 74, ტყვარჩელი
მაცესტის ქ. 96, თელავი
მაჭრის ქ. 81, ნინოწმინდა
მახათას ქ. 01, გაგრა
მახათას ქ. 24, ზუგდიდი
მახათას ქ. 25, სოხუმი
მახათას ქ. 31, ახალქალაქი
მახათას ქ. 40, ამბროლაური
მახათას ქ. 93, მარტვილი
მახინჯაურის ქ. 42, ქარელი
მგალობლიშვილის ქ. 02, ყვარელი
მგალობლიშვილის ქ. 36, ბაღდათი
მგალობლიშვილის ქ. 45, სამტრედია
მგალობლიშვილის ქ. 74, ფოთი
მგალობლიშვილის ქ. 76, სენაკი
მებაღიშვილის ქ. 37, ლანჩხუთი
მებაღიშვილის ქ. 42, დმანისი
მებაღიშვილის ქ. 52, თეთრიწყარო
მეგობრობის ქ. 43, ონი
მეგრელაძის ქ. 12, თერჯოლა
მეგრელაძის ქ. 37, რუსთავი
მეგრელაძის ქ. 54, ყვარელი
მეგრელაძის ქ. 86, კასპი
მეველეს ქ. 38, ტყვარჩელი
მეველეს ქ. 84, ოჩამჩირე
მელაანის ქ. 41, აბაშა
მელიქიშვილის ქ. 31, ცაგერი
მელიქიშვილის ქ. 43, ახალქალაქი
მესხეთის ქ. 20, ონი
მესხიას ქ. 32, თერჯოლა
მესხიას ქ. 37, ჭიათურა
მესხიას ქ. 57, ხობი
მესხიას ქ. 68, ნინოწმინდა
მესხიას ქ. 76, თეთრიწყარო
მესხიას ქ. 81, მცხეთა
მესხიშვილი ალექსის ქ. 01, გაგრა
მესხიშვილი ალექსის ქ. 16, წალკა
მესხიშვილი ალექსის ქ. 20, ამბროლაური
მესხიშვილი ალექსის ქ. 40, ვალე
მესხიშვილი ალექსის ქ. 41, ვალე
მეტეხის ქ. 31, დედოფლისწყარო
მეტეხის ქ. 53, ნინოწმინდა
მეუნარგიას ქ. 01, გაგრა
მეუნარგიას ქ. 52, გორი
მექანიზაციის ქ. 01, ოჩამჩირე
მექანიზაციის ქ. 11, სიღნაღი
მექანიზაციის ქ. 12, ვანი
მექანიზაციის ქ. 39, გურჯაანი
მექანიზაციის ქ. 75, ვალე
მექანიზაციის ქ. 85, ოზურგეთი
მეჯვრისხევის ქ. 98, მცხეთა
მეჯვრისხევის ქ. 99, ოზურგეთი
მთავარანგელოზის ქ. 59, თელავი
მთავარანგელოზის ქ. 62, ლაგოდეხი
მთაწმინდის ქ. 24, მარნეული
მთაწმინდის ქ. 27, ბათუმი
მთაწმინდის ქ. 77, მცხეთა
მთისძირის ქ. 18, ზესტაფონი
მიმინოშვილი რომანის ქ. 34, გალი
მიმინოშვილი რომანის ქ. 55, მარტვილი
მიმინოშვილი რომანის ქ. 56, სოხუმი
მიმინოშვილი რომანის ქ. 58, საჩხერე
მიმინოშვილი რომანის ქ. 96, თბილისი
მინდელაურის ქ. 06, აბაშა
მინდელის ქ. 54, მარტვილი
მირზა მეფის ქ. 10, ფოთი
მირზა მეფის ქ. 51, ახალციხე
მირზაანის ქ. 20, ზუგდიდი
მირზაანის ქ. 37, ბოლნისი
მირზაანის ქ. 52, ფოთი
მირზაანის ქ. 91, ხონი
მიროტაძის ქ. 42, ვალე
მიტინგის ქ. 08, მარტვილი
მიტინგის ქ. 22, კასპი
მიტინგის ქ. 97, ქარელი
მიქატაძის ქ. 18, ბორჯომი
მიქატაძის ქ. 31, ტყიბული
მიქატაძის ქ. 51, ახალციხე
მიქატაძის ქ. 61, საჩხერე
მიქატაძის ქ. 66, დმანისი
მიქელაძე ევგენის ქ. 09, აბაშა
მიქელაძე ევგენის ქ. 10, ქობულეთი
მიქელაძე ევგენის ქ. 31, ხონი
მიქელაძე ევგენის ქ. 73, ჯვარი
მიქელაძის ქ. 78, თეთრიწყარო
მიშველაძე არჩილის ქ. 34, წყალტუბო
მიშველაძე არჩილის ქ. 38, ხაშური
მიშველაძე არჩილის ქ. 66, წალკა
მიჩურინის ქ. 06, გაგრა
მიჩურინის ქ. 52, ქობულეთი
მიჩურინის ქ. 73, მარნეული
მიცკევიჩის ქ. 04, ტყიბული
მიცკევიჩის ქ. 41, გაგრა
მნათობის ქ. 99, ბათუმი
მოლითის ქ. 60, გალი
მოლითის ქ. 83, წნორი
მოლოკოვის ქ. 59, ტყვარჩელი
მოლოკოვის ქ. 82, ზესტაფონი
მოლოკოვის ქ. 85, თერჯოლა
მორეტის ქ. 24, ახალი ათონი
მორეტის ქ. 49, ლანჩხუთი
მოსაშვილის ქ. 12, ქობულეთი
მოსაშვილის ქ. 34, მარტვილი
მოსაშვილის ქ. 54, ქარელი
მოსე ხონელის ქ. 09, ნინოწმინდა
მოსე ხონელის ქ. 25, ლანჩხუთი
მოსე ხონელის ქ. 56, ბათუმი
მოსიძე ვახტანგის ქ. 61, სიღნაღი
მოსიძე ვახტანგის ქ. 62, ბორჯომი
მოსტკოვის ქ. 64, ბაღდათი
მოსულიშვილის ქ. 27, ვალე
მტკვრის ქ. 08, ლანჩხუთი
მტკვრის ქ. 35, დედოფლისწყარო
მტკვრის ქ. 72, ცხინვალი
მუკუზანის ქ. 19, თერჯოლა
მუკუზანის ქ. 37, ლანჩხუთი
მუკუზანის ქ. 65, ახალი ათონი
მუსხელიშვილის ქ. 26, ხობი
მუსხელიშვილის ქ. 31, რუსთავი
მუსხელიშვილის ქ. 39, გუდაუთა
მუსხელიშვილის ქ. 71, კასპი
მუსხელიშვილის ქ. 80, წალენჯიხა
მუხაძის ქ. 08, ყვარელი
მუხაძის ქ. 18, ახალციხე
მუხაძის ქ. 30, ზესტაფონი
მუხაძის ქ. 46, ჯვარი
მუხაძის ქ. 60, ოჩამჩირე
მუხაძის ქ. 74, ტყიბული
მუხაძის ქ. 96, გუდაუთა
მუხრანის ქ. 26, ცაგერი
მუხრანის ქ. 46, ხაშური
მუხრანის ქ. 71, ხობი
მუხრანის ქ. 97, ბათუმი
მშველიძის ქ. 23, თერჯოლა
მშველიძის ქ. 97, სამტრედია
მცხეთის ქ. 13, ფოთი
ნაბახტაურის ქ. 51, ქუთაისი
ნაბახტაურის ქ. 55, გალი
ნაბახტაურის ქ. 59, თერჯოლა
ნაბახტაურის ქ. 89, ახალქალაქი
ნაგომარის ქ. 67, სამტრედია
ნაგომარის ქ. 97, თბილისი
ნადიკვარის ქ. 10, გუდაუთა
ნადიკვარის ქ. 28, მცხეთა
ნადირაძე კოლაუს ქ. 72, საგარეჯო
ნადირაძე კოლაუს ქ. 88, ბათუმი
ნავთლუღის ქ. 72, გაგრა
ნათაძის ქ. 23, კასპი
ნათაძის ქ. 86, მცხეთა
ნანეიშვილი ვიქტორის ქ. 03, ოზურგეთი
ნანეიშვილი ვიქტორის ქ. 45, დუშეთი
ნანეიშვილი ვლადიმერის ქ. 57, დმანისი
ნანეიშვილი ვლადიმერის ქ. 98, ზუგდიდი
ნანეიშვილი ვლადიმერის ქ. 99, გარდაბანი
ნარგიზის ქ. 18, თელავი
ნარგიზის ქ. 82, საჩხერე
ნარგიზის ქ. 95, ჭიათურა
ნასაკირალის ქ. 22, ბათუმი
ნასაკირალის ქ. 72, მცხეთა
ნასაკირალის ქ. 90, რუსთავი
ნაქერალას ქ. 13, საჩხერე
ნაქერალას ქ. 17, წალკა
ნიაბის ქ. 17, თერჯოლა
ნიაბის ქ. 23, ბორჯომი
ნიაბის ქ. 48, თერჯოლა
ნიაბის ქ. 66, რუსთავი
ნიაბის ქ. 73, ვალე
ნიზამის ქ. 73, ახალქალაქი
ნიკოლაძე ნიკოს ქ. 43, ახალი ათონი
ნინიძის ქ. 28, ოზურგეთი
ნინიძის ქ. 40, ხონი
ნინიძის ქ. 67, ცაგერი
ნიორაძის ქ. 35, ცაგერი
ნიორაძის ქ. 72, ყვარელი
ნიორაძის ქ. 82, გურჯაანი
ნიშნიანიძის ქ. 15, საჩხერე
ნოვოროსისკის ქ. 53, ცხინვალი
ნონეშვილი იოსების ქ. 21, აბაშა
ნონეშვილი იოსების ქ. 21, წნორი
ნონეშვილი იოსების ქ. 25, ქარელი
ნოსირის ქ. 00, ცაგერი
ნოსირის ქ. 41, დუშეთი
ნოსირის ქ. 68, საჩხერე
ნოსირის ქ. 97, ქარელი
ნოსტეს ქ. 24, ხაშური
ნოსტეს ქ. 82, ახალი ათონი
ნუცუბიძის ქ. 50, ბაღდათი
ობსერვატორიის ქ. 21, ზუგდიდი
ობსერვატორიის ქ. 82, გურჯაანი
ობსერვატორიის ქ. 92, გუდაუთა
ოდესის ქ. 73, წყალტუბო
ონიაშვილის ქ. 23, ნინოწმინდა
ონიაშვილის ქ. 91, გარდაბანი
ონის ქ. 01, ახალქალაქი
ონის ქ. 28, დუშეთი
ოჟიოს ქ. 07, დმანისი
ოჟიოს ქ. 55, ქუთაისი
ოჟიოს ქ. 64, ხონი
ორბეთის ქ. 15, გაგრა
ორბეთის ქ. 56, ბათუმი
ორბეთის ქ. 60, ამბროლაური
ორბელების ქ. 23, ბორჯომი
ორბელების ქ. 73, ჯვარი
ორპირის ქ. 49, წნორი
ორხევის ქ. 16, თერჯოლა
ოსეთის ქ. 23, ბათუმი
ოსეთის ქ. 98, კასპი
ოსიაურის ქ. 22, სიღნაღი
ოსიაურის ქ. 44, წნორი
ოსიაურის ქ. 57, კასპი
ოსიაურის ქ. 79, ხაშური
ოფრეთის ქ. 24, ახალციხე
ოფრეთის ქ. 72, ლანჩხუთი
ოქრომჭედლების ქ. 23, ქარელი
ოქროყანის ქ. 09, ახალი ათონი
ოჩამჩირის ქ. 11, რუსთავი
ოჩამჩირის ქ. 34, ჯვარი
ოჩამჩირის ქ. 46, ხაშური
ოჩამჩირის ქ. 52, ოჩამჩირე
ოჩამჩირის ქ. 77, დედოფლისწყარო
ოცხელების ქ. 24, დმანისი
ოცხელების ქ. 46, თეთრიწყარო
ოცხელების ქ. 50, ცხინვალი
ოცხელების ქ. 88, წალენჯიხა
ოძელაშვილის ქ. 04, ამბროლაური
ოძელაშვილის ქ. 13, მარნეული
ოძელაშვილის ქ. 38, გურჯაანი
ოძელაშვილის ქ. 52, დედოფლისწყარო
ოძისის ქ. 33, დედოფლისწყარო
ოძისის ქ. 42, ლაგოდეხი
ოძისის ქ. 82, გაგრა
ოძისის ქ. 89, სიღნაღი
პაიჭაძის ქ. 34, ბაღდათი
პაიჭაძის ქ. 56, ონი
პაიჭაძის ქ. 71, ქარელი
პალიასტომის ქ. 49, კასპი
პალიასტომის ქ. 51, ცხინვალი
პალიასტომის ქ. 82, საგარეჯო
პანკისის ქ. 81, წნორი
პასტერის ქ. 67, დედოფლისწყარო
პატარიძის ქ. 19, ქარელი
პატარიძის ქ. 24, სოხუმი
პატარიძის ქ. 66, ლაგოდეხი
