Aaron Ruto
Mwendwa Wesonga
Nahashon Kimani
Nathan Sammy
Ndegwa Akoth
Ndegwa Maina
Ndunge Omondi
Ndungu Chebet
Ndungu Chege
Ndungu Mohamud
Nehemiah Jarso
Nehemiah Mohamed
Nelson Ali
Nelson Kimani
Nelson Mwanza
Newton Abdi
Newton Abdullahi
Newton Ochieng
Ngigi Hussein
Nicholas Isaac
Nicholas Kitur
Nicholas Mbithi
Nicholas Musau
Nicholas Ndanu
Nicholas Oloo
Nicholus Odhiambo
Nickson Said
Nicodemus Atieno
Njenga Achieng
Njenga Ahmed
Njenga Kamau
Njeri Mwendwa
Njeri Njeri
Njeru Cherono
Njeru Joseph
Njeru Rotich
Njoroge Mutuku
Njoroge Wachira
Njuguna Awadh
Njuguna Jumba
Njuguna Ombui
Njuguna Wanga
Noel Chelimo
Noor Karisa
Nyakundi Cherono
Nyakundi Ibrahim
Nyamai Simiyu
Nyambura Wanyonyi
Nyongesa Abdi
Nyongesa Nyamawi
Nzioka Njenga
Ochieng Kiprotich
Ochieng Njeri
Ochieng Wanjiku
Odhiambo Kipkoech
Odhiambo Philip
Odhiambo Rotich
Odhiambo Wandera
Oduor Kipruto
Oduor Wanjiku
Okoth Kariuki
Okoth Muendo
Okoth Onyango
Oluoch Deng
Omar Njoki
Omari Migwi
Omondi Akinyi
Omondi Nyaguthii
Omondi Okoth
Omondi Wambua
Onesmus Sammy
Onyango Kariuki
Onyango Kimosop
Onyango Mbiti
Onyango Odero
Opiyo Omar
Oscar Munyao
Oscar Ndoro
Otieno Bakari
Otieno Issak
Otieno James
Otieno Karanja
Otieno Maina
Otieno Makena
Otieno Momanyi
Otieno Ndunge
Otieno Ngetich
Otieno Nyaguthii
Otieno Nyanchama
Otieno Odhiambo
Otieno Otieno
Otieno Wanja
Ouma Kinya
Ouma Mohamed
Ouma Mwangi
Ouma Wanyama
Pastor Aggrey Oluoch
Pastor Ali Thuranira
Pastor Boniface Ibrahim
Pastor Brian Kadzo
Pastor Daniel Kinyua
Pastor Denis Akinyi
Pastor Douglas Njeri
Pastor Emmanuel Wafula
Pastor Erick Abdi
Pastor Erick Joseph
Pastor Erick Peter
Pastor Evans Kiplagat
Pastor Francis Masika
Pastor Frankline Abdi
Pastor Geofrey Chepkemoi
Pastor Godwin Suleiman
Pastor Hamisi Kipyegon
Pastor Henry Ndegwa
Pastor Hosea Dagane
Pastor Ibrahim Langat
Pastor Isaiah Chepkemoi
Pastor John Osman
Pastor John Owuor
Pastor Joseph Wangari
Pastor Juma Wangui
Pastor Kelvin Mwende
Pastor Kevin Odhiambo
Pastor Kibet Kyalo
Pastor Kipkemoi Onyango
Pastor Kiplimo Waithera
Pastor Leonard Kathambi
Pastor Martin Hussein
Pastor Morris Githinji
Pastor Moses Muriithi
Pastor Mugambi Muchoki
Pastor Munene Njoroge
Pastor Mwendwa Nduati
Pastor Nicholas Kawira
Pastor Nicholas Kirui
Pastor Njiru Kipngetich
Pastor Oluoch Barasa
Pastor Omondi Mbuthia
Pastor Ouma Gacheri
Pastor Peter Abdullahi
Pastor Peter Gitari
Pastor Rajab Kinyua
Pastor Samuel Otieno
Pastor Shadrack Said
Pastor Simiyu Kagendo
Pastor Simon Kimani
Pastor Timothy Odhiambo
Pastor Wanyonyi Abdullahi
Pastor Yunis Nduati
Patrick Auma
Patrick Chebet
Patrick Chelangat
Patrick Erupe
Patrick Gichuru
Patrick Langat
Patrick Ndiritu
Patrick Nduku
Patrick Nyakundi
Patrick Tonui
Paul Abdi
Paul Kemboi
Paul Maiyo
Paul Muchiri
Paul Njagi
Paul Opiyo
Paul Otieno
Paul Wanjala
Paul Wekesa
Peter Adan
Peter Akinyi
Peter Atieno
Peter Bosire
Peter Chelimo
Peter Chepkoech
Peter Cheruiyot
Peter Gitau
Peter Gitonga
Peter Kazungu
Peter Kendi
Peter Kigen
Peter Kioko
Peter Kiprotich
Peter Kirui
Peter Koech
Peter Minayo
Peter Mmbone
Peter Morara
Peter Murithi
Peter Mutheu
Peter Mutua
Peter Mwende
Peter Ndanu
Peter Njuguna
Peter Osman
Peter Otieno
Peter Peter
Peter Sila
Peter Wafula
Peter Wanjala
Peter Wanjiku
Peter Yegon
Peterson Hassan
Peterson Toroitich
Peterson Wachira
Philemon Kamau
Philip Auma
Philip Awuor
Philip Masha
Philip Mwaniki
Philip Thiong'o
Philip Wandera
Philip Yego
Pius Kemboi
Pius Omolo
Pius Sang
Prof Abubakar Wambua
Prof Albert Njoki
Prof Alex Ndungu
Prof Alex Otieno
Prof Ali Muhumed
Prof Andrew Samwel
Prof Ayub Ochieng
Prof Brian Jerotich
Prof Cheruiyot Korir
Prof Daniel Ouma
Prof Daud Musau
Prof Daudi Maina
Prof Denis Juma
Prof Derick Charo
Prof Edward Mulwa
Prof Edwin Hillow
Prof Enock Njeri
Prof Felix Wakhungu
Prof Frankline Ondieki
Prof Fredrick Maina
Prof Hassan Too
Prof Hussein Musau
Prof Ibrahim Nyokabi
Prof Jackson Mumbi
Prof Jacob Kiplimo
Prof James Chebet
Prof Jeff Atieno
Prof Job Kiprotich
Prof Joel Kiplimo
Prof Jonathan Sang
Prof Joseph Shikuku
Prof Joseph Too
Prof Joshua Koech
Prof Justus Juma
Prof Kelvin Cherotich
Prof Kenneth Adhiambo
Prof Kenneth Ng'ang'a
Prof Kiplangat Nduku
Prof Kiprop Ouma
Prof Laban Cheruiyot
Prof Lawrence Onyango
Prof Mbugua Onyango
Prof Michael Korir
Prof Mohamed Juma
Prof Mohamed Nzomo
Prof Mohamed Ouma
Prof Moses Munga
Prof Mutuku Barasa
Prof Mwaura Kathure
Prof Nicholus Wangui
Prof Nickson Njeri
Prof Njeri Atieno
Prof Njoki Odoyo
Prof Ochieng Ahmed
Prof Oduor Ochieng
Prof Onyango Wangui
Prof Patrick Chepkurui
Prof Peter Wairimu
Prof Rajab Chege
Prof Richard Makau
Prof Robert Njuguna
Prof Rotich Waithaka
Prof Samuel Bett
Prof Samuel Gakii
Prof Samuel Onyango
Prof Samwel Macharia
Prof Shadrack Cherop
Prof Simon Njoroge
Prof Victor Wangui
Prof Wanjiku Achieng
Prof Wanjiku Nekesa
Prof Wanjiru Akinyi
Prof Wanjiru Karambu
Rama Kawira
Ramadhan Ibrahim
Raphael Akoth
Raphael Mulei
Rashid Macharia
Rashid Wafula
Reagan Kiptoo
Reuben Kipkoech
Reuben Musyoka
Reuben Ojiambo
Reuben Rop
Reuben Wangui
Rev Alex Bosire
Rev Ali Atieno
Rev Alvin Nasimiyu
Rev Anthony Atieno
Rev Antony Akinyi
Rev Antony Ngatia
Rev Brian Achieng
Rev Charles Kinuthia
Rev Charles Ndung'u
Rev Dancan Oduor
Rev David Kioko
Rev Denis Kipkoech
Rev Denis Mwikali
Rev Dennis Murimi
Rev Emmanuel Ochieng
Rev Emmanuel Wanjala
Rev Enock Akoth
Rev Evans Mohamed
Rev Francis Odhiambo
Rev Geoffrey Njiru
Rev Gibson Mohamed
Rev Gordon Juma
Rev James Wanjiku
Rev John Kawira
Rev John Njeri
Rev John Wamalwa
Rev Johnstone Gitonga
Rev Joseph Adhiambo
Rev Joseph Mohamed
Rev Juma Ojwang
Rev Keith Musau
Rev Kennedy Musyoki
Rev Kipsang Muchemi
Rev Maina Rotich
Rev Mathew Kimutai
Rev Meshack Awuor
Rev Meshack Mutisya
Rev Mohamud Mutua
Rev Mulwa Nganga
Rev Musa Nduta
Rev Nickson Aluoch
Rev Omar Adan
Rev Peter Kipchirchir
Rev Rashid Wambua
Rev Reuben Murunga
Rev Samuel Kosgei
Rev Sifuna Njoki
Rev Silas Nyanchama
Rev Simiyu Mutunga
Rev Stephen Michael
Rev Wanjiru Muthoni
Rev Wilson Lumumba
Richard Achieng
Richard Auma
Richard Joseph
Richard Kibet
Richard Kirwa
Richard Muriuki
Richard Otieno
Riziki Muthomi
Robert Guyo
Robert Maina
Robert Mohamud
Robert Mukami
Robert Ochieng
Robert Wachira
Robin Abdullahi
Rogers Karisa
Ronald Issack
Ronald Njoroge
Ronald Nyawira
Roy Maroa
Roy Njeru
Roy Wanja
Said Kibet
Said Otieno
Salim Charo
Salim Kimaru
Salim Muchemi
Salim Ochieng
Sam Wangui
Sammy Okuku
Samson Baraka
Samson Moseti
Samson Nyongesa
Samson Sammy
Samuel Ibrahim
Samuel Jerotich
Samuel Koech
Samuel Macharia
Samuel Maina
Samuel Munyao
Samuel Murunga
Samuel Mutua
Samuel Njoroge
Samuel Nyambura
Samuel Nyokabi
Samuel Odhiambo
Samuel Oduor
Samuel Okoth
Samuel Osman
Samuel Wanjohi
Samwel Achieng
Samwel Chepchumba
Samwel Jerotich
Samwel Kipngetich
Samwel Rono
Samwel Wangari
Shaban Simiyu
Shadrack Maina
Shadrack Mumo
Shadrack Murangiri
Shadrack Murimi
Shadrack Mwendwa
Shadrack Omollo
Shadrack Wanjala
Shem Gitonga
Shem Kiio
Sifuna Hassan
Sila Ochieng
Silas Makokha
Silas Ouma
Simion Mohamed
Simion Mugo
Simion Muiruri
Simion Toroitich
Simiyu Waithira
Simon Atieno
Simon Mohamed
Simon Muchiri
Simon Mwangi
Simon Njoki
Simon Onyango
Simon Otieno
Simon Tanui
Simon Wambua
Simon Wanyonyi
Solomon Mutuma
Stanley Anyango
Stanley Ndunge
Stanley Odhiambo
Stanley Sigei
Stanley Waweru
Stephen Abuga
Stephen Issack
Stephen Karanja
Stephen Khaemba
Stephen Kipkoech
Stephen Macharia
Stephen Muli
Stephen Mutua
Stephen Mwaura
Stephen Odhiambo
Stephen Osoro
Stephen Wanjala
Stephene Anyango
Steve Cherotich
Steve Mutisya
Steve Wairimu
Suleiman Kipkoech
Suleiman Kyalo
Suleiman Mwita
Swaleh Guyo
Sylvester Abdille
Sylvester Chelangat
Teddy Muthoni
Thomas Jepchirchir
Thomas Mwenda
Thomas Ng'ang'a
Thomas Samson
Thomas Waruguru
Timothy Karimi
Timothy Mumbi
Titus Ali
Titus Hassan
Titus Mutua
Tobias Mwende
Tonny Warui
Tony Maina
Tsuma Nyongesa
Tyson Issack
Valentine Kangethe
Valentine Karanja
Valentine Maina
Valentine Mohamed
Valentine Musyoka
Valentine Nafula
Valentine Njoroge
Victor Abdullahi
Victor Ahmed
Victor Akinyi
Victor Charles
Victor Dennis
Victor Mokaya
Victor Mwiti
Victor Oluoch
Victor Wambui
Victor Wanjala
Vincent Abdullahi
Vincent Karanja
Vincent Mutembei
Vincent Muthoni
Vincent Mwangi
Vincent Njoki
Vincent Omari
Vincent Rutto
Vitalis Ali
Vitalis Nyaga
Wachira Waithaka
Wafula Kipkemboi
Wafula Musembi
Wainaina Maiyo
Wainaina Ouma
Wairimu Ali
Wairimu Khalif
Wairimu Mwangi
Wairimu Mwihaki
Wairimu Wanjala
Walter Gitahi
Walter Wekesa
Wamalwa Njoroge
Wamalwa Wangui
Wambua Cherotich
Wambua Mukundi
Wambua Ochieng
Wambui Masinde
Wambui Ndirangu
Wambui Otieno
Wangari Kilonzo
Wangari Kimathi
Wangari Kiptum
Wanja Njambi
Wanja Sheikh
Wanjala Juma
Wanjala Maalim
Wanjala Mutungi
Wanjiku Anyango
Wanjiku Auma
Wanjiku Bashir
Wanjiru Abdille
Wanjiru Barasa
Wanjiru Guyo
Wanjiru Mawira
Wanjiru Mbugua
Wanjiru Muasya
Wanjiru Muchiri
Wanjiru Mumbua
Wanjiru Muthomi
Wanjiru Rotich
Wanjiru Wafula
Wanjiru Wambui
Wanjiru Wanjiku
Wanjohi Katana
Wanjohi Mwaura
Wanyama Aden
Wanyama Okello
Waweru Muia
Wekesa Mohamed
Wekesa Mutiso
Wekesa Okemwa
Weldon Bett
Weldon Makokha
Wesonga Mwangi
Wilfred Hussein
William Adan
William Karisa
William Kariuki
William Mayaka
William Mutunga
William Wafula
Willy Chebet
Willy Esekon
Willy Kirui
Willy Ouko
Wilson Gatwiri
Wilson Jepkosgei
Wilson Kivuva
Wycliffe Charo
Wycliffe Kimani
Wycliffe Wambugu
Yahya John
Yahya Kosgei
Yahya Njoroge
Yussuf Auma
Yussuf Kipchumba
Yussuf Nyokabi
Yusuf Esekon
